az,el,[0],[7],[8],[11],[13],[15],[23],[23]
-0.5,0.0,"0.2152034342288971,0.1986333280801773,-0.7398178577423096","0.26352787017822266,0.1726212501525879,-0.25951775908470154","0.13149422407150269,0.1497197151184082,-0.3500290513038635","0.3625465929508209,0.5549619793891907,-0.09325847029685974","0.5965926647186279,0.5968915820121765,-0.3216158449649811","0.8266774415969849,0.6098702549934387,-0.9139919281005859","0.3594524562358856,1.4522171020507812,0.10049506276845932","0.3594524562358856,1.4522171020507812,0.10049506276845932"
-0.5,0.0,"0.2174789160490036,0.1986306756734848,-0.6832038760185242","0.26189202070236206,0.1721617579460144,-0.19200071692466736","0.13213637471199036,0.14964449405670166,-0.3065069913864136","0.3638036549091339,0.5549620389938354,-0.030561724677681923","0.5966169238090515,0.5890831351280212,-0.3213832378387451","0.8266631364822388,0.6046941876411438,-1.0149385929107666","0.36261045932769775,1.4555926322937012,0.10264746844768524","0.36261045932769775,1.4555926322937012,0.10264746844768524"
-0.5,0.0,"0.21988514065742493,0.19862951338291168,-0.6716799736022949","0.2609645128250122,0.1713663935661316,-0.18818780779838562","0.13261857628822327,0.14955900609493256,-0.3092729449272156","0.3639809489250183,0.5548899173736572,-0.022891560569405556","0.5956956148147583,0.5858806371688843,-0.28458595275878906","0.8268631100654602,0.6011500954627991,-0.9745097160339355","0.36556559801101685,1.4597907066345215,0.10919209569692612","0.36556559801101685,1.4597907066345215,0.10919209569692612"
-0.5,0.0,"0.2206393927335739,0.1985216736793518,-0.6753660440444946","0.25996696949005127,0.1709996908903122,-0.20055726170539856","0.1328713595867157,0.1495548039674759,-0.31393957138061523","0.37121400237083435,0.5557299852371216,-0.03322402760386467","0.6090145111083984,0.5848012566566467,-0.36908453702926636","0.8300682306289673,0.5984736084938049,-1.1084345579147339","0.36583060026168823,1.4732388257980347,0.10692546516656876","0.36583060026168823,1.4732388257980347,0.10692546516656876"
-0.5,0.0,"0.22181005775928497,0.1985509842634201,-0.6656009554862976","0.2598373293876648,0.17134401202201843,-0.16483083367347717","0.13406845927238464,0.14949147403240204,-0.2579251229763031","0.37165409326553345,0.5572261214256287,0.0004556594358291477","0.6099562048912048,0.5838803052902222,-0.2762353718280792","0.832849383354187,0.5976641774177551,-0.9397300481796265","0.3561307489871979,1.4821267127990723,0.10159927606582642","0.3561307489871979,1.4821267127990723,0.10159927606582642"
-0.5,0.0,"0.22574444115161896,0.19869311153888702,-0.5438627004623413","0.2611525058746338,0.17179256677627563,-0.07678757607936859","0.13677942752838135,0.14965824782848358,-0.17664673924446106","0.3729414939880371,0.5596039295196533,0.03646344318985939","0.6098326444625854,0.584225058555603,-0.2805369198322296","0.8320204615592957,0.5987112522125244,-0.9431549906730652","0.351815402507782,1.4929629564285278,0.09615151584148407","0.351815402507782,1.4929629564285278,0.09615151584148407"
-0.5,0.0,"0.22745633125305176,0.2021707147359848,-0.5799649953842163","0.2631942629814148,0.17653393745422363,-0.1094958633184433","0.13996146619319916,0.1505739986896515,-0.19799768924713135","0.3729361891746521,0.5663992762565613,0.029014691710472107","0.6099097728729248,0.5902469158172607,-0.2277306616306305","0.8322011828422546,0.6014374494552612,-0.866247832775116","0.34298378229141235,1.504774808883667,0.09439544379711151","0.34298378229141235,1.504774808883667,0.09439544379711151"
-0.5,0.0,"0.22921347618103027,0.20710863173007965,-0.6077917218208313","0.2651157081127167,0.18246053159236908,-0.12991471588611603","0.14131540060043335,0.15357652306556702,-0.23210036754608154","0.3728996515274048,0.5832542777061462,0.002866394119337201","0.6051664352416992,0.5943971276283264,-0.24467401206493378","0.8317289352416992,0.608742356300354,-0.8801931142807007","0.33645927906036377,1.5327582359313965,0.0945127010345459","0.33645927906036377,1.5327582359313965,0.0945127010345459"
-0.5,0.0,"0.22906431555747986,0.2089766412973404,-0.6206129789352417","0.26825740933418274,0.18445733189582825,-0.14039486646652222","0.14124435186386108,0.15412688255310059,-0.23622851073741913","0.37369194626808167,0.5826566219329834,0.01628662645816803","0.6042218804359436,0.5967035889625549,-0.19797837734222412","0.8316546678543091,0.6096102595329285,-0.8353625535964966","0.3341081440448761,1.5398966073989868,0.09367205202579498","0.3341081440448761,1.5398966073989868,0.09367205202579498"
-0.5,0.0,"0.22542309761047363,0.22258508205413818,-0.5971837639808655","0.2674095332622528,0.19513392448425293,-0.10995267331600189","0.14012852311134338,0.18348582088947296,-0.18011704087257385","0.3753402829170227,0.5841012597084045,0.025764990597963333","0.6041639447212219,0.6001747846603394,-0.21652376651763916","0.8386722803115845,0.6092963218688965,-0.8591303825378418","0.3349650204181671,1.5360718965530396,0.08902036398649216","0.3349650204181671,1.5360718965530396,0.08902036398649216"
-0.5,0.0,"0.22123506665229797,0.24117600917816162,-0.6550344228744507","0.2652771472930908,0.20062656700611115,-0.17411375045776367","0.13586951792240143,0.203963041305542,-0.19377443194389343","0.37769871950149536,0.5835332870483398,-0.02072465606033802","0.606093168258667,0.6004597544670105,-0.29488882422447205","0.8388339281082153,0.608852207660675,-0.9891034364700317","0.3355172574520111,1.532305359840393,0.08190248161554337","0.3355172574520111,1.532305359840393,0.08190248161554337"
-0.5,0.0,"0.20031651854515076,0.24094803631305695,-0.6102241277694702","0.2602904438972473,0.20742297172546387,-0.14971870183944702","0.1302110254764557,0.21228069067001343,-0.1369936168193817","0.3789501190185547,0.5830795168876648,-0.020811405032873154","0.6097596883773804,0.6000148057937622,-0.363480806350708","0.8410240411758423,0.6017441749572754,-1.091553807258606","0.33644479513168335,1.5191067457199097,0.05375336483120918","0.33644479513168335,1.5191067457199097,0.05375336483120918"
