az,el,[0],[7],[8],[12],[14],[16],[23],[24]
-0.5,0.0,"0.47587403655052185,0.2783334255218506,-0.2338506281375885","0.5403378009796143,0.25002527236938477,0.0864669680595398","0.4233338236808777,0.25068509578704834,0.05178969353437424","0.37006670236587524,0.4832976758480072,-0.017290951684117317","0.4963337779045105,0.5730139017105103,-0.41501641273498535","0.7915844917297363,0.5042712688446045,-0.7737259268760681","0.5881562232971191,1.231683611869812,-0.006314530968666077","0.4202113747596741,1.1468541622161865,0.005652504973113537"
-0.5,0.0,"0.47703981399536133,0.27810314297676086,-0.17539183795452118","0.5412206053733826,0.2493274062871933,0.154854878783226","0.42357999086380005,0.24984024465084076,0.10834415256977081","0.37085846066474915,0.480782151222229,-0.004959836136549711","0.49968379735946655,0.5851279497146606,-0.3816148638725281","0.793073296546936,0.5042893886566162,-0.7663756608963013","0.5842776894569397,1.2114149332046509,0.007360188756138086","0.41473135352134705,1.1855967044830322,-0.008173600770533085"
-0.5,0.0,"0.47868818044662476,0.2780742645263672,-0.11984243243932724","0.5423978567123413,0.24858570098876953,0.23927414417266846","0.42380061745643616,0.24898061156272888,0.17132309079170227","0.37101325392723083,0.4766313433647156,0.03259272128343582","0.5001246333122253,0.5895320177078247,-0.36433878540992737","0.7944275140762329,0.5034744143486023,-0.7578924894332886","0.5782101154327393,1.1971889734268188,0.038144029676914215","0.4064320921897888,1.1996241807937622,-0.038973093032836914"
-0.5,0.0,"0.4799724221229553,0.2756355404853821,-0.08983369171619415","0.5436685085296631,0.2475253790616989,0.24228689074516296","0.4241662919521332,0.2460259050130844,0.18439754843711853","0.37120407819747925,0.47562628984451294,0.055877506732940674","0.5013332366943359,0.5916681289672852,-0.2910756468772888","0.7942116856575012,0.5030234456062317,-0.640914797782898","0.5774762034416199,1.172966718673706,0.03743612766265869","0.40966248512268066,1.1425410509109497,-0.03825625032186508"
-0.5,0.0,"0.4805770814418793,0.27189210057258606,-0.2577723264694214","0.5436927080154419,0.24641963839530945,0.06860509514808655","0.42472758889198303,0.24488313496112823,0.015904095023870468","0.37333881855010986,0.4763298034667969,-0.07881329953670502","0.5048273205757141,0.5912317633628845,-0.4949251115322113","0.7938377857208252,0.4944622814655304,-0.8785850405693054","0.5725526213645935,1.1732896566390991,0.032359976321458817","0.4089373052120209,1.1642225980758667,-0.033207472413778305"
-0.5,0.0,"0.4794459939002991,0.2719843089580536,-0.4165249764919281","0.5406443476676941,0.24529322981834412,-0.052188627421855927","0.4240539073944092,0.2482435405254364,-0.10704350471496582","0.37773287296295166,0.4805699288845062,-0.1452404111623764","0.5198587775230408,0.5882821083068848,-0.5764690041542053","0.7938854694366455,0.4743657410144806,-1.039919137954712","0.5720453262329102,1.1620080471038818,0.0288893673568964","0.4103609025478363,1.0589187145233154,-0.029707130044698715"
-0.5,0.0,"0.4753750264644623,0.28765401244163513,-0.5927578210830688","0.5331186652183533,0.25183627009391785,-0.27653151750564575","0.42328086495399475,0.26355332136154175,-0.3139072060585022","0.37851887941360474,0.492237389087677,-0.3237137198448181","0.5231834650039673,0.5813536047935486,-0.7161290645599365","0.7948828339576721,0.46139466762542725,-1.1096141338348389","0.5689948797225952,1.164864420890808,0.02673622965812683","0.40970665216445923,1.1137042045593262,-0.027511512860655785"
-0.5,0.0,"0.4733735918998718,0.3184735178947449,-0.5313529968261719","0.5253854990005493,0.281973659992218,-0.2081327885389328","0.4221193790435791,0.29629114270210266,-0.2708543539047241","0.37849828600883484,0.510153591632843,-0.30902236700057983","0.5245926976203918,0.5808590054512024,-0.7206027507781982","0.7939404249191284,0.447218120098114,-1.1208007335662842","0.5668399930000305,1.1627713441848755,0.03839244693517685","0.4163951277732849,1.0702979564666748,-0.038978926837444305"
-0.5,0.0,"0.46865400671958923,0.3488460183143616,-0.4532739520072937","0.5181547403335571,0.3210863471031189,-0.17511457204818726","0.4192275404930115,0.32890748977661133,-0.24589964747428894","0.37854427099227905,0.5293472409248352,-0.3056562840938568","0.5260719656944275,0.5821222066879272,-0.6662371158599854","0.7830352783203125,0.43487265706062317,-1.0055267810821533","0.5526422262191772,1.1663799285888672,0.05339658260345459","0.40261515974998474,1.1359801292419434,-0.05398259684443474"
-0.5,0.0,"0.46488040685653687,0.3823632001876831,-0.42023634910583496","0.5160372257232666,0.35820358991622925,-0.1631053239107132","0.4177108407020569,0.3655552864074707,-0.2118140161037445","0.3783503472805023,0.5506163835525513,-0.2861408591270447","0.5256118774414062,0.59040367603302,-0.6339470148086548","0.7676985263824463,0.4297870099544525,-0.9297447204589844","0.5418245196342468,1.1795719861984253,0.04926708713173866","0.3954969644546509,1.1703662872314453,-0.0498824343085289"
