az,el,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
-0.5,0.0,"0.48434796929359436,0.3898235261440277,-0.2562643885612488","0.48980432748794556,0.37060675024986267,-0.24219754338264465","0.49439534544944763,0.37043267488479614,-0.24246089160442352","0.49828824400901794,0.3703075051307678,-0.24248746037483215","0.4770704209804535,0.3731083273887634,-0.24404922127723694","0.47304368019104004,0.3744087517261505,-0.2443118542432785","0.4692673683166504,0.3759394884109497,-0.24455764889717102","0.5043717622756958,0.3795267641544342,-0.15469293296337128","0.46492916345596313,0.38914039731025696,-0.16326722502708435","0.4946548342704773,0.4070802330970764,-0.22079797089099884","0.47755327820777893,0.40816134214401245,-0.224574476480484","0.5439283847808838,0.5079442858695984,-0.1029505506157875","0.4405270218849182,0.4797331392765045,-0.12299562990665436","0.5597217082977295,0.6634907126426697,-0.062417082488536835","0.41755518317222595,0.5703956484794617,-0.2553684115409851","0.5605962872505188,0.8081915974617004,-0.09684570133686066","0.49596506357192993,0.5076040029525757,-0.41388121247291565","0.5614715218544006,0.8473416566848755,-0.11681093275547028","0.516667902469635,0.5073896050453186,-0.4613940119743347","0.5536482334136963,0.8476778864860535,-0.13853572309017181","0.5195227265357971,0.48993542790412903,-0.44549089670181274","0.5503660440444946,0.8335195183753967,-0.10500051081180573","0.5144417881965637,0.4915969967842102,-0.411771297454834","0.5203542113304138,0.7391931414604187,-0.0007278624107129872","0.4656141698360443,0.7398620843887329,0.0006656171754002571","0.5226024985313416,0.9286332130432129,0.04179452359676361","0.4743316173553467,0.9244354367256165,0.03657110780477524","0.5201756954193115,1.0266419649124146,0.25221797823905945","0.4865085184574127,1.0205812454223633,0.21351566910743713","0.5265176892280579,1.0678749084472656,0.26959228515625","0.49021634459495544,1.0733798742294312,0.23001262545585632","0.5112723112106323,1.1186939477920532,0.20620068907737732","0.4709298610687256,1.108887791633606,0.1683284193277359"
-0.5,0.0,"0.4829545021057129,0.3897578716278076,-0.24419650435447693","0.48915666341781616,0.3706281781196594,-0.22763113677501678","0.49412235617637634,0.3704577088356018,-0.22793245315551758","0.4982122778892517,0.370372474193573,-0.22795453667640686","0.4761548638343811,0.37334924936294556,-0.22641083598136902","0.4723047614097595,0.37485721707344055,-0.22668282687664032","0.46848607063293457,0.37642568349838257,-0.22694671154022217","0.5043188333511353,0.37952402234077454,-0.13276301324367523","0.4648556113243103,0.3891911804676056,-0.1261848658323288","0.4932800829410553,0.4077026844024658,-0.20647850632667542","0.47694140672683716,0.40863898396492004,-0.2060822993516922","0.54444819688797,0.5077471137046814,-0.0813998356461525","0.4406358301639557,0.4794045388698578,-0.08593093603849411","0.5593559741973877,0.6598781943321228,-0.044434815645217896","0.41654905676841736,0.5697765946388245,-0.22847187519073486","0.5597050786018372,0.8046238422393799,-0.08206949383020401","0.4955229163169861,0.5076060891151428,-0.4065370559692383","0.5610285997390747,0.8460091352462769,-0.10160471498966217","0.5166735649108887,0.5074472427368164,-0.4551316797733307","0.5532112717628479,0.8469551801681519,-0.12320228666067123","0.5193321108818054,0.4899123013019562,-0.4393892288208008","0.5495692491531372,0.8331722617149353,-0.0900404304265976","0.51423180103302,0.49141278862953186,-0.4051790237426758","0.5205787420272827,0.7578851580619812,-0.0012074403930455446","0.4653773903846741,0.7579189538955688,0.0011254107812419534","0.523858368396759,0.9325844049453735,0.02353132702410221","0.47464799880981445,0.9329918026924133,0.05172692611813545","0.5206352472305298,1.079649567604065,0.22822630405426025","0.4837881028652191,1.0642726421356201,0.2447451651096344","0.5249587297439575,1.099932074546814,0.24464425444602966","0.4892701506614685,1.0908277034759521,0.2625924050807953","0.512190043926239,1.142001986503601,0.17506720125675201","0.47066038846969604,1.1196664571762085,0.20224809646606445"
-0.5,0.0,"0.4823698103427887,0.38974156975746155,-0.24839945137500763","0.4886306822299957,0.3707517385482788,-0.2302488386631012","0.493863582611084,0.3705318570137024,-0.23063167929649353","0.49813151359558105,0.3704533576965332,-0.23064132034778595","0.4755842089653015,0.373915433883667,-0.22791869938373566","0.4720798432826996,0.3756360709667206,-0.22816649079322815","0.4682679772377014,0.37719613313674927,-0.22837647795677185","0.50425785779953,0.37952470779418945,-0.1379649043083191","0.46486592292785645,0.389268696308136,-0.13690155744552612","0.4927225112915039,0.40827128291130066,-0.20868071913719177","0.47688722610473633,0.40903255343437195,-0.20909371972084045","0.5450829267501831,0.5074969530105591,-0.08601024001836777","0.44109854102134705,0.4790925681591034,-0.09566117078065872","0.5593885183334351,0.6599689722061157,-0.04744529724121094","0.4153393805027008,0.5695072412490845,-0.23608478903770447","0.5592540502548218,0.8044858574867249,-0.09345138818025589","0.49544602632522583,0.5075295567512512,-0.43830209970474243","0.5609790086746216,0.8459036946296692,-0.11460168659687042","0.5167007446289062,0.5072634220123291,-0.4908076822757721","0.5520106554031372,0.8469287157058716,-0.13734973967075348","0.5193361639976501,0.48987075686454773,-0.47351986169815063","0.5483285784721375,0.8334750533103943,-0.10197168588638306","0.5142354965209961,0.49136054515838623,-0.4370083212852478","0.520566999912262,0.764452338218689,-0.003651860635727644","0.4648473262786865,0.7649807333946228,0.003547143656760454","0.5244768857955933,0.9325426816940308,0.03220638632774353","0.4740062355995178,0.9329227805137634,0.11396989971399307","0.523759126663208,1.0787296295166016,0.2530616521835327","0.4838535189628601,1.0518683195114136,0.3300984799861908","0.5266555547714233,1.0981395244598389,0.2707226872444153","0.4892422556877136,1.0882954597473145,0.34992358088493347","0.5130437612533569,1.1389881372451782,0.1938343197107315","0.4692501425743103,1.116680383682251,0.2910674810409546"
-0.5,0.0,"0.48187774419784546,0.389722615480423,-0.24129056930541992","0.48820072412490845,0.37082934379577637,-0.22515615820884705","0.49368828535079956,0.3705603778362274,-0.22550766170024872","0.49809250235557556,0.3704685568809509,-0.225520059466362","0.47503480315208435,0.3742193877696991,-0.22361676394939423","0.47173523902893066,0.37595856189727783,-0.2238960564136505","0.4679063856601715,0.37741848826408386,-0.22416214644908905","0.504236102104187,0.3795270621776581,-0.13450123369693756","0.4648568034172058,0.38927051424980164,-0.12955960631370544","0.4923710823059082,0.4085898995399475,-0.2040054053068161","0.47679582238197327,0.4092811942100525,-0.2038181573152542","0.5455905795097351,0.5075036287307739,-0.08647438883781433","0.44137364625930786,0.4790884554386139,-0.09042609483003616","0.5596021413803101,0.6592265367507935,-0.04773508384823799","0.41387882828712463,0.5685728192329407,-0.24026362597942352","0.5591177940368652,0.8023853898048401,-0.0880715623497963","0.495073139667511,0.5075628757476807,-0.4431096613407135","0.561004638671875,0.8455305099487305,-0.10891808569431305","0.516398012638092,0.5072745084762573,-0.4967042803764343","0.5518147945404053,0.8466977477073669,-0.13225030899047852","0.5193318724632263,0.4903526306152344,-0.4792505204677582","0.5480657815933228,0.8334603309631348,-0.09676623344421387","0.5142371654510498,0.4920302927494049,-0.44198355078697205","0.5206755995750427,0.7716251015663147,-0.0047891815192997456","0.46480974555015564,0.7726620435714722,0.00467894459143281","0.5249701738357544,0.9340803623199463,0.06292887032032013","0.47394314408302307,0.9340737462043762,0.1390448659658432","0.5236146450042725,1.0459110736846924,0.29089057445526123","0.48392853140830994,1.0382250547409058,0.3540840446949005","0.5270664095878601,1.0967652797698975,0.30951419472694397","0.4882904887199402,1.0878312587738037,0.37376102805137634","0.5121438503265381,1.1376045942306519,0.23729248344898224","0.46873703598976135,1.1163290739059448,0.3139232099056244"
-0.5,0.0,"0.4814351499080658,0.3894496560096741,-0.27059412002563477","0.48768502473831177,0.37082427740097046,-0.25493520498275757","0.49333620071411133,0.37053900957107544,-0.255281925201416","0.49784618616104126,0.3704312741756439,-0.2552856206893921","0.4744880199432373,0.37425369024276733,-0.2533133625984192","0.4713383615016937,0.37601903080940247,-0.2536095082759857","0.4676211476325989,0.37748467922210693,-0.25390860438346863","0.5041788816452026,0.37940865755081177,-0.1589580923318863","0.46486854553222656,0.3892779052257538,-0.14991813898086548","0.4920830726623535,0.40856099128723145,-0.23155637085437775","0.47678127884864807,0.4092952311038971,-0.23074491322040558","0.5458607077598572,0.5074441432952881,-0.10362537950277328","0.4421933591365814,0.47815120220184326,-0.10472830384969711","0.5595563650131226,0.6583820581436157,-0.06703481823205948","0.41102418303489685,0.5666528344154358,-0.27153003215789795","0.5591275691986084,0.8001532554626465,-0.11383863538503647","0.49372997879981995,0.5076234340667725,-0.48581624031066895","0.5611461997032166,0.8448713421821594,-0.13736815750598907","0.5149668455123901,0.5075848698616028,-0.5441327691078186","0.5521095991134644,0.8464357256889343,-0.16217024624347687","0.518652081489563,0.49133017659187317,-0.526515543460846","0.5482221841812134,0.8331983685493469,-0.12338785082101822","0.5137146711349487,0.4930059313774109,-0.48505735397338867","0.5210951566696167,0.7701704502105713,-0.004958632402122021","0.46491941809654236,0.7718549966812134,0.00485463161021471","0.5251163840293884,0.9340437054634094,0.0738266110420227","0.47395315766334534,0.9342741966247559,0.14237669110298157","0.5250926613807678,1.0735994577407837,0.320529043674469","0.4840002655982971,1.0351542234420776,0.38798123598098755","0.5284537076950073,1.0984143018722534,0.3407309651374817","0.48884111642837524,1.0365575551986694,0.41064199805259705","0.5108197331428528,1.1376221179962158,0.2637656629085541","0.4687350392341614,1.1159108877182007,0.3474850654602051"
-0.5,0.0,"0.48147454857826233,0.3889418840408325,-0.26820969581604004","0.48768511414527893,0.3707914650440216,-0.253054678440094","0.4932968020439148,0.370525062084198,-0.2533856928348541","0.4978455901145935,0.3704283535480499,-0.2533908486366272","0.4745127260684967,0.3740863502025604,-0.252127468585968","0.47140783071517944,0.3758551776409149,-0.2524232864379883","0.46794193983078003,0.3773185610771179,-0.2527158856391907","0.5041775703430176,0.37939453125,-0.16034457087516785","0.465290367603302,0.3892439603805542,-0.1540643721818924","0.4919877052307129,0.4085299074649811,-0.23058661818504333","0.4770511984825134,0.40929386019706726,-0.23062653839588165","0.5461936593055725,0.5078009366989136,-0.10814587026834488","0.44280415773391724,0.4775913953781128,-0.10929349809885025","0.5602290034294128,0.6584138870239258,-0.071891188621521","0.40306901931762695,0.5635879039764404,-0.2746245861053467","0.5591286420822144,0.7996231317520142,-0.11779582500457764","0.4857960641384125,0.5079815983772278,-0.4851457476615906","0.5613396763801575,0.8448641300201416,-0.1414584368467331","0.5068542957305908,0.510489284992218,-0.5424284934997559","0.5521225333213806,0.8464633226394653,-0.16558422148227692","0.5114109516143799,0.494710236787796,-0.5250587463378906","0.5482263565063477,0.8332121968269348,-0.12703874707221985","0.5071616172790527,0.4957890510559082,-0.48427796363830566","0.5222448706626892,0.7725452184677124,-0.005650191567838192","0.46497783064842224,0.7738772630691528,0.005539456848055124","0.5253554582595825,0.9372682571411133,0.06460456550121307","0.47366610169410706,0.9347065687179565,0.12768086791038513","0.5257930755615234,1.0952922105789185,0.29431384801864624","0.48407143354415894,1.033681869506836,0.37559863924980164","0.5295112133026123,1.1144753694534302,0.3130324184894562","0.48912397027015686,1.0308396816253662,0.39861971139907837","0.509177565574646,1.1516278982162476,0.2531346082687378","0.46856793761253357,1.117519736289978,0.3356552720069885"
-0.5,0.0,"0.4829713702201843,0.3889021873474121,-0.27182790637016296","0.4885871410369873,0.3709389567375183,-0.2562010884284973","0.49413108825683594,0.37067925930023193,-0.25652915239334106","0.4989134669303894,0.370542049407959,-0.25652995705604553","0.475935697555542,0.37406763434410095,-0.2578963339328766","0.4723908305168152,0.37579384446144104,-0.2582070231437683","0.46932071447372437,0.3772377371788025,-0.25850167870521545","0.5048105716705322,0.3793908357620239,-0.16034241020679474","0.4664457440376282,0.38913944363594055,-0.16754716634750366","0.4925020635128021,0.40850892663002014,-0.23277857899665833","0.4783775210380554,0.4093382656574249,-0.23639576137065887","0.5466275811195374,0.5080280900001526,-0.10593129694461823","0.44345593452453613,0.477624773979187,-0.12974046170711517","0.5615124702453613,0.6571434736251831,-0.059847790747880936","0.3937055468559265,0.5597356557846069,-0.30239540338516235","0.5591605305671692,0.7996270060539246,-0.10486690700054169","0.4735206961631775,0.5080965161323547,-0.5152301788330078","0.5612923502922058,0.8449769020080566,-0.12608087062835693","0.49115997552871704,0.515335202217102,-0.573925256729126","0.5520601272583008,0.8464756608009338,-0.15498916804790497","0.49921172857284546,0.4983879029750824,-0.5555952191352844","0.5482174158096313,0.8332163691520691,-0.1158069372177124","0.49557772278785706,0.49861449003219604,-0.5139959454536438","0.5235580205917358,0.7783514261245728,0.002175027271732688","0.4655582904815674,0.7787836790084839,-0.002295307582244277","0.5257477760314941,0.9450024366378784,0.08816348016262054","0.47448283433914185,0.9410871863365173,0.11333788931369781","0.5268537998199463,1.1092498302459717,0.3159383237361908","0.4842076301574707,1.0406742095947266,0.32979848980903625","0.5300692319869995,1.127505898475647,0.33386504650115967","0.48393020033836365,1.0983407497406006,0.3500923216342926","0.5095466375350952,1.1682509183883667,0.2542617917060852","0.4692073464393616,1.1378495693206787,0.3193708062171936"
-0.5,0.0,"0.4856695532798767,0.38861432671546936,-0.2850996255874634","0.49095290899276733,0.37112897634506226,-0.26905930042266846","0.49646395444869995,0.37092357873916626,-0.2693864703178406","0.5006977915763855,0.37077823281288147,-0.2693849802017212","0.4794495105743408,0.37394291162490845,-0.2712234854698181","0.47602400183677673,0.3754197955131531,-0.2715446352958679","0.4725622236728668,0.37668269872665405,-0.2718393802642822","0.5062946677207947,0.3794558644294739,-0.16984336078166962","0.4687371850013733,0.3876816928386688,-0.18035873770713806","0.49379339814186096,0.40805718302726746,-0.24496176838874817","0.4805527329444885,0.40907326340675354,-0.24951839447021484","0.5472944378852844,0.5081023573875427,-0.11064426600933075","0.4437677264213562,0.4778052866458893,-0.138076514005661","0.5623906850814819,0.6571683883666992,-0.0690784826874733","0.3868529200553894,0.5558685660362244,-0.3118899464607239","0.5596529841423035,0.8001796007156372,-0.11686293035745621","0.46024757623672485,0.508503794670105,-0.5305404663085938","0.5620577931404114,0.846497654914856,-0.13858774304389954","0.47940024733543396,0.518204391002655,-0.5897743701934814","0.5521381497383118,0.8475871682167053,-0.16575032472610474","0.48651009798049927,0.49999991059303284,-0.572435736656189","0.5482667684555054,0.8342716693878174,-0.1272979974746704","0.48086515069007874,0.49946844577789307,-0.5298871994018555","0.5252565145492554,0.7777099013328552,0.00419185496866703","0.46615344285964966,0.7786531448364258,-0.004310630261898041","0.5260310769081116,0.944243311882019,0.08255867660045624","0.4746766984462738,0.9410785436630249,0.056177109479904175","0.5265713334083557,1.1110544204711914,0.325762003660202","0.47901439666748047,1.0874857902526855,0.2645201086997986","0.5298457145690918,1.1297045946121216,0.3452368378639221","0.48172134160995483,1.1160420179367065,0.282814085483551","0.5095795392990112,1.1740195751190186,0.26539069414138794","0.4692138731479645,1.1489025354385376,0.20498612523078918"
-0.5,0.0,"0.4869319796562195,0.3886491060256958,-0.3029082715511322","0.4922006130218506,0.3715144395828247,-0.28713229298591614","0.497783899307251,0.3713185489177704,-0.2874705195426941","0.5018507242202759,0.371176540851593,-0.287468820810318","0.48097506165504456,0.373934805393219,-0.28919583559036255","0.4775831699371338,0.37527114152908325,-0.2895171642303467","0.4741128981113434,0.37648603320121765,-0.28981608152389526","0.5081722736358643,0.3796726167201996,-0.1871650069952011","0.4703265130519867,0.38706427812576294,-0.19746558368206024","0.4946323335170746,0.4080870747566223,-0.26247990131378174","0.4816373288631439,0.4092344641685486,-0.26693418622016907","0.5486389398574829,0.5087543725967407,-0.12587326765060425","0.44377636909484863,0.47846320271492004,-0.15558001399040222","0.564319908618927,0.6581510305404663,-0.09189780801534653","0.3839800953865051,0.5515180826187134,-0.3432607650756836","0.5597797632217407,0.800995945930481,-0.14465244114398956","0.4536842405796051,0.5071693658828735,-0.5739648938179016","0.5621070861816406,0.8479238152503967,-0.16899558901786804","0.4724685549736023,0.5176861882209778,-0.6370615363121033","0.5521436929702759,0.8484868407249451,-0.19594570994377136","0.4800563454627991,0.4995914399623871,-0.6192259788513184","0.5482763051986694,0.8347994685173035,-0.15534740686416626","0.4742767810821533,0.49942702054977417,-0.5737712979316711","0.5256613492965698,0.780747652053833,0.004601147025823593","0.4661458432674408,0.7824421525001526,-0.00472257100045681","0.5262249708175659,0.9456433653831482,0.09448447823524475","0.4747233986854553,0.9439839720726013,0.06781230866909027","0.5264154672622681,1.123403787612915,0.331589013338089","0.47659021615982056,1.102301836013794,0.30194157361984253","0.5298246145248413,1.1433590650558472,0.349751353263855","0.48053035140037537,1.1277248859405518,0.3215806484222412","0.5096527338027954,1.18622887134552,0.2630329132080078","0.4688633978366852,1.1594657897949219,0.23200123012065887"
-0.5,0.0,"0.4872855544090271,0.38864174485206604,-0.3011818826198578","0.4927302896976471,0.37167689204216003,-0.2859424650669098","0.4983304440975189,0.37150561809539795,-0.2862826883792877","0.5024734735488892,0.371385395526886,-0.2862806022167206","0.48167213797569275,0.37388020753860474,-0.28706589341163635","0.4783065915107727,0.37502118945121765,-0.28738465905189514","0.4748760759830475,0.3761328458786011,-0.28768327832221985","0.5088179111480713,0.3797624409198761,-0.18816602230072021","0.4711627960205078,0.3865247368812561,-0.1941433846950531","0.49487510323524475,0.408102810382843,-0.2615301012992859","0.48206228017807007,0.40909796953201294,-0.26474082469940186","0.5488665699958801,0.5091269612312317,-0.1300969272851944","0.4439953863620758,0.47823917865753174,-0.14944854378700256","0.565814733505249,0.6581826210021973,-0.09837452322244644","0.38530510663986206,0.5477966666221619,-0.3310216963291168","0.5598570108413696,0.8014096021652222,-0.15046070516109467","0.4578773081302643,0.5054582953453064,-0.5624151229858398","0.562118649482727,0.8480479121208191,-0.17486876249313354","0.47590646147727966,0.5150801539421082,-0.6247644424438477","0.5521675944328308,0.8487573266029358,-0.20123057067394257","0.4838905334472656,0.4993589520454407,-0.6076620221138","0.5483168363571167,0.8352777361869812,-0.16076287627220154","0.4794020652770996,0.49920853972435,-0.5625184178352356","0.525545060634613,0.7798237204551697,0.0041349357925355434","0.466036319732666,0.781597375869751,-0.004247646778821945","0.526104211807251,0.9461240172386169,0.08622176200151443","0.4743257164955139,0.9432336688041687,0.07581327110528946","0.5262973308563232,1.1203752756118774,0.31868433952331543","0.47603073716163635,1.0997653007507324,0.3024578094482422","0.5297197103500366,1.1410483121871948,0.3365890681743622","0.4803352952003479,1.125723958015442,0.32150933146476746","0.50949627161026,1.1822237968444824,0.2529861032962799","0.4688716530799866,1.1560002565383911,0.23526521027088165"
