az,el,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
-0.5,0.0,"0.47359520196914673,0.28759828209877014,-0.14791177213191986","0.479945570230484,0.26821020245552063,-0.12234093993902206","0.48547154664993286,0.2672562301158905,-0.12259204685688019","0.4906535744667053,0.26649394631385803,-0.12260259687900543","0.4680176377296448,0.27118197083473206,-0.1318766474723816","0.4645242691040039,0.2727365791797638,-0.1322888880968094","0.46100956201553345,0.2746560275554657,-0.13263371586799622","0.5018688440322876,0.2737109363079071,0.006576815154403448","0.46263089776039124,0.2845006585121155,-0.036527737975120544","0.4867296814918518,0.3045649528503418,-0.09674108773469925","0.4709964394569397,0.3079531788825989,-0.1110498458147049","0.54507976770401,0.39638009667396545,0.10448344051837921","0.45085591077804565,0.3744340240955353,-0.06648866832256317","0.5655007362365723,0.5165723562240601,0.19607698917388916","0.5263335108757019,0.3806074261665344,-0.2115437090396881","0.5636112689971924,0.6180644631385803,0.18537060916423798","0.631500244140625,0.34111329913139343,-0.3563286066055298","0.5602503418922424,0.6549148559570312,0.18212001025676727","0.656775176525116,0.33904701471328735,-0.42106443643569946","0.5548437833786011,0.6461663246154785,0.1476621925830841","0.6612188220024109,0.3330457806587219,-0.3960953950881958","0.5530402064323425,0.637827455997467,0.17289148271083832","0.6520754098892212,0.34013980627059937,-0.3511176109313965","0.5314576625823975,0.7225339412689209,0.027772432193160057","0.4683913588523865,0.7200349569320679,-0.02793089672923088","0.5282691717147827,0.9623125791549683,-0.014045415446162224","0.483652263879776,0.9621134996414185,0.008559239096939564","0.5246129035949707,1.1856122016906738,0.13058024644851685","0.4899076819419861,1.1653594970703125,0.15694761276245117","0.5263861417770386,1.2094228267669678,0.13964568078517914","0.49745064973831177,1.1990857124328613,0.16776806116104126","0.5016311407089233,1.2690192461013794,0.031184395775198936","0.4813064634799957,1.233372449874878,0.0633387342095375"
-0.5,0.0,"0.4738193452358246,0.28751340508461,-0.22704434394836426","0.48026594519615173,0.26653629541397095,-0.20224452018737793","0.48581576347351074,0.2654910385608673,-0.20260770618915558","0.49087804555892944,0.2647523283958435,-0.20258696377277374","0.46815913915634155,0.27001461386680603,-0.21164414286613464","0.4646519124507904,0.271499365568161,-0.2120540589094162","0.4610676169395447,0.2731475830078125,-0.21240203082561493","0.5020098686218262,0.27287113666534424,-0.06897807866334915","0.46263042092323303,0.28272148966789246,-0.1113828793168068","0.48711735010147095,0.3040703237056732,-0.1733870506286621","0.47100910544395447,0.3073902428150177,-0.18773236870765686","0.545486330986023,0.39278942346572876,0.027565017342567444","0.45012784004211426,0.37456148862838745,-0.13137999176979065","0.5690665245056152,0.5083655714988708,0.09565018117427826","0.5262232422828674,0.3814930021762848,-0.2830262780189514","0.5657399892807007,0.6211708784103394,0.04726802557706833","0.6317684054374695,0.34256240725517273,-0.42429566383361816","0.5613297820091248,0.6590279340744019,0.03527803346514702","0.6581896543502808,0.33975377678871155,-0.4934675693511963","0.5549055337905884,0.6541646122932434,-0.001083341077901423","0.6617253422737122,0.3362615406513214,-0.4693443775177002","0.5533122420310974,0.6415445804595947,0.03332500159740448","0.6525828242301941,0.34284189343452454,-0.4199954569339752","0.5327509641647339,0.724307656288147,0.027551526203751564","0.46868735551834106,0.7278850078582764,-0.027707386761903763","0.5283762216567993,0.9584230780601501,0.0409427285194397","0.48301658034324646,0.9586647152900696,0.06926405429840088","0.5279038548469543,1.1520696878433228,0.2556157112121582","0.4866274297237396,1.1345305442810059,0.27261847257614136","0.5313266515731812,1.1713889837265015,0.272271066904068","0.49347537755966187,1.1658810377120972,0.28901973366737366","0.5020121932029724,1.215082049369812,0.1789798140525818","0.4745059013366699,1.1881893873214722,0.19950291514396667"
-0.5,0.0,"0.4739331305027008,0.2871769964694977,-0.2374596893787384","0.4803510308265686,0.2652442753314972,-0.2125501185655594","0.48587530851364136,0.2641802132129669,-0.2129211127758026","0.4908844530582428,0.2634689211845398,-0.21290071308612823","0.46824678778648376,0.2688176929950714,-0.22136476635932922","0.4647544026374817,0.27023911476135254,-0.22177760303020477","0.46110931038856506,0.27170848846435547,-0.22212210297584534","0.5020791888237,0.2721817195415497,-0.07942306995391846","0.46263009309768677,0.2816174328327179,-0.11872255802154541","0.48718342185020447,0.3035039007663727,-0.18397292494773865","0.47104111313819885,0.3067460060119629,-0.19743165373802185","0.5457960963249207,0.39227011799812317,0.018839264288544655","0.4499920904636383,0.3748670220375061,-0.1389772742986679","0.5705850720405579,0.5081396698951721,0.08675557374954224","0.5260177850723267,0.38214612007141113,-0.2867332398891449","0.5662724375724792,0.6219236850738525,0.03822224959731102","0.6317811012268066,0.3429628014564514,-0.42269548773765564","0.5615905523300171,0.6599980592727661,0.026349911466240883","0.6586762070655823,0.34029582142829895,-0.49099001288414","0.5548869371414185,0.655589759349823,-0.009759493172168732","0.661815881729126,0.33731383085250854,-0.467064768075943","0.5533552169799805,0.6416657567024231,0.024441948160529137","0.6527591943740845,0.34345144033432007,-0.4183523654937744","0.5333534479141235,0.7260732650756836,0.027222618460655212","0.4687492251396179,0.7322171330451965,-0.027386894449591637","0.5284202098846436,0.9559531211853027,0.037108276039361954","0.48268041014671326,0.9556524753570557,0.09136159718036652","0.5290259122848511,1.1503796577453613,0.23797151446342468","0.48718976974487305,1.0655325651168823,0.297470360994339","0.532251238822937,1.1706892251968384,0.253153532743454","0.490967333316803,1.1589858531951904,0.31407585740089417","0.5033255815505981,1.2131657600402832,0.16126033663749695","0.4709950089454651,1.1784825325012207,0.23052220046520233"
-0.5,0.0,"0.4745039939880371,0.28691643476486206,-0.2080865204334259","0.48066097497940063,0.2643272280693054,-0.18277229368686676","0.4860408306121826,0.26315879821777344,-0.18310409784317017","0.49091944098472595,0.26231494545936584,-0.18309059739112854","0.4685531556606293,0.26817813515663147,-0.19195428490638733","0.46511954069137573,0.2695954740047455,-0.1923673450946808","0.46141529083251953,0.2709788978099823,-0.19270917773246765","0.5021106004714966,0.27170631289482117,-0.05136774852871895","0.462716281414032,0.28073713183403015,-0.09233764559030533","0.48750796914100647,0.30292677879333496,-0.15552733838558197","0.4713040888309479,0.3063267469406128,-0.16940942406654358","0.5463460087776184,0.39206162095069885,0.04395411163568497","0.4498077929019928,0.375292032957077,-0.11791219562292099","0.5709316730499268,0.5075612664222717,0.08850061148405075","0.5257192850112915,0.38211849331855774,-0.26522594690322876","0.5662312507629395,0.6218731999397278,0.003907251637428999","0.6318959593772888,0.3430931270122528,-0.4036272466182709","0.5615831613540649,0.6587758660316467,-0.013724272139370441","0.6591506600379944,0.34041494131088257,-0.47021573781967163","0.5547476410865784,0.6552378535270691,-0.04745909199118614","0.6619278192520142,0.3379267454147339,-0.4457976818084717","0.5533374547958374,0.6408241987228394,-0.010060636326670647","0.6528801918029785,0.343919038772583,-0.39878591895103455","0.5334498286247253,0.7260430455207825,0.02722978964447975","0.4687495231628418,0.7317594885826111,-0.02739540860056877","0.5284637212753296,0.9552740454673767,0.024591170251369476","0.4824010729789734,0.9558092951774597,0.07285203784704208","0.5293828248977661,1.1530287265777588,0.20805034041404724","0.48504456877708435,1.0757523775100708,0.26312220096588135","0.5320494771003723,1.174875020980835,0.2211187183856964","0.49020877480506897,1.16504967212677,0.2776181697845459","0.5071582198143005,1.2149455547332764,0.12347744405269623","0.470329225063324,1.1854504346847534,0.18639101088047028"
-0.5,0.0,"0.47465038299560547,0.28618162870407104,-0.209652379155159","0.4807237982749939,0.2631396949291229,-0.1839619278907776","0.4860880374908447,0.2618877589702606,-0.1843155324459076","0.49092841148376465,0.2610000967979431,-0.1842961311340332","0.46860504150390625,0.26744186878204346,-0.19340826570987701","0.4651743471622467,0.26891955733299255,-0.1938265711069107","0.46146488189697266,0.27030059695243835,-0.19417323172092438","0.5021182298660278,0.271375834941864,-0.052111320197582245","0.4627324640750885,0.27997639775276184,-0.09401976317167282","0.4876738488674164,0.3021889328956604,-0.15692898631095886","0.47140341997146606,0.3057500422000885,-0.17115524411201477","0.546366810798645,0.3922300934791565,0.045568324625492096","0.4497304856777191,0.3753780722618103,-0.12226587533950806","0.571078896522522,0.5078030228614807,0.09756217151880264","0.5243208408355713,0.38231709599494934,-0.2689841091632843","0.5662060976028442,0.6240152716636658,0.02607620321214199","0.6318976283073425,0.3431227207183838,-0.40188273787498474","0.5616071820259094,0.6599720120429993,0.011332271620631218","0.6594828367233276,0.34040388464927673,-0.4696194529533386","0.5546677708625793,0.6562449336051941,-0.02329782396554947","0.6621638536453247,0.33747485280036926,-0.4451143145561218","0.5532743334770203,0.6416533589363098,0.01213720254600048","0.6530939340591431,0.3431459963321686,-0.39713916182518005","0.5334552526473999,0.726341187953949,0.0283042099326849","0.4687565863132477,0.7321048974990845,-0.028477881103754044","0.5285156965255737,0.9546735882759094,0.028564512729644775","0.48219308257102966,0.9558047652244568,0.06863474100828171","0.5294524431228638,1.1535826921463013,0.22395142912864685","0.48426002264022827,1.0914502143859863,0.2683556079864502","0.5318443775177002,1.1761294603347778,0.2382374256849289","0.4898652136325836,1.1661763191223145,0.2839983105659485","0.5102660655975342,1.214145541191101,0.14238408207893372","0.47065433859825134,1.185070514678955,0.19288484752178192"
-0.5,0.0,"0.47484803199768066,0.2859439253807068,-0.2013842761516571","0.48083430528640747,0.262658953666687,-0.1757710874080658","0.4861462116241455,0.2612425684928894,-0.17609961330890656","0.49094682931900024,0.2602141797542572,-0.17608875036239624","0.46874815225601196,0.26716652512550354,-0.18515509366989136","0.4653390347957611,0.26862624287605286,-0.18557068705558777","0.4616920053958893,0.2699977159500122,-0.1859162151813507","0.5021526217460632,0.27120766043663025,-0.044653668999671936","0.4629752039909363,0.27975669503211975,-0.08692136406898499","0.48780709505081177,0.3017885982990265,-0.14886872470378876","0.47164812684059143,0.3055211901664734,-0.16305069625377655","0.5464397072792053,0.39227524399757385,0.051830269396305084","0.44971948862075806,0.37541526556015015,-0.11664388328790665","0.5710126757621765,0.5081939101219177,0.09428630769252777","0.5233449339866638,0.3825702369213104,-0.2634630799293518","0.565392792224884,0.6258874535560608,0.006553774233907461","0.6306585073471069,0.34238559007644653,-0.3969470262527466","0.560912013053894,0.660732626914978,-0.010777304880321026","0.6575210690498352,0.3401121199131012,-0.4641137719154358","0.5534807443618774,0.6562540531158447,-0.0445181205868721","0.6605662107467651,0.33548077940940857,-0.43975868821144104","0.5523865222930908,0.6419423222541809,-0.007618822157382965","0.6517271399497986,0.34018757939338684,-0.39226552844047546","0.5334464311599731,0.7264309525489807,0.028598602861166","0.4688105583190918,0.7318403720855713,-0.028773989528417587","0.5285338163375854,0.9545557498931885,0.03629317507147789","0.4821047782897949,0.9558553695678711,0.07083892077207565","0.5294317007064819,1.155075192451477,0.2252081334590912","0.4827369749546051,1.0977587699890137,0.2614686191082001","0.5316892266273499,1.1779065132141113,0.23855659365653992","0.4886910319328308,1.1685963869094849,0.2760107219219208","0.5105545520782471,1.2153862714767456,0.1420922875404358","0.4687264859676361,1.1875406503677368,0.18369300663471222"
-0.5,0.0,"0.4742363393306732,0.28247684240341187,-0.20347976684570312","0.48054057359695435,0.2599866986274719,-0.1791747808456421","0.48597097396850586,0.2589344084262848,-0.17953303456306458","0.4908722937107086,0.25827541947364807,-0.17951956391334534","0.468658983707428,0.2644737958908081,-0.1868904083967209","0.46529674530029297,0.26616913080215454,-0.18732374906539917","0.46168071031570435,0.2677503228187561,-0.18769003450870514","0.5023621916770935,0.2702885568141937,-0.05479414016008377","0.4631057381629944,0.27800285816192627,-0.08865486085414886","0.48772501945495605,0.2995242476463318,-0.15354010462760925","0.47134914994239807,0.3033013939857483,-0.1654682159423828","0.5471177101135254,0.3920060098171234,0.04004225879907608","0.44890156388282776,0.3753199279308319,-0.11513479053974152","0.5708738565444946,0.5107406377792358,0.10184808820486069","0.5173070430755615,0.38761982321739197,-0.2606815695762634","0.5648198127746582,0.6268940567970276,0.046113256365060806","0.6206551790237427,0.3420155346393585,-0.40376025438308716","0.5604135990142822,0.662014365196228,0.03437579795718193","0.6471689939498901,0.34137916564941406,-0.47110646963119507","0.552703857421875,0.6570879220962524,-0.0005373238818719983","0.6497119069099426,0.33523085713386536,-0.44690537452697754","0.5516124367713928,0.6426305174827576,0.032358746975660324","0.6414995193481445,0.3377372622489929,-0.3994021713733673","0.533514678478241,0.7263190150260925,0.026969637721776962","0.4688653349876404,0.731573760509491,-0.027141083031892776","0.5287549495697021,0.9529974460601807,0.039183247834444046","0.48199033737182617,0.9548043012619019,0.07349198311567307","0.5294857621192932,1.1486133337020874,0.233510822057724","0.4834436774253845,1.0653274059295654,0.2639773488044739","0.5317379236221313,1.170797348022461,0.24777372181415558","0.48804083466529846,1.1602749824523926,0.2790260910987854","0.5102981328964233,1.2079524993896484,0.15526826679706573","0.46753978729248047,1.176376223564148,0.1901535540819168"
-0.5,0.0,"0.47425445914268494,0.2825290858745575,-0.1954554170370102","0.48066845536231995,0.26008448004722595,-0.17070308327674866","0.48610296845436096,0.25901681184768677,-0.1710914671421051","0.4910130500793457,0.258340448141098,-0.1710740625858307","0.46872860193252563,0.2645391821861267,-0.1798793375492096","0.465400367975235,0.26620781421661377,-0.18033045530319214","0.4617777466773987,0.2677690088748932,-0.180719256401062","0.5024339556694031,0.2702854573726654,-0.04753662273287773","0.4633709490299225,0.2780100703239441,-0.08761097490787506","0.4877290725708008,0.29947423934936523,-0.14566978812217712","0.47133174538612366,0.30311277508735657,-0.15949755907058716","0.5472062230110168,0.39210981130599976,0.051660023629665375","0.44811639189720154,0.37405598163604736,-0.11285082250833511","0.5707889795303345,0.5128453373908997,0.10775508731603622","0.5129126310348511,0.3942413628101349,-0.2529184818267822","0.5638337135314941,0.6341511607170105,0.048827510327100754","0.6171972751617432,0.3421686887741089,-0.3817290663719177","0.5590987801551819,0.6718565225601196,0.03575316444039345","0.6439270973205566,0.34139981865882874,-0.44741612672805786","0.5503201484680176,0.6652975082397461,0.0005301172495819628","0.6446923017501831,0.3331543207168579,-0.42305150628089905","0.5495482683181763,0.6499841809272766,0.034574974328279495","0.6367081999778748,0.3343571722507477,-0.376773864030838","0.5335254073143005,0.7249781489372253,0.02938014641404152","0.4688125252723694,0.7310045957565308,-0.029544580727815628","0.5287920832633972,0.9525803327560425,0.038270071148872375","0.481920063495636,0.9548822045326233,0.07243005931377411","0.5291838049888611,1.1483029127120972,0.2360556423664093","0.4827338755130768,1.0967521667480469,0.25245529413223267","0.5308572053909302,1.1704102754592896,0.2506936490535736","0.48784247040748596,1.1629304885864258,0.2668614983558655","0.5104681253433228,1.2091972827911377,0.1588400900363922","0.46769946813583374,1.1811202764511108,0.17527854442596436"
-0.5,0.0,"0.47427207231521606,0.2837478220462799,-0.18859681487083435","0.4807477593421936,0.2607417702674866,-0.16456708312034607","0.48617681860923767,0.25944530963897705,-0.16495510935783386","0.4911101460456848,0.25862187147140503,-0.1649349331855774","0.4687870144844055,0.2653965353965759,-0.17281782627105713","0.4655326306819916,0.26689422130584717,-0.1732693612575531","0.46189484000205994,0.26835304498672485,-0.17364820837974548","0.5024722814559937,0.27037352323532104,-0.04394688829779625","0.46350473165512085,0.2782730460166931,-0.07867670059204102","0.4877277910709381,0.30017217993736267,-0.13927200436592102","0.47128167748451233,0.3035711348056793,-0.1518263965845108","0.5472005605697632,0.3929820656776428,0.05327170342206955","0.4479374289512634,0.3740496337413788,-0.1041417345404625","0.5701625347137451,0.5183219313621521,0.10625709593296051","0.5097070932388306,0.39680710434913635,-0.24037861824035645","0.5626388192176819,0.6388123631477356,0.02888314798474312","0.614388108253479,0.343256413936615,-0.36981964111328125","0.5573375821113586,0.6758073568344116,0.013707941398024559","0.6413799524307251,0.3414868116378784,-0.4343758225440979","0.5487053394317627,0.6684752702713013,-0.020034920424222946","0.6423488855361938,0.3331616222858429,-0.41070061922073364","0.5483396053314209,0.6538960337638855,0.014985812827944756","0.6344723701477051,0.33459049463272095,-0.3651358187198639","0.5335201621055603,0.7256218194961548,0.029309948906302452","0.46875476837158203,0.7320069074630737,-0.02947315014898777","0.5288729071617126,0.9526274800300598,0.034553371369838715","0.4818970561027527,0.9549237489700317,0.06669943034648895","0.528654158115387,1.147920846939087,0.23137915134429932","0.48094525933265686,1.1095467805862427,0.2500397861003876","0.5295162796974182,1.1702861785888672,0.24610038101673126","0.48674535751342773,1.1644880771636963,0.26472675800323486","0.5108550190925598,1.2083684206008911,0.15706129372119904","0.4661417603492737,1.1822493076324463,0.17588695883750916"
-0.5,0.0,"0.4744061529636383,0.2837691307067871,-0.18689201772212982","0.48079341650009155,0.2608047127723694,-0.16317720711231232","0.48621100187301636,0.25947219133377075,-0.16356238722801208","0.49116405844688416,0.2585970163345337,-0.16353772580623627","0.4688970446586609,0.2654208838939667,-0.16997787356376648","0.46579211950302124,0.2669239938259125,-0.1704254001379013","0.4622220993041992,0.2683846354484558,-0.17080123722553253","0.5026055574417114,0.27025073766708374,-0.043063435703516006","0.4638892710208893,0.27832934260368347,-0.06967698782682419","0.4877847731113434,0.29989802837371826,-0.13789650797843933","0.47133272886276245,0.30358269810676575,-0.14840123057365417","0.5474241971969604,0.3929121196269989,0.05336080119013786","0.44827309250831604,0.3764213025569916,-0.09386105835437775","0.5698713064193726,0.51592618227005,0.09676353633403778","0.5073245167732239,0.3966846466064453,-0.23944132030010223","0.5632035136222839,0.6373270750045776,0.01887640915811062","0.6094223856925964,0.3455534279346466,-0.3824399411678314","0.5574241280555725,0.6756479740142822,0.0032068241853266954","0.6376761198043823,0.3443402051925659,-0.4493134915828705","0.5488454103469849,0.6682348847389221,-0.03008275106549263","0.6383310556411743,0.3344479501247406,-0.42552050948143005","0.5488437414169312,0.6523980498313904,0.005219277460128069","0.6300104260444641,0.3353884220123291,-0.37843915820121765","0.5337161421775818,0.7270693182945251,0.02647336944937706","0.46865788102149963,0.7337295413017273,-0.026627060025930405","0.528882622718811,0.9532434940338135,0.032316841185092926","0.48187440633773804,0.9554876685142517,0.06935805082321167","0.528048574924469,1.148989200592041,0.22586870193481445","0.47967129945755005,1.1168683767318726,0.26437196135520935","0.529123067855835,1.1714777946472168,0.24023517966270447","0.4856850206851959,1.1651512384414673,0.28025326132774353","0.5090919137001038,1.2109887599945068,0.14859135448932648","0.46534261107444763,1.1832892894744873,0.19388391077518463"
