gesture,[0],[7],[8],[11],[13],[15],[23],[23]
0.0,"0.4783478379249573,0.4208028018474579,-0.42988696694374084","0.5265248417854309,0.36181291937828064,-0.24072864651679993","0.42507559061050415,0.37296006083488464,-0.27104029059410095","0.6396860480308533,0.6779045462608337,-0.19741655886173248","0.6126784682273865,0.9771074056625366,-0.5609122514724731","0.5086409449577332,0.45832234621047974,-0.847103476524353","0.5897020697593689,1.3774417638778687,0.04678533226251602","0.5897020697593689,1.3774417638778687,0.04678533226251602"
0.0,"0.47810569405555725,0.4208231568336487,-0.3995528221130371","0.5220908522605896,0.3618259131908417,-0.19109496474266052","0.4249606728553772,0.37297430634498596,-0.20800116658210754","0.639232873916626,0.6779184937477112,-0.1515808254480362","0.6150535941123962,0.9746716022491455,-0.5677984356880188","0.5081779956817627,0.4429750144481659,-0.9322018623352051","0.5893829464912415,1.4004849195480347,0.05153730511665344","0.5893829464912415,1.4004849195480347,0.05153730511665344"
0.0,"0.4790995121002197,0.43033191561698914,-0.403750479221344","0.5219992399215698,0.37988412380218506,-0.17899757623672485","0.4249763488769531,0.38130509853363037,-0.20401215553283691","0.6393570303916931,0.6805064082145691,-0.1315581351518631","0.6158282160758972,0.974638044834137,-0.5698493123054504","0.5087254047393799,0.43384167551994324,-0.9667035341262817","0.5907010436058044,1.4070377349853516,0.057304829359054565","0.5907010436058044,1.4070377349853516,0.057304829359054565"
0.0,"0.4798329770565033,0.432966947555542,-0.40246859192848206","0.5212679505348206,0.38759660720825195,-0.15754297375679016","0.42497625946998596,0.3841153085231781,-0.20742948353290558","0.6386659741401672,0.6806061863899231,-0.09739448130130768","0.630855143070221,0.9746426939964294,-0.5263140201568604","0.5114577412605286,0.42805126309394836,-0.9331299066543579","0.5913611650466919,1.413199782371521,0.06579472124576569","0.5913611650466919,1.413199782371521,0.06579472124576569"
0.0,"0.4817715287208557,0.4327529966831207,-0.3434739112854004","0.5212136507034302,0.38634419441223145,-0.10743498802185059","0.4256315231323242,0.383941650390625,-0.16902285814285278","0.6370897889137268,0.6807346343994141,-0.06689552962779999","0.6260790824890137,0.9687327742576599,-0.5114749670028687","0.5124922394752502,0.4249188303947449,-0.9345806241035461","0.5912646055221558,1.4129470586776733,0.06776009500026703","0.5912646055221558,1.4129470586776733,0.06776009500026703"
0.0,"0.48175278306007385,0.435872346162796,-0.36293622851371765","0.5203715562820435,0.38544586300849915,-0.1789161115884781","0.42597895860671997,0.38196873664855957,-0.17456121742725372","0.6369948983192444,0.6807907819747925,-0.15140044689178467","0.6106972098350525,0.966896653175354,-0.5607300996780396","0.5077340006828308,0.42630326747894287,-0.9302085638046265","0.5895297527313232,1.4162548780441284,0.05379815772175789","0.5895297527313232,1.4162548780441284,0.05379815772175789"
0.0,"0.4803263545036316,0.4442874789237976,-0.45720213651657104","0.5198580622673035,0.398234099149704,-0.27344971895217896","0.4260556697845459,0.3922196328639984,-0.22998850047588348","0.6378771066665649,0.6806730628013611,-0.23051798343658447","0.6084077954292297,0.9762759804725647,-0.5647210478782654","0.5063565373420715,0.42924606800079346,-0.804967999458313","0.5856261253356934,1.4268295764923096,0.03328356146812439","0.5856261253356934,1.4268295764923096,0.03328356146812439"
0.0,"0.48037105798721313,0.45220696926116943,-0.44589877128601074","0.5203291177749634,0.4027691185474396,-0.27416175603866577","0.426659494638443,0.3976559042930603,-0.24114950001239777","0.63812255859375,0.680182695388794,-0.23029157519340515","0.6084830164909363,0.9778569340705872,-0.5120176076889038","0.4984710216522217,0.4626031219959259,-0.6851140856742859","0.583785355091095,1.4253700971603394,0.023129133507609367","0.583785355091095,1.4253700971603394,0.023129133507609367"
0.0,"0.4804977476596832,0.45131203532218933,-0.5380119681358337","0.5212780237197876,0.4010069668292999,-0.3568628132343292","0.4297565817832947,0.39635226130485535,-0.33851081132888794","0.6420807242393494,0.6777431964874268,-0.2896145284175873","0.6086694598197937,0.9942198991775513,-0.6162469387054443","0.4919211268424988,0.4903795123100281,-0.8670142292976379","0.5838838815689087,1.4304600954055786,0.026357391849160194","0.5838838815689087,1.4304600954055786,0.026357391849160194"
0.0,"0.48166054487228394,0.4399925172328949,-0.4971931576728821","0.5254870653152466,0.3993256390094757,-0.3100971281528473","0.43179813027381897,0.38759562373161316,-0.307300329208374","0.643390953540802,0.6772705316543579,-0.2565281093120575","0.6099284887313843,0.9977560043334961,-0.5987023115158081","0.49145349860191345,0.5021790266036987,-0.8667033910751343","0.5836371779441833,1.4335379600524902,0.027334123849868774","0.5836371779441833,1.4335379600524902,0.027334123849868774"
