gesture,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
-0.5,"0.34467267990112305,0.40731704235076904,-0.5585121512413025","0.35409054160118103,0.345167875289917,-0.4824727475643158","0.3663013279438019,0.34839415550231934,-0.48294082283973694","0.3741299510002136,0.35082972049713135,-0.48310765624046326","0.32024791836738586,0.3417900800704956,-0.5117146968841553","0.30665215849876404,0.3449336290359497,-0.5124171376228333","0.29237157106399536,0.3490712642669678,-0.5126356482505798","0.3712780773639679,0.3818701505661011,-0.11503329128026962","0.2602534890174866,0.3902139365673065,-0.2439652383327484","0.36554983258247375,0.4574131965637207,-0.4186406135559082","0.32522261142730713,0.4699212908744812,-0.46125325560569763","0.465410053730011,0.7118111252784729,0.054627954959869385","0.1794261634349823,0.7507852911949158,-0.18910115957260132","0.6286724805831909,0.7595129013061523,-0.1652979850769043","0.1611049324274063,1.0536046028137207,-0.4393311142921448","0.820635974407196,0.7371796369552612,-0.7537773251533508","0.1887100487947464,1.5445636510849,-0.8394305109977722","0.8807860612869263,0.6893953084945679,-0.8621789813041687","0.18071408569812775,1.662967562675476,-0.9450668096542358","0.8735398054122925,0.6877464652061462,-0.9377778172492981","0.19750849902629852,1.650301456451416,-1.0226529836654663","0.8461705446243286,0.7260146141052246,-0.8018921613693237","0.20438101887702942,1.6097254753112793,-0.8838363885879517","0.45103970170021057,1.47274649143219,0.09988943487405777","0.2590348720550537,1.51566481590271,-0.10073910653591156","0.4813362956047058,2.1330480575561523,-0.06871121376752853","0.3089066743850708,2.1213598251342773,-0.709354043006897","0.4782596528530121,2.707388162612915,0.034418072551488876","0.29944077134132385,2.6926441192626953,-0.439659059047699","0.48032817244529724,2.802633762359619,0.022569257766008377","0.29117441177368164,2.781137228012085,-0.42530861496925354","0.4694406986236572,2.8245596885681152,-0.32541316747665405","0.34183886647224426,2.8169400691986084,-0.716835618019104"
-0.5,"0.3470107913017273,0.4071754515171051,-0.3122260868549347","0.3549555838108063,0.34543368220329285,-0.25309038162231445","0.3663462698459625,0.34889084100723267,-0.25368523597717285","0.3746720552444458,0.3515157997608185,-0.25387313961982727","0.3215084373950958,0.3417379856109619,-0.29136157035827637","0.30778855085372925,0.34482067823410034,-0.2921813130378723","0.2935270071029663,0.3490256667137146,-0.2925230860710144","0.37118759751319885,0.3830984830856323,0.030877258628606796","0.2610776126384735,0.3901984691619873,-0.1387949138879776","0.36579808592796326,0.4573401212692261,-0.1996370106935501","0.32566118240356445,0.46829065680503845,-0.25452935695648193","0.4656659662723541,0.7118859887123108,0.20650915801525116","0.181227907538414,0.7500157952308655,-0.16695788502693176","0.6276892423629761,0.7642121315002441,0.16923609375953674","0.20294341444969177,1.0538222789764404,-0.37861138582229614","0.8207141757011414,0.7392387986183167,-0.24089081585407257","0.4118233621120453,1.3078855276107788,-0.6136018633842468","0.8810450434684753,0.6961820721626282,-0.3036135137081146","0.45540332794189453,1.3724275827407837,-0.7041552662849426","0.8737579584121704,0.6936799883842468,-0.3822081387042999","0.4710301458835602,1.3200907707214355,-0.7254074811935425","0.8461740612983704,0.7291752099990845,-0.28280535340309143","0.4548848271369934,1.29508376121521,-0.6302419900894165","0.46054476499557495,1.4771533012390137,0.12745991349220276","0.26955217123031616,1.5227893590927124,-0.12812510132789612","0.5021671652793884,2.13927960395813,0.07535384595394135","0.3171893060207367,2.121657371520996,-0.7058546543121338","0.4941726326942444,2.716844081878662,0.26549068093299866","0.3170742392539978,2.7087247371673584,-0.4876311421394348","0.4942641258239746,2.8087809085845947,0.2678745687007904","0.3025965988636017,2.8001437187194824,-0.4756379723548889","0.49112576246261597,2.839865207672119,0.013126080855727196","0.37856173515319824,2.8277127742767334,-0.7241126298904419"
-0.5,"0.34824952483177185,0.4047374427318573,-0.3264540135860443","0.3552805781364441,0.3454398810863495,-0.2573167383670807","0.36636629700660706,0.34909525513648987,-0.2578883767127991","0.37515532970428467,0.3519921898841858,-0.258078008890152","0.32181882858276367,0.34153130650520325,-0.2991882562637329","0.3080466091632843,0.3447549045085907,-0.2999446988105774","0.29409414529800415,0.3490571677684784,-0.30026546120643616","0.37118610739707947,0.3841691017150879,0.05297517776489258","0.2624267637729645,0.3920518755912781,-0.13493527472019196","0.36615508794784546,0.45665106177330017,-0.20635798573493958","0.32615095376968384,0.4664890766143799,-0.2662179172039032","0.46828770637512207,0.7140808701515198,0.22291550040245056","0.18450897932052612,0.7498082518577576,-0.16936568915843964","0.6279321312904358,0.7683050632476807,0.2230980098247528","0.20971140265464783,1.0578620433807373,-0.4353507459163666","0.8228365182876587,0.7396150231361389,-0.10635946691036224","0.3233044743537903,1.3519203662872314,-0.640228271484375","0.8818926811218262,0.6961016058921814,-0.1542833149433136","0.3356723189353943,1.4474819898605347,-0.709906280040741","0.8742759823799133,0.6938962340354919,-0.24075515568256378","0.35160642862319946,1.4115067720413208,-0.8412723541259766","0.8479377627372742,0.7292834520339966,-0.15052653849124908","0.34907397627830505,1.3758314847946167,-0.678287923336029","0.4617384970188141,1.4857964515686035,0.14476904273033142","0.27234283089637756,1.5290652513504028,-0.1454746425151825","0.5047327280044556,2.146413803100586,0.1719227135181427","0.3204211890697479,2.121603488922119,-0.6858296990394592","0.5002745389938354,2.7279763221740723,0.4213734567165375","0.32215794920921326,2.720895528793335,-0.4851384162902832","0.49979710578918457,2.821394920349121,0.4277498722076416","0.307942658662796,2.8191583156585693,-0.4704696238040924","0.503029465675354,2.8597655296325684,0.16147224605083466","0.3790438771247864,2.843207597732544,-0.7156654000282288"
-0.5,"0.3496134579181671,0.39584869146347046,-0.3002541661262512","0.35584020614624023,0.3425709307193756,-0.2311287373304367","0.3669256567955017,0.3465261161327362,-0.23169562220573425","0.37705546617507935,0.35020706057548523,-0.23189887404441833","0.3226087689399719,0.33958712220191956,-0.26948267221450806","0.30925461649894714,0.343217670917511,-0.2702649235725403","0.29539361596107483,0.34818235039711,-0.27061110734939575","0.3722720146179199,0.3841562867164612,0.07326812297105789","0.2648705542087555,0.39204859733581543,-0.10007735341787338","0.36660903692245483,0.452804833650589,-0.18356606364250183","0.3271676301956177,0.4586610198020935,-0.23905670642852783","0.4717005789279938,0.7161061763763428,0.23391470313072205","0.1903156340122223,0.7493414878845215,-0.14400121569633484","0.6296390295028687,0.77073073387146,0.21426530182361603","0.20970582962036133,1.0568652153015137,-0.4188241958618164","0.8266986012458801,0.7406379580497742,-0.14093859493732452","0.3437708020210266,1.3755536079406738,-0.7065221667289734","0.8836776614189148,0.6962766647338867,-0.19330832362174988","0.3631463348865509,1.4625400304794312,-0.8004630208015442","0.8761501312255859,0.6941913366317749,-0.27319201827049255","0.38023361563682556,1.4274240732192993,-0.8545586466789246","0.8518295288085938,0.729334831237793,-0.18223409354686737","0.37394917011260986,1.3962851762771606,-0.7359614372253418","0.46566087007522583,1.4881082773208618,0.14460717141628265","0.2754058241844177,1.5300493240356445,-0.14532878994941711","0.5091432332992554,2.15282940864563,0.15678195655345917","0.32221493124961853,2.122246026992798,-0.6950907707214355","0.5037280917167664,2.7391021251678467,0.39026713371276855","0.3250720202922821,2.7273685932159424,-0.5134211778640747","0.5028725862503052,2.831672430038452,0.3957536816596985","0.3113972544670105,2.8254966735839844,-0.5028618574142456","0.5073099732398987,2.8748841285705566,0.12949107587337494","0.37971624732017517,2.850614070892334,-0.7611113786697388"
-0.5,"0.3502656817436218,0.3860224783420563,-0.28745824098587036","0.35666507482528687,0.33712202310562134,-0.2143907994031906","0.36833760142326355,0.3417516350746155,-0.21492984890937805","0.3802095651626587,0.3471633195877075,-0.21510723233222961","0.32351619005203247,0.33506059646606445,-0.25017249584198","0.3106319308280945,0.33862462639808655,-0.2509795129299164","0.29680198431015015,0.3444291651248932,-0.2513282895088196","0.3773108124732971,0.38385170698165894,0.11021934449672699","0.2670446038246155,0.39051657915115356,-0.05020279809832573","0.367309033870697,0.4475584626197815,-0.1633225679397583","0.32770276069641113,0.4506458342075348,-0.21513482928276062","0.47689419984817505,0.7194395065307617,0.29005420207977295","0.19377431273460388,0.7446297407150269,-0.09205861389636993","0.6383196115493774,0.7709741592407227,0.26853328943252563","0.21311113238334656,1.0518183708190918,-0.3449307680130005","0.8301836252212524,0.7427500486373901,-0.12702640891075134","0.43083471059799194,1.2565488815307617,-0.6223098039627075","0.8852723836898804,0.6964848637580872,-0.18675217032432556","0.472308486700058,1.3143309354782104,-0.7218820452690125","0.8778985738754272,0.6968327760696411,-0.26394981145858765","0.4872705340385437,1.2626311779022217,-0.7416874170303345","0.8548612594604492,0.7335661053657532,-0.16771528124809265","0.4722839891910553,1.2403839826583862,-0.6392243504524231","0.4713927209377289,1.4878121614456177,0.14232215285301208","0.27649417519569397,1.5290796756744385,-0.14304427802562714","0.5091164112091064,2.156306743621826,0.1072445958852768","0.3185611069202423,2.122051477432251,-0.7410059571266174","0.502411961555481,2.738110303878784,0.27661243081092834","0.32374876737594604,2.7270593643188477,-0.5694848299026489","0.5024248361587524,2.8302252292633057,0.27434056997299194","0.3101539611816406,2.8241755962371826,-0.5601251125335693","0.5062171220779419,2.8732519149780273,-0.02005987986922264","0.3783699870109558,2.8511464595794678,-0.8284662961959839"
-0.5,"0.3514353036880493,0.38414466381073,-0.27366408705711365","0.3587495684623718,0.3366377353668213,-0.20209376513957977","0.3711928725242615,0.341628760099411,-0.20260770618915558","0.3841317594051361,0.34717893600463867,-0.2027849704027176","0.32621124386787415,0.33440807461738586,-0.23350811004638672","0.3142876625061035,0.3382014334201813,-0.23427864909172058","0.3001999855041504,0.34420791268348694,-0.23455853760242462","0.38297176361083984,0.38404595851898193,0.1087726503610611","0.27195531129837036,0.39053064584732056,-0.032965440303087234","0.368552029132843,0.44677671790122986,-0.15622960031032562","0.3286905586719513,0.4487282335758209,-0.20272532105445862","0.4817829728126526,0.7193610072135925,0.24635770916938782","0.19900645315647125,0.7430140972137451,-0.046037692576646805","0.649319589138031,0.7724435329437256,0.19748255610466003","0.20548966526985168,1.0532336235046387,-0.3084145784378052","0.838901698589325,0.7478523254394531,-0.17104491591453552","0.2691911458969116,1.4169496297836304,-0.6677330732345581","0.8943198323249817,0.703016459941864,-0.22608938813209534","0.26268500089645386,1.5112191438674927,-0.7614084482192993","0.8868752717971802,0.7012777328491211,-0.30791395902633667","0.2706461548805237,1.4917436838150024,-0.815759539604187","0.8626196980476379,0.7367191910743713,-0.21420657634735107","0.2746456265449524,1.460146188735962,-0.7015166878700256","0.4729209840297699,1.486980676651001,0.13734093308448792","0.27882668375968933,1.5259045362472534,-0.13815391063690186","0.517823338508606,2.159447193145752,0.09820689260959625","0.3203169107437134,2.1223905086517334,-0.7343007326126099","0.5068066716194153,2.7412331104278564,0.30088573694229126","0.32462573051452637,2.7375361919403076,-0.5433109402656555","0.5054658651351929,2.8312060832977295,0.30239418148994446","0.3129701316356659,2.8353285789489746,-0.5350659489631653","0.5078490972518921,2.8831286430358887,0.011114323511719704","0.37544572353363037,2.8667891025543213,-0.8168512582778931"
-0.5,"0.35267016291618347,0.3858569264411926,-0.41684722900390625","0.36320656538009644,0.3414779007434845,-0.3526802062988281","0.37691909074783325,0.34652185440063477,-0.35325032472610474","0.3899296820163727,0.35210394859313965,-0.3534296154975891","0.32915520668029785,0.33849862217903137,-0.3629726767539978","0.31737053394317627,0.3422985374927521,-0.36386996507644653","0.30328240990638733,0.34816381335258484,-0.36434346437454224","0.3951358497142792,0.3883373737335205,-0.054821692407131195","0.2800963819026947,0.3947186768054962,-0.09836624562740326","0.3713814616203308,0.4471396505832672,-0.30596494674682617","0.3295632004737854,0.4492796063423157,-0.3261345326900482","0.4948900640010834,0.7193341851234436,0.06615715473890305","0.20175759494304657,0.7481673359870911,-0.08247307687997818","0.6695984601974487,0.7729060053825378,0.063999705016613","0.15000300109386444,1.05294668674469,-0.3313561975955963","0.8644412755966187,0.7501287460327148,-0.2594057023525238","0.1135391965508461,1.4524961709976196,-0.7310294508934021","0.9237951040267944,0.7051950097084045,-0.31383687257766724","0.08970800787210464,1.5553263425827026,-0.8190279006958008","0.9218335151672363,0.7021362781524658,-0.4006999433040619","0.09879958629608154,1.5461437702178955,-0.9127170443534851","0.8954473733901978,0.7371311783790588,-0.30393245816230774","0.11140377819538116,1.5139931440353394,-0.7871367931365967","0.4763595461845398,1.4871861934661865,0.0979742631316185","0.2806565463542938,1.525805950164795,-0.09882581233978271","0.5153397917747498,2.163112163543701,0.10197814553976059","0.3198520541191101,2.1261184215545654,-0.5920957922935486","0.5002298355102539,2.745089292526245,0.32866668701171875","0.3204358220100403,2.738966226577759,-0.31747040152549744","0.4986593723297119,2.833782196044922,0.3312484920024872","0.3116154074668884,2.8332934379577637,-0.3012731671333313","0.48581042885780334,2.8890726566314697,0.019253451377153397","0.358939528465271,2.8781535625457764,-0.5891937017440796"
-0.5,"0.3603501319885254,0.4092123210430145,-0.5215989947319031","0.37340572476387024,0.3663366138935089,-0.4691236913204193","0.3884182572364807,0.37111252546310425,-0.4697413444519043","0.399191677570343,0.37642592191696167,-0.4699327349662781","0.33863288164138794,0.36359256505966187,-0.4799117147922516","0.3272271454334259,0.3652825355529785,-0.4807949960231781","0.3128090798854828,0.36912423372268677,-0.48124319314956665","0.40503019094467163,0.4046894907951355,-0.1949862688779831","0.29237237572669983,0.40657222270965576,-0.24272949993610382","0.3783470392227173,0.4639374911785126,-0.4152701497077942","0.3369012773036957,0.46513277292251587,-0.43472710251808167","0.503424882888794,0.7201305031776428,-0.06639106571674347","0.20766408741474152,0.7559781670570374,-0.16027340292930603","0.6868583559989929,0.7771522402763367,-0.16077038645744324","0.1421738564968109,1.0607858896255493,-0.3355700969696045","0.8927836418151855,0.7553088665008545,-0.5422089695930481","0.12131471931934357,1.4761022329330444,-0.743850588798523","0.9569151997566223,0.7105474472045898,-0.6118422150611877","0.10227785259485245,1.5759992599487305,-0.8223215937614441","0.9528434872627258,0.7029374241828918,-0.6974988579750061","0.11003641784191132,1.5670186281204224,-0.9247367978096008","0.9244486689567566,0.7372563481330872,-0.5884324312210083","0.1208001971244812,1.534893274307251,-0.8015366792678833","0.47635704278945923,1.4877961874008179,0.08156533539295197","0.28072041273117065,1.5258643627166748,-0.08241874724626541","0.5129081010818481,2.1632275581359863,0.13256415724754333","0.3165668845176697,2.1266703605651855,-0.47646600008010864","0.4924163818359375,2.7514631748199463,0.36506181955337524","0.31237009167671204,2.737488031387329,-0.17730194330215454","0.49109023809432983,2.8396148681640625,0.36703604459762573","0.3044590651988983,2.8320889472961426,-0.15983298420906067","0.470622718334198,2.8947129249572754,0.03886885941028595","0.35035890340805054,2.8776655197143555,-0.4513876438140869"
-0.5,"0.3610629737377167,0.4475289285182953,-0.5459831357002258","0.3776654303073883,0.40311551094055176,-0.49402594566345215","0.39220374822616577,0.4048621356487274,-0.49466004967689514","0.40446409583091736,0.40744417905807495,-0.4948553144931793","0.3421625792980194,0.40204954147338867,-0.5005843639373779","0.3301256000995636,0.403012216091156,-0.5013970136642456","0.3162013292312622,0.4038543701171875,-0.5018042325973511","0.4106345772743225,0.4282335937023163,-0.2139187753200531","0.3000463545322418,0.42471322417259216,-0.24269390106201172","0.3811705410480499,0.4972321391105652,-0.43632084131240845","0.3393659293651581,0.4945220649242401,-0.44986042380332947","0.5074651837348938,0.7237383723258972,-0.09757780283689499","0.2140815705060959,0.768810510635376,-0.15931756794452667","0.6964874267578125,0.7788140773773193,-0.26730436086654663","0.14660534262657166,1.1481283903121948,-0.3075235188007355","0.9132875204086304,0.761841893196106,-0.7257782220840454","0.13699564337730408,1.485087275505066,-0.6839445233345032","0.9741705656051636,0.7140926122665405,-0.8178617358207703","0.11714202165603638,1.5839091539382935,-0.7698216438293457","0.9689689874649048,0.7044022083282471,-0.8955996632575989","0.12226109206676483,1.5777086019515991,-0.867263913154602","0.9410781860351562,0.7383880019187927,-0.7716452479362488","0.1340315192937851,1.5448753833770752,-0.7406482100486755","0.4760531783103943,1.4911787509918213,0.058849334716796875","0.28035372495651245,1.5259805917739868,-0.05963911488652229","0.5089372992515564,2.1630187034606934,0.1770879626274109","0.3095560669898987,2.1218221187591553,-0.3667983412742615","0.4878459572792053,2.749540090560913,0.5239108800888062","0.3032856583595276,2.7278010845184326,0.004080918617546558","0.48823195695877075,2.8347506523132324,0.5369945764541626","0.296763151884079,2.818028450012207,0.02816673181951046","0.45907384157180786,2.8923516273498535,0.19813880324363708","0.33869659900665283,2.872515916824341,-0.27441149950027466"
-0.5,"0.36499446630477905,0.4637581408023834,-0.4715498089790344","0.38287144899368286,0.41843125224113464,-0.4447001516819","0.39584097266197205,0.41991126537323,-0.4454178214073181","0.4093252122402191,0.4224983751773834,-0.4456101953983307","0.3482741415500641,0.41738060116767883,-0.4246993064880371","0.33613359928131104,0.41868138313293457,-0.4256327152252197","0.3227076828479767,0.4198160469532013,-0.4261549115180969","0.4162149429321289,0.44556206464767456,-0.14610318839550018","0.30738377571105957,0.43706420063972473,-0.17253008484840393","0.38599544763565063,0.5145210027694702,-0.3981829583644867","0.3453097939491272,0.5126816034317017,-0.3762463331222534","0.513168215751648,0.7320677042007446,-0.03742184489965439","0.22097186744213104,0.7732381820678711,-0.07508489489555359","0.7109144330024719,0.7873862385749817,-0.17716220021247864","0.17045675218105316,1.1697924137115479,-0.19774213433265686","0.9286834597587585,0.7621060609817505,-0.5798430442810059","0.15978297591209412,1.484413981437683,-0.5110747814178467","0.9845631718635559,0.71519935131073,-0.6558929085731506","0.1447000503540039,1.5818480253219604,-0.5807844400405884","0.9804329872131348,0.7043465375900269,-0.7325851917266846","0.14791442453861237,1.5729424953460693,-0.6685107946395874","0.9532598257064819,0.7359757423400879,-0.6230567693710327","0.15769019722938538,1.540398359298706,-0.5612510442733765","0.47564953565597534,1.493775725364685,0.04519129544496536","0.27971380949020386,1.5245031118392944,-0.04595402255654335","0.49141424894332886,2.163386583328247,0.14751501381397247","0.2941291034221649,2.112035036087036,-0.3959980607032776","0.46714669466018677,2.7489168643951416,0.41420143842697144","0.2750627100467682,2.7166647911071777,-0.0918801873922348","0.4707033634185791,2.8343043327331543,0.41999688744544983","0.26831525564193726,2.803459405899048,-0.07310500741004944","0.4307785630226135,2.8900957107543945,0.09812982380390167","0.3028108477592468,2.8633179664611816,-0.35588499903678894"
