gesture,[0],[7],[8],[12],[14],[16],[23],[24]
0.0,"0.4696482717990875,0.4937829375267029,-0.39235150814056396","0.5275137424468994,0.4345911145210266,-0.15403427183628082","0.43188509345054626,0.4413313865661621,-0.12745502591133118","0.37013572454452515,0.7120086550712585,-0.12204349040985107","0.28260594606399536,0.8443963527679443,-0.4874601364135742","0.42278122901916504,0.536414623260498,-0.8878368139266968","0.5826034545898438,1.339080572128296,0.015477275475859642","0.39862507581710815,1.3320486545562744,-0.01622622087597847"
0.0,"0.468332439661026,0.42914971709251404,-0.3874756693840027","0.5246684551239014,0.4151298403739929,-0.15351636707782745","0.43184012174606323,0.41227811574935913,-0.09518713504076004","0.36988481879234314,0.7135826945304871,-0.09640884399414062","0.2821502685546875,0.8404455184936523,-0.45766082406044006","0.4226285517215729,0.5314697027206421,-0.8031920194625854","0.5855886936187744,1.3725459575653076,0.010910354554653168","0.39864015579223633,1.368046522140503,-0.011635786853730679"
0.0,"0.4681410789489746,0.4415961503982544,-0.35894104838371277","0.524127721786499,0.4159902334213257,-0.11998452991247177","0.4308365285396576,0.41591280698776245,-0.06706889718770981","0.37224215269088745,0.7165334224700928,-0.07782699912786484","0.28090280294418335,0.8376531004905701,-0.47432827949523926","0.42165607213974,0.5313764810562134,-0.9011368751525879","0.587572455406189,1.3896522521972656,0.007626923732459545","0.3998175263404846,1.3875465393066406,-0.008340961299836636"
0.0,"0.46816396713256836,0.4447980225086212,-0.34109312295913696","0.5236972570419312,0.4168609082698822,-0.12142910063266754","0.4302181601524353,0.41747555136680603,-0.07540635764598846","0.37130242586135864,0.7217727899551392,-0.0827188491821289","0.28083285689353943,0.8369289636611938,-0.5129598379135132","0.42124143242836,0.5269836187362671,-0.900955080986023","0.5884209871292114,1.400391697883606,0.008877099491655827","0.4006405472755432,1.402425765991211,-0.009583970531821251"
0.0,"0.46989697217941284,0.4478735625743866,-0.3504731059074402","0.5234190821647644,0.4175470471382141,-0.128289133310318","0.4301453232765198,0.41842082142829895,-0.08294099569320679","0.3712979257106781,0.7248844504356384,-0.08738936483860016","0.2812094986438751,0.8396168947219849,-0.5477290749549866","0.4196176528930664,0.5271276831626892,-0.9686859846115112","0.5917593836784363,1.4087417125701904,0.006940633989870548","0.4021976888179779,1.4132024049758911,-0.007663113530725241"
0.0,"0.46557527780532837,0.4787651598453522,-0.37301474809646606","0.5215063095092773,0.42312008142471313,-0.15991772711277008","0.42942872643470764,0.4380723237991333,-0.09562814980745316","0.3718627691268921,0.7276964783668518,-0.09091165661811829","0.2802690267562866,0.8378168940544128,-0.5471974015235901","0.4195729196071625,0.5271929502487183,-0.9426237940788269","0.5936082601547241,1.4168758392333984,0.004517767112702131","0.4076809883117676,1.41640043258667,-0.005209754686802626"
0.0,"0.46480703353881836,0.506007969379425,-0.4323813021183014","0.5214106440544128,0.43048596382141113,-0.2143995761871338","0.42930859327316284,0.45355936884880066,-0.15644298493862152","0.3734605312347412,0.7274702191352844,-0.1541769802570343","0.2811012864112854,0.837841808795929,-0.6123638153076172","0.4196540415287018,0.528666079044342,-1.0593682527542114","0.5953040719032288,1.4160304069519043,0.0058136130683124065","0.41009321808815,1.4161229133605957,-0.0064887963235378265"
0.0,"0.46486973762512207,0.5049980878829956,-0.42040735483169556","0.5214971303939819,0.43307507038116455,-0.2080882489681244","0.42944470047950745,0.4541172385215759,-0.15392646193504333","0.37344643473625183,0.7307697534561157,-0.15904858708381653","0.2887604236602783,0.8329325914382935,-0.5733668804168701","0.42170676589012146,0.526789128780365,-0.944730281829834","0.5946511030197144,1.4188798666000366,0.009847410954535007","0.4097655415534973,1.4184684753417969,-0.010448436252772808"
0.0,"0.46812015771865845,0.5039799809455872,-0.4145636558532715","0.5230405926704407,0.436305969953537,-0.19858333468437195","0.43197423219680786,0.4553724527359009,-0.1616041511297226","0.37678226828575134,0.7409680485725403,-0.1781139373779297","0.29855257272720337,0.817315399646759,-0.6290095448493958","0.42271286249160767,0.5268055200576782,-1.0560165643692017","0.5945621132850647,1.4222075939178467,0.014160198159515858","0.41385871171951294,1.4225236177444458,-0.014721916988492012"
0.0,"0.470949649810791,0.5125844478607178,-0.41244417428970337","0.5256936550140381,0.44226357340812683,-0.18144376575946808","0.4338299334049225,0.4584530293941498,-0.16093263030052185","0.3747937083244324,0.7414406538009644,-0.18682439625263214","0.31830108165740967,0.8174613118171692,-0.6579722166061401","0.43398967385292053,0.5217695236206055,-1.1035187244415283","0.5930661559104919,1.4251476526260376,0.023986686021089554","0.41374143958091736,1.426836609840393,-0.024496467784047127"
