gesture,[0],[7],[8],[12],[14],[16],[23],[24]
0.0,"0.5065620541572571,0.40024447441101074,-0.3130735456943512","0.599269449710846,0.3933138847351074,-0.2756071388721466","0.547748327255249,0.39713260531425476,-0.027905266731977463","0.46520084142684937,0.7569327354431152,0.13187478482723236","0.2624466121196747,0.5914121270179749,0.051443956792354584","0.06855958700180054,0.32377052307128906,-0.32106608152389526","0.6938849687576294,1.6084610223770142,-0.1330634504556656","0.5024381279945374,1.60076904296875,0.13249024748802185"
0.0,"0.5065068006515503,0.40324875712394714,-0.30548304319381714","0.5993417501449585,0.3963259756565094,-0.2754179537296295","0.5461074709892273,0.4046035706996918,0.010398187674582005","0.4688456952571869,0.7592414021492004,0.23073990643024445","0.2715645134449005,0.6056906580924988,0.34151536226272583","0.06998703628778458,0.32525983452796936,0.15139280259609222","0.6922427415847778,1.6106064319610596,-0.15153385698795319","0.5040163993835449,1.600743055343628,0.15083488821983337"
0.0,"0.5061909556388855,0.4049531817436218,-0.31608545780181885","0.5993291139602661,0.3983209729194641,-0.2880755662918091","0.5453141331672668,0.4072563648223877,0.0042555201798677444","0.4703037738800049,0.7603383660316467,0.21480214595794678","0.2736271023750305,0.6080367565155029,0.3325039744377136","0.07029743492603302,0.32653048634529114,0.1554259955883026","0.6882635354995728,1.6155624389648438,-0.15324464440345764","0.5040366053581238,1.6013087034225464,0.15253956615924835"
0.0,"0.5061672925949097,0.40822604298591614,-0.3269417881965637","0.5992845296859741,0.3995228707790375,-0.30759817361831665","0.5451832413673401,0.4087972044944763,-0.006594116799533367","0.47262048721313477,0.7604370713233948,0.21917307376861572","0.2788144648075104,0.6111091375350952,0.3893173635005951","0.0767454281449318,0.3365010917186737,0.2613016963005066","0.6847500801086426,1.6166932582855225,-0.1660376936197281","0.5069009065628052,1.6013026237487793,0.1653418391942978"
0.0,"0.5062509775161743,0.4102511405944824,-0.34278127551078796","0.5992666482925415,0.4007870852947235,-0.3087080717086792","0.5450929403305054,0.409432053565979,-0.013111819513142109","0.4736493229866028,0.7606639266014099,0.22582873702049255","0.27971962094306946,0.612191915512085,0.4118059277534485","0.07965333759784698,0.3430344760417938,0.3036840558052063","0.6815722584724426,1.6212399005889893,-0.1723795235157013","0.5090882778167725,1.6024843454360962,0.17170749604701996"
0.0,"0.5062566995620728,0.4125000834465027,-0.34943345189094543","0.5993058681488037,0.40153050422668457,-0.30747389793395996","0.5438981652259827,0.4110339283943176,-0.013353864662349224","0.4740433692932129,0.7610300779342651,0.23295506834983826","0.2804489731788635,0.6119201183319092,0.4010770320892334","0.08049871772527695,0.34429487586021423,0.26274198293685913","0.6794856190681458,1.6220349073410034,-0.17019720375537872","0.5093120336532593,1.6025687456130981,0.16954907774925232"
0.0,"0.5062262415885925,0.41354310512542725,-0.3470207452774048","0.5989231467247009,0.4017503559589386,-0.3050822615623474","0.5435444116592407,0.4111708402633667,-0.01376861147582531","0.47399449348449707,0.7610320448875427,0.22697141766548157","0.28002768754959106,0.6116605997085571,0.37376606464385986","0.08118338882923126,0.34825873374938965,0.2201654016971588","0.6797527074813843,1.6211684942245483,-0.1686592996120453","0.5096816420555115,1.601231575012207,0.16799452900886536"
0.0,"0.5055049657821655,0.41449326276779175,-0.34491032361984253","0.5986675024032593,0.40178200602531433,-0.30342623591423035","0.5430938005447388,0.41142332553863525,-0.013607891276478767","0.47411617636680603,0.7620225548744202,0.22502358257770538","0.2802359163761139,0.6120033860206604,0.3871746361255646","0.08104357868432999,0.34921327233314514,0.2504550516605377","0.6799675226211548,1.6228468418121338,-0.16749542951583862","0.5096596479415894,1.601712703704834,0.16684770584106445"
0.0,"0.5043846368789673,0.41495972871780396,-0.32937783002853394","0.5973221063613892,0.40221041440963745,-0.3036111891269684","0.5422261357307434,0.4126681983470917,-0.01382976584136486","0.4737681746482849,0.7622289061546326,0.2255796492099762","0.280326247215271,0.612234354019165,0.41843515634536743","0.0811409279704094,0.350114107131958,0.32817479968070984","0.6778688430786133,1.6232119798660278,-0.16792050004005432","0.5096280574798584,1.6016870737075806,0.16727527976036072"
0.0,"0.5030898451805115,0.41580238938331604,-0.31919461488723755","0.5959817171096802,0.40215450525283813,-0.3033222258090973","0.5420515537261963,0.41265228390693665,-0.013955885544419289","0.4735748767852783,0.7626302242279053,0.22397711873054504","0.28017160296440125,0.613990843296051,0.3933277130126953","0.08115645498037338,0.3509467542171478,0.2648709714412689","0.678286075592041,1.623171091079712,-0.16715160012245178","0.5103529691696167,1.6015584468841553,0.1665066033601761"
0.0,"0.5017964839935303,0.4157998263835907,-0.31944090127944946","0.5941544771194458,0.4022507667541504,-0.3246491551399231","0.5420997738838196,0.41267988085746765,-0.023583287373185158","0.47353705763816833,0.7626045942306519,0.22224339842796326","0.28032100200653076,0.6157597899436951,0.4017605781555176","0.08223236352205276,0.35315772891044617,0.2829292118549347","0.6744455099105835,1.6230913400650024,-0.171769917011261","0.510351836681366,1.6007994413375854,0.17110782861709595"
0.0,"0.5009307861328125,0.41590890288352966,-0.3149298131465912","0.5939458012580872,0.40229928493499756,-0.3196339011192322","0.5421843528747559,0.4129018485546112,-0.020117726176977158","0.47353070974349976,0.762904167175293,0.22297684848308563","0.28288495540618896,0.6202714443206787,0.44669994711875916","0.08518002927303314,0.3600918650627136,0.36684876680374146","0.6740463972091675,1.6215777397155762,-0.1666887104511261","0.509511411190033,1.5986377000808716,0.16603681445121765"
