gesture,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0.0,"0.5059962272644043,0.25903162360191345,-0.23104000091552734","0.5149114727973938,0.2383466362953186,-0.21285605430603027","0.520281970500946,0.24044926464557648,-0.21317000687122345","0.5260162949562073,0.24278436601161957,-0.21326705813407898","0.4995284676551819,0.23528605699539185,-0.20851023495197296","0.495091050863266,0.2357003092765808,-0.20886163413524628","0.49036043882369995,0.2364196628332138,-0.20920917391777039","0.5356660485267639,0.25759512186050415,-0.10431049764156342","0.4840701222419739,0.25219184160232544,-0.08373665809631348","0.516778290271759,0.28435322642326355,-0.18735595047473907","0.49669113755226135,0.2801790237426758,-0.1830156296491623","0.5718823671340942,0.40787750482559204,-0.02230052277445793","0.4385377764701843,0.4046485424041748,-0.008322998881340027","0.5883616209030151,0.5481294393539429,0.13748697936534882","0.3730345070362091,0.5411862134933472,-0.11216217279434204","0.5576997399330139,0.6468627452850342,0.22221212089061737","0.39897510409355164,0.3841559886932373,-0.34632664918899536","0.5492782592773438,0.6808541417121887,0.2294367551803589","0.4141603410243988,0.3535219728946686,-0.3988867700099945","0.5406640768051147,0.6607213020324707,0.2060815840959549","0.4170211851596832,0.34287577867507935,-0.3874165713787079","0.5410766005516052,0.6476154327392578,0.21799883246421814","0.41680359840393066,0.3532862067222595,-0.3483717441558838","0.5415655374526978,0.724967896938324,-0.007501787506043911","0.4698970913887024,0.7272339463233948,0.007367557846009731","0.5309265851974487,0.9814262986183167,-0.057389311492443085","0.4824102520942688,0.9810118675231934,-0.06365673243999481","0.5344882011413574,1.1762219667434692,0.19383297860622406","0.4783598482608795,1.1890292167663574,0.11904643476009369","0.5359703898429871,1.2031807899475098,0.21486489474773407","0.4829499125480652,1.2229933738708496,0.13537676632404327","0.5204845070838928,1.2500691413879395,0.13220490515232086","0.4750606417655945,1.2518482208251953,0.03745899349451065"
0.0,"0.5056281089782715,0.2590165436267853,-0.30615776777267456","0.5146306157112122,0.23857055604457855,-0.28851646184921265","0.5199559926986694,0.240820974111557,-0.2888866662979126","0.5256209969520569,0.24308082461357117,-0.28897082805633545","0.499406635761261,0.23540551960468292,-0.28711801767349243","0.4949571192264557,0.2359761744737625,-0.2875501811504364","0.49026617407798767,0.2369021475315094,-0.28796300292015076","0.5344066619873047,0.2575347125530243,-0.17521147429943085","0.4838307499885559,0.2520431578159332,-0.16960781812667847","0.5156067609786987,0.2843876779079437,-0.25985187292099","0.4963192939758301,0.2802845537662506,-0.2600192725658417","0.571983814239502,0.40948486328125,-0.0850992202758789","0.43797269463539124,0.40409451723098755,-0.09900639951229095","0.5848370790481567,0.5822477340698242,0.05211465805768967","0.37289372086524963,0.5408855080604553,-0.22516684234142303","0.5424582362174988,0.6454816460609436,0.10651674121618271","0.3990385830402374,0.38398462533950806,-0.4680241048336029","0.534462034702301,0.6752985119819641,0.10678255558013916","0.41501346230506897,0.35393503308296204,-0.529160737991333","0.5304231643676758,0.6558370590209961,0.08483637869358063","0.41729921102523804,0.3428921103477478,-0.5140213370323181","0.5307585000991821,0.6433756947517395,0.10187514871358871","0.4168824553489685,0.35316163301467896,-0.4689653813838959","0.5414931178092957,0.7458831071853638,-0.001327926991507411","0.46776261925697327,0.7480900287628174,0.0012306391727179289","0.5309300422668457,0.9857065677642822,0.02171914465725422","0.4819813370704651,0.9847568273544312,-0.035739555954933167","0.5387195348739624,1.204959750175476,0.31039097905158997","0.478741317987442,1.2128431797027588,0.158638596534729","0.5412229299545288,1.2309061288833618,0.3339135944843292","0.4834519326686859,1.2486013174057007,0.17503854632377625","0.5251598358154297,1.2823468446731567,0.23649756610393524","0.47572654485702515,1.2842142581939697,0.05549980327486992"
0.0,"0.5055145025253296,0.2590433359146118,-0.31604164838790894","0.5146083831787109,0.2390674650669098,-0.2979251742362976","0.5199118256568909,0.24144347012043,-0.2983216643333435","0.5255765318870544,0.24351847171783447,-0.2983933985233307","0.49940553307533264,0.2355254739522934,-0.29751402139663696","0.49491938948631287,0.2361023724079132,-0.29794323444366455","0.490262895822525,0.2370316982269287,-0.29834580421447754","0.533106803894043,0.2575415372848511,-0.1834637075662613","0.48364096879959106,0.25185391306877136,-0.18126365542411804","0.51535564661026,0.28445374965667725,-0.2693370580673218","0.49617433547973633,0.28041866421699524,-0.2704986035823822","0.571873128414154,0.4097922146320343,-0.09712588787078857","0.4365248680114746,0.4032413065433502,-0.10686548054218292","0.5833039283752441,0.5764300227165222,0.04183211177587509","0.3728402853012085,0.5407906770706177,-0.23486828804016113","0.5449969172477722,0.6567124128341675,0.09394969046115875","0.3987143933773041,0.38453254103660583,-0.4662713408470154","0.5362461805343628,0.6928380131721497,0.09405183792114258","0.41505035758018494,0.35446879267692566,-0.5231999158859253","0.5310638546943665,0.6748408675193787,0.06955362856388092","0.41695719957351685,0.3429170250892639,-0.5085194706916809","0.5319271683692932,0.6584582328796387,0.08811254799365997","0.4162368178367615,0.3531573712825775,-0.46692395210266113","0.5409607887268066,0.7538777589797974,-0.0016180922975763679","0.46621260046958923,0.7568584680557251,0.001500864396803081","0.530972957611084,0.9864263534545898,0.0050883423537015915","0.48141607642173767,0.9847139716148376,0.059800684452056885","0.5413818955421448,1.218796730041504,0.25828367471694946","0.4782443046569824,1.2090553045272827,0.28952890634536743","0.5444446206092834,1.2467896938323975,0.2790060341358185","0.4834204316139221,1.24457585811615,0.3094595968723297","0.5263711214065552,1.2931874990463257,0.19370463490486145","0.4723788797855377,1.2779715061187744,0.20905867218971252"
0.0,"0.505082905292511,0.25974762439727783,-0.3173399567604065","0.5144057869911194,0.239784374833107,-0.2993468642234802","0.5197044610977173,0.24210815131664276,-0.2997399568557739","0.5253082513809204,0.24397137761116028,-0.29980090260505676","0.4992275834083557,0.23681102693080902,-0.2983473241329193","0.4947414994239807,0.23730303347110748,-0.2987986207008362","0.49024897813796997,0.23771736025810242,-0.2992083728313446","0.5326233506202698,0.2576200067996979,-0.18595343828201294","0.4836411476135254,0.2518390119075775,-0.1818285882472992","0.5146464109420776,0.28473418951034546,-0.27122417092323303","0.49604278802871704,0.2809505760669708,-0.27186354994773865","0.5718830823898315,0.411703884601593,-0.10008624941110611","0.43586620688438416,0.4029577076435089,-0.11096290498971939","0.5815517902374268,0.587017297744751,0.043520908802747726","0.37218648195266724,0.5371313691139221,-0.2479925900697708","0.5429023504257202,0.6576395630836487,0.10865642875432968","0.3987078070640564,0.38379907608032227,-0.4938182830810547","0.5362852215766907,0.6914979815483093,0.11103232204914093","0.415175199508667,0.3544616401195526,-0.5539363622665405","0.5306033492088318,0.673776388168335,0.08661794662475586","0.4170157313346863,0.34283024072647095,-0.5377125144004822","0.5310347676277161,0.6604752540588379,0.10325761139392853","0.4162386953830719,0.35304057598114014,-0.4942617416381836","0.5409616231918335,0.7625399827957153,-0.0020054318010807037","0.4657996594905853,0.7658663392066956,0.0018845293670892715","0.5309945940971375,0.986603856086731,0.018806006759405136","0.48136892914772034,0.9861233234405518,0.02252792939543724","0.5410572290420532,1.225435495376587,0.27745577692985535","0.47830653190612793,1.2155694961547852,0.22606389224529266","0.5441446900367737,1.2529224157333374,0.29791688919067383","0.48351573944091797,1.2528265714645386,0.2435872107744217","0.5256791114807129,1.3001904487609863,0.20324178040027618","0.47227635979652405,1.2851941585540771,0.13899347186088562"
0.0,"0.5051519870758057,0.2602050006389618,-0.3269544243812561","0.5147658586502075,0.24051278829574585,-0.30855125188827515","0.5199043154716492,0.24273039400577545,-0.3089556396007538","0.5255547165870667,0.2446916550397873,-0.3090134859085083","0.4996190667152405,0.23719289898872375,-0.3086138665676117","0.49482202529907227,0.23749101161956787,-0.30906081199645996","0.49044185876846313,0.23774468898773193,-0.30946287512779236","0.532432496547699,0.2579036355018616,-0.19303461909294128","0.483656108379364,0.2510836720466614,-0.19420430064201355","0.5146644115447998,0.2847503125667572,-0.28004127740859985","0.4961331784725189,0.28095492720603943,-0.2822483777999878","0.5715548396110535,0.41174566745758057,-0.11037887632846832","0.4347754120826721,0.4013184905052185,-0.12185870110988617","0.5807139873504639,0.586868405342102,0.02403334341943264","0.3653732240200043,0.529097855091095,-0.272745281457901","0.5426044464111328,0.666344165802002,0.07427851855754852","0.3983426094055176,0.3815532624721527,-0.5287872552871704","0.5373558402061462,0.7036381363868713,0.07195655256509781","0.4154021143913269,0.35231277346611023,-0.5916537046432495","0.5308803915977478,0.6846250891685486,0.046719081699848175","0.41741251945495605,0.3413321077823639,-0.575342059135437","0.5308414101600647,0.6696144342422485,0.06798695772886276","0.4163055419921875,0.3514951467514038,-0.5294927358627319","0.5412537455558777,0.7592653632164001,-0.0022547340486198664","0.46586471796035767,0.764508843421936,0.002128778723999858","0.5312564373016357,0.9855979681015015,0.018555209040641785","0.48137086629867554,0.9860560894012451,0.03525752201676369","0.5411335229873657,1.2253533601760864,0.27101102471351624","0.4783431887626648,1.213321328163147,0.24941496551036835","0.5442548394203186,1.2540478706359863,0.2902684211730957","0.4835229516029358,1.2503044605255127,0.267269492149353","0.5257588624954224,1.3004282712936401,0.18787609040737152","0.47224801778793335,1.2815674543380737,0.15563048422336578"
0.0,"0.5050688982009888,0.2602393627166748,-0.3288062512874603","0.5147830247879028,0.24050886929035187,-0.3105030655860901","0.5199188590049744,0.24269716441631317,-0.3108968138694763","0.5256234407424927,0.24466124176979065,-0.3109498620033264","0.49961957335472107,0.23722097277641296,-0.31025537848472595","0.4948102831840515,0.2374909669160843,-0.310731440782547","0.490446001291275,0.23770096898078918,-0.31115907430648804","0.5321544408798218,0.2578355073928833,-0.1974209100008011","0.4836583137512207,0.2502410113811493,-0.1968538463115692","0.5146167874336243,0.28464439511299133,-0.28290271759033203","0.4961208403110504,0.2808257043361664,-0.28468263149261475","0.5717040300369263,0.41364338994026184,-0.1126672625541687","0.43409815430641174,0.4010106921195984,-0.12671194970607758","0.5798983573913574,0.5936737060546875,0.034809548407793045","0.3531881272792816,0.4986586272716522,-0.24562449753284454","0.5395899415016174,0.6691827178001404,0.1095217615365982","0.39959272742271423,0.3617188334465027,-0.46981891989707947","0.5351254940032959,0.705000102519989,0.11194200813770294","0.41972866654396057,0.33847931027412415,-0.5303137898445129","0.5279116630554199,0.6857203841209412,0.08829405158758163","0.42228418588638306,0.3314515948295593,-0.5213829874992371","0.5274964570999146,0.6715662479400635,0.10450688749551773","0.4194847643375397,0.34183233976364136,-0.47285157442092896","0.5412530899047852,0.761440098285675,-0.0024535164702683687","0.46564143896102905,0.7657480239868164,0.002328228671103716","0.5312709212303162,0.9856013059616089,0.023068705573678017","0.481400728225708,0.986017107963562,0.04227792099118233","0.541512131690979,1.2317941188812256,0.2772151231765747","0.478365421295166,1.2117482423782349,0.263273686170578","0.5451570749282837,1.2597793340682983,0.29702451825141907","0.4835464358329773,1.24820077419281,0.282593309879303","0.525714099407196,1.3067258596420288,0.19398614764213562","0.4721432328224182,1.2796155214309692,0.17704010009765625"
0.0,"0.5047557353973389,0.26027607917785645,-0.3356609344482422","0.5147730112075806,0.24044999480247498,-0.31730350852012634","0.51991868019104,0.24261420965194702,-0.317678838968277","0.5256470441818237,0.24460485577583313,-0.3177282214164734","0.4995364546775818,0.23721784353256226,-0.31806835532188416","0.49469074606895447,0.23745472729206085,-0.3185449242591858","0.49037307500839233,0.23760372400283813,-0.3189549744129181","0.5317960977554321,0.25780174136161804,-0.20183277130126953","0.4836153984069824,0.24980178475379944,-0.20652525126934052","0.5144290328025818,0.2845649719238281,-0.2885081470012665","0.4960164427757263,0.28068971633911133,-0.2917826771736145","0.5717061161994934,0.41348403692245483,-0.11871141195297241","0.43293866515159607,0.39759308099746704,-0.1362580507993698","0.5801891088485718,0.5919041633605957,0.018094561994075775","0.34199967980384827,0.4627329111099243,-0.2698938548564911","0.540719747543335,0.6714682579040527,0.0851173922419548","0.4021000266075134,0.3439570367336273,-0.47601500153541565","0.5358983278274536,0.7048706412315369,0.08618232607841492","0.4271538257598877,0.32622450590133667,-0.5313394069671631","0.5287383198738098,0.687615692615509,0.06503133475780487","0.43075084686279297,0.321549654006958,-0.5121148824691772","0.5284538269042969,0.6751189231872559,0.08107303082942963","0.4256686568260193,0.3304247260093689,-0.4739091992378235","0.5412566661834717,0.7615441083908081,-0.0017497492954134941","0.46515902876853943,0.7654446959495544,0.001608802005648613","0.5312667489051819,0.9858595728874207,0.014668365940451622","0.4814019799232483,0.9860745668411255,-0.00013938431220594794","0.541930615901947,1.2371917963027954,0.2646336853504181","0.4786105155944824,1.214992642402649,0.22150763869285583","0.5456519722938538,1.2652102708816528,0.2861756980419159","0.48354825377464294,1.2500226497650146,0.24144546687602997","0.5258104205131531,1.3146146535873413,0.18629083037376404","0.4753507971763611,1.2857859134674072,0.1268385946750641"
0.0,"0.5042246580123901,0.26027971506118774,-0.34591686725616455","0.5142831802368164,0.2402729094028473,-0.3273113965988159","0.5194894075393677,0.24236102402210236,-0.327671080827713","0.5249334573745728,0.24427033960819244,-0.32770276069641113","0.49899330735206604,0.2372172623872757,-0.3287612199783325","0.4941357672214508,0.23745141923427582,-0.32926684617996216","0.4895849823951721,0.2376144975423813,-0.32968971133232117","0.5308310389518738,0.2577238380908966,-0.20790643990039825","0.4829786717891693,0.24987241625785828,-0.21524015069007874","0.5139785408973694,0.28443557024002075,-0.29649558663368225","0.4958875775337219,0.2805697023868561,-0.30069297552108765","0.571735680103302,0.41342607140541077,-0.11717621237039566","0.43137043714523315,0.3934285342693329,-0.1365918219089508","0.5803630352020264,0.5906434655189514,0.02920345589518547","0.3378540277481079,0.4306790232658386,-0.2625720798969269","0.5388232469558716,0.6697821021080017,0.10876864194869995","0.4064333438873291,0.3272642493247986,-0.34131476283073425","0.5329171419143677,0.6986857652664185,0.10886599868535995","0.43464308977127075,0.3093079626560211,-0.38314691185951233","0.5271027684211731,0.6827524900436401,0.08196349442005157","0.43868517875671387,0.3065943717956543,-0.3603397607803345","0.5271870493888855,0.6727520227432251,0.1035529226064682","0.4319438338279724,0.31560879945755005,-0.33525997400283813","0.541036069393158,0.7602328062057495,-0.0023295271676033735","0.4645880162715912,0.764001190662384,0.0021951182279735804","0.5312675833702087,0.9853067994117737,0.00782662071287632","0.48126935958862305,0.9860496520996094,0.022181332111358643","0.5418657064437866,1.2350095510482788,0.2535490393638611","0.47906193137168884,1.2145256996154785,0.25125831365585327","0.5459540486335754,1.2620552778244019,0.2728477418422699","0.48403674364089966,1.24616539478302,0.2721567153930664","0.5238583087921143,1.3133329153060913,0.17283259332180023","0.4759159982204437,1.2837483882904053,0.17519336938858032"
0.0,"0.5033164620399475,0.26021242141723633,-0.3385833501815796","0.5138021111488342,0.24013574421405792,-0.3192632794380188","0.5191787481307983,0.24210894107818604,-0.3196287751197815","0.5244513750076294,0.24388393759727478,-0.3196542263031006","0.4981388449668884,0.23724716901779175,-0.3201972544193268","0.49339666962623596,0.2374715805053711,-0.32068711519241333","0.4886867105960846,0.23763741552829742,-0.32110223174095154","0.5305767059326172,0.25770682096481323,-0.20002305507659912","0.48268550634384155,0.25001347064971924,-0.20453616976737976","0.5137172937393188,0.2835761606693268,-0.28960829973220825","0.4954240322113037,0.2797901928424835,-0.2929995059967041","0.5721428394317627,0.4135292172431946,-0.11095686256885529","0.4312604069709778,0.3915485739707947,-0.13163495063781738","0.5804608464241028,0.5923944711685181,0.027238797396421432","0.3382313549518585,0.41876161098480225,-0.2428140640258789","0.5397228002548218,0.6738402247428894,0.09537280350923538","0.41409650444984436,0.3228569030761719,-0.3385501205921173","0.5336305499076843,0.708926260471344,0.09566307067871094","0.4416503310203552,0.3033316433429718,-0.382192462682724","0.5276387929916382,0.6896743178367615,0.07362862676382065","0.44557517766952515,0.3008483350276947,-0.3593665063381195","0.5277094841003418,0.6767938733100891,0.09096203744411469","0.4390105605125427,0.310141384601593,-0.3327997326850891","0.5409322381019592,0.759694516658783,-0.002373454626649618","0.46375447511672974,0.7630735635757446,0.0022312814835458994","0.5312641859054565,0.9850099086761475,0.012455219402909279","0.4811787009239197,0.9846146702766418,0.07423274219036102","0.5415279865264893,1.235175371170044,0.25212937593460083","0.4793248176574707,1.2049015760421753,0.3350147306919098","0.5457718372344971,1.262485384941101,0.2690396308898926","0.48408055305480957,1.2343127727508545,0.35891422629356384","0.5214403867721558,1.3117740154266357,0.15947867929935455","0.47638624906539917,1.2757914066314697,0.26525843143463135"
0.0,"0.5035119652748108,0.26018574833869934,-0.35671621561050415","0.5140185356140137,0.24025726318359375,-0.33725106716156006","0.5193790197372437,0.24219457805156708,-0.33762818574905396","0.5249156355857849,0.24393653869628906,-0.33764711022377014","0.49844780564308167,0.2374097853899002,-0.3391541838645935","0.49371129274368286,0.23755449056625366,-0.33965325355529785","0.48901382088661194,0.23766176402568817,-0.34007254242897034","0.5305899381637573,0.2580764889717102,-0.21683862805366516","0.4827144145965576,0.2506158947944641,-0.22639784216880798","0.5143144726753235,0.2833878695964813,-0.3072268068790436","0.4958915114402771,0.27969321608543396,-0.31209439039230347","0.5728667974472046,0.41360265016555786,-0.12743781507015228","0.43129926919937134,0.39045190811157227,-0.14954282343387604","0.5811910033226013,0.5913847088813782,0.008906935341656208","0.3387419581413269,0.4170873463153839,-0.23128004372119904","0.5399957895278931,0.6723311543464661,0.08315926045179367","0.4164848327636719,0.32131901383399963,-0.3363359272480011","0.5340386629104614,0.7069339156150818,0.08528392761945724","0.44421958923339844,0.3029821813106537,-0.3774164319038391","0.5279332995414734,0.6880708336830139,0.06501931697130203","0.44785967469215393,0.3000553846359253,-0.3549163341522217","0.5277732014656067,0.674951434135437,0.07959874719381332","0.4416707456111908,0.30880144238471985,-0.3303470313549042","0.5408305525779724,0.7591078877449036,-0.002462125848978758","0.46354755759239197,0.762427031993866,0.0023197359405457973","0.5312711000442505,0.9831806421279907,0.01920362561941147","0.4811117649078369,0.9796730279922485,0.05552481859922409","0.5414613485336304,1.2180359363555908,0.2553129196166992","0.4805294871330261,1.179187297821045,0.31213250756263733","0.5455920696258545,1.2426823377609253,0.2731199264526367","0.4851141571998596,1.2050620317459106,0.3358312249183655","0.5214481353759766,1.2940771579742432,0.1631941944360733","0.478590726852417,1.2529608011245728,0.2404317855834961"
