gesture,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0.0,"0.4997914433479309,0.2576710283756256,-0.2104257047176361","0.5097849369049072,0.2355392873287201,-0.19247408211231232","0.515876293182373,0.23657433688640594,-0.19280757009983063","0.519564688205719,0.23814046382904053,-0.1928899735212326","0.4932798445224762,0.23736603558063507,-0.18727535009384155","0.4878918528556824,0.2390182912349701,-0.18767231702804565","0.48407691717147827,0.24093736708164215,-0.1880664825439453","0.5274645686149597,0.2538870871067047,-0.0890500396490097","0.4801456928253174,0.25363579392433167,-0.06406309455633163","0.5104502439498901,0.28321850299835205,-0.16838690638542175","0.4916844964027405,0.28237250447273254,-0.1630210280418396","0.5710541009902954,0.40152251720428467,-0.0031076862942427397","0.44195443391799927,0.40448302030563354,0.012369906529784203","0.5873814225196838,0.5424790978431702,0.17153503000736237","0.38230466842651367,0.524692714214325,-0.014070756733417511","0.5611980557441711,0.6611217260360718,0.28708547353744507","0.41624099016189575,0.3590855598449707,-0.12464876472949982","0.5522623658180237,0.6960495710372925,0.3017638623714447","0.427623987197876,0.3385210335254669,-0.15643496811389923","0.542355477809906,0.6828558444976807,0.2780267298221588","0.4305209517478943,0.3314400315284729,-0.14475269615650177","0.5423216819763184,0.667931854724884,0.28374436497688293","0.4302527904510498,0.3407706618309021,-0.123417928814888","0.5404313206672668,0.7279835343360901,-0.0045931460335850716","0.466286838054657,0.7290480732917786,0.0045097582042217255","0.5320205092430115,0.9798734188079834,-0.03996920585632324","0.48365679383277893,0.9841846227645874,-0.03615165501832962","0.5343700051307678,1.1886026859283447,0.20250168442726135","0.4825593829154968,1.1904051303863525,0.15741410851478577","0.5350861549377441,1.2126078605651855,0.22235727310180664","0.4908061921596527,1.2492684125900269,0.17458611726760864","0.518809974193573,1.2637324333190918,0.12734073400497437","0.4795563817024231,1.2575421333312988,0.07370275259017944"
0.0,"0.4984467923641205,0.2595023512840271,-0.21541504561901093","0.5081892013549805,0.23680461943149567,-0.1983037292957306","0.5146654844284058,0.23759426176548004,-0.19867363572120667","0.5193156599998474,0.23919577896595,-0.19874659180641174","0.49231547117233276,0.23840466141700745,-0.19179667532444","0.48741549253463745,0.23968692123889923,-0.1922312080860138","0.48385825753211975,0.2412433624267578,-0.19265945255756378","0.5264312624931335,0.25403884053230286,-0.09737921506166458","0.48027801513671875,0.25353339314460754,-0.06651797145605087","0.5091824531555176,0.283459335565567,-0.1740240752696991","0.4913516938686371,0.28239870071411133,-0.16710707545280457","0.5710645318031311,0.4030599296092987,-0.02155219204723835","0.4428272843360901,0.40157270431518555,-0.00037391571095213294","0.5829975008964539,0.573267936706543,0.11838386952877045","0.4053021967411041,0.5358108878135681,-0.07347634434700012","0.5479848384857178,0.6640275120735168,0.18540872633457184","0.42326727509498596,0.3633592426776886,-0.2659206986427307","0.5430296063423157,0.6996876001358032,0.19059261679649353","0.42960208654403687,0.3391379117965698,-0.31497687101364136","0.5364691019058228,0.6840471625328064,0.16558729112148285","0.4294331967830658,0.3310767412185669,-0.3075958490371704","0.5365078449249268,0.6712256073951721,0.18008075654506683","0.42927438020706177,0.3402475118637085,-0.26920241117477417","0.5404093265533447,0.7418254613876343,-0.0073573230765759945","0.4658190608024597,0.7432743310928345,0.007268502376973629","0.5320626497268677,0.980922520160675,-0.023302678018808365","0.48236674070358276,0.984447717666626,0.03810707479715347","0.5381913185119629,1.205825686454773,0.23889999091625214","0.48260611295700073,1.1927450895309448,0.25851970911026","0.5402690172195435,1.2303929328918457,0.26025065779685974","0.490588903427124,1.2398847341537476,0.27785351872444153","0.5221310257911682,1.2799125909805298,0.1638599932193756","0.47757816314697266,1.2601817846298218,0.1787303388118744"
0.0,"0.4980570673942566,0.26023077964782715,-0.22009196877479553","0.5067960619926453,0.23744042217731476,-0.20221440494060516","0.5135101079940796,0.23790493607521057,-0.2026081085205078","0.5188919305801392,0.23931272327899933,-0.2026764154434204","0.49121206998825073,0.23910079896450043,-0.19739501178264618","0.48676061630249023,0.24013425409793854,-0.19784456491470337","0.4834508001804352,0.241531640291214,-0.1982947140932083","0.5251153707504272,0.25338414311408997,-0.0991230309009552","0.4802756905555725,0.25363683700561523,-0.07634473592042923","0.508907675743103,0.2834341824054718,-0.1777925342321396","0.4913533627986908,0.2824334502220154,-0.17330439388751984","0.5703023076057434,0.4031919836997986,-0.021792536601424217","0.44341373443603516,0.40062543749809265,-0.01630270481109619","0.580771803855896,0.578462541103363,0.13030052185058594","0.42713624238967896,0.5500039458274841,-0.07000712305307388","0.5463265180587769,0.6663481593132019,0.21854408085346222","0.4437101483345032,0.36619865894317627,-0.21592767536640167","0.5413385629653931,0.7042652368545532,0.22972655296325684","0.4396038055419922,0.33919385075569153,-0.2575952410697937","0.5350264310836792,0.6856242418289185,0.20423643290996552","0.43485575914382935,0.3312622904777527,-0.25015053153038025","0.5348071455955505,0.6714721918106079,0.21357667446136475","0.43722471594810486,0.34050849080085754,-0.2181187868118286","0.5404123663902283,0.7472806572914124,-0.005274605005979538","0.465831995010376,0.7532675862312317,0.00525702815502882","0.532375693321228,0.9807602763175964,0.03249572962522507","0.48206648230552673,0.9841721653938293,0.03979148715734482","0.5412732362747192,1.2060703039169312,0.3150268495082855","0.481942355632782,1.2000679969787598,0.2518673539161682","0.5440595746040344,1.2298905849456787,0.33844923973083496","0.48716849088668823,1.2404577732086182,0.2703365683555603","0.5241679549217224,1.2803703546524048,0.2470339834690094","0.47748273611068726,1.2701891660690308,0.16735601425170898"
0.0,"0.4981094002723694,0.2602899670600891,-0.17059478163719177","0.5064640641212463,0.2373896986246109,-0.14988844096660614","0.513156533241272,0.2377251535654068,-0.15029732882976532","0.5187498331069946,0.23905162513256073,-0.15037068724632263","0.49113398790359497,0.2390960454940796,-0.14975608885288239","0.4866809844970703,0.24010300636291504,-0.15019188821315765","0.4833971858024597,0.24139845371246338,-0.15061385929584503","0.5244303345680237,0.2524246871471405,-0.04137413203716278","0.48028144240379333,0.2533741295337677,-0.039312221109867096","0.5089673399925232,0.2832544147968292,-0.1267407387495041","0.4918637275695801,0.2822956442832947,-0.1283503621816635","0.5691366791725159,0.402819961309433,0.027355428785085678","0.443916380405426,0.4005758464336395,-0.00658679474145174","0.5806249976158142,0.5728858709335327,0.16235893964767456","0.436818927526474,0.5575181841850281,-0.07706053555011749","0.5471316576004028,0.6682365536689758,0.22366686165332794","0.4535945951938629,0.3676054775714874,-0.24493548274040222","0.5416311025619507,0.7063286304473877,0.2308630645275116","0.4482319951057434,0.33977434039115906,-0.2923222482204437","0.5352004766464233,0.6883140206336975,0.2033376395702362","0.44161057472229004,0.33171558380126953,-0.28572481870651245","0.5351322293281555,0.6739059090614319,0.2166275531053543","0.4442775249481201,0.3407059609889984,-0.24851438403129578","0.5404590368270874,0.7542778849601746,-0.0006781292031519115","0.46584123373031616,0.7616462111473083,0.0006529245292767882","0.5323923826217651,0.9843613505363464,0.04704504460096359","0.48210781812667847,0.9861044883728027,0.07518978416919708","0.5409618020057678,1.212851643562317,0.3151094317436218","0.48192134499549866,1.2143335342407227,0.28681862354278564","0.5434955358505249,1.236019253730774,0.3372400403022766","0.48611903190612793,1.2487345933914185,0.3050134778022766","0.524017870426178,1.2843990325927734,0.25056028366088867","0.4772523045539856,1.282752513885498,0.20905013382434845"
0.0,"0.49811476469039917,0.26046454906463623,-0.1800345480442047","0.5057607889175415,0.23757019639015198,-0.15938356518745422","0.512203574180603,0.23775923252105713,-0.1597784459590912","0.5181216597557068,0.23904649913311005,-0.159841388463974","0.4908319413661957,0.23948267102241516,-0.15844061970710754","0.48634010553359985,0.24043254554271698,-0.1588783860206604","0.48314228653907776,0.2416817992925644,-0.15928716957569122","0.523642897605896,0.25237777829170227,-0.04947943240404129","0.4801681637763977,0.2539235055446625,-0.04447290301322937","0.508974015712738,0.28314921259880066,-0.13579875230789185","0.4919235110282898,0.2822900414466858,-0.1364169418811798","0.5676667094230652,0.4015597999095917,0.02288953959941864","0.4444483816623688,0.40014395117759705,-0.003959108609706163","0.5808647871017456,0.5651075839996338,0.16574421525001526","0.4385228157043457,0.5549993515014648,-0.06827474385499954","0.5481482148170471,0.6681778430938721,0.22985246777534485","0.4543452262878418,0.36768484115600586,-0.21413004398345947","0.542019248008728,0.705924391746521,0.23884031176567078","0.4496946334838867,0.33978211879730225,-0.25645726919174194","0.5363195538520813,0.6882238388061523,0.2108466923236847","0.4435212016105652,0.33170849084854126,-0.2503659129142761","0.5364817380905151,0.6738213300704956,0.222876638174057","0.4461092948913574,0.34066739678382874,-0.2170349657535553","0.5407248139381409,0.7552793025970459,0.001115185208618641","0.46609872579574585,0.7633917927742004,-0.001140613341704011","0.5324922800064087,0.9840323328971863,0.051290202885866165","0.48264527320861816,0.9866700768470764,0.07532081007957458","0.5410481691360474,1.212373971939087,0.31079399585723877","0.4834488332271576,1.2125449180603027,0.2709912061691284","0.5434330701828003,1.2357062101364136,0.33184707164764404","0.48642581701278687,1.2487037181854248,0.2872692942619324","0.5246186256408691,1.2836850881576538,0.24592411518096924","0.4793644845485687,1.2800852060317993,0.19024330377578735"
0.0,"0.49811285734176636,0.26078465580940247,-0.16128775477409363","0.5053637027740479,0.23787172138690948,-0.1382855474948883","0.5116915702819824,0.23782387375831604,-0.13868209719657898","0.5177531838417053,0.23904123902320862,-0.13871736824512482","0.4903217852115631,0.24010537564754486,-0.138149231672287","0.48572278022766113,0.24105744063854218,-0.13859814405441284","0.48247236013412476,0.2423839569091797,-0.13901038467884064","0.5232459902763367,0.2522512972354889,-0.024102715775370598","0.47988396883010864,0.2549716532230377,-0.022287359461188316","0.5089824199676514,0.2831801176071167,-0.11585976183414459","0.49191898107528687,0.2825358808040619,-0.1175696849822998","0.5671658515930176,0.40115728974342346,0.04458186402916908","0.4451727867126465,0.39295467734336853,0.011538351885974407","0.5808530449867249,0.5638937950134277,0.18066976964473724","0.43754592537879944,0.5237270593643188,-0.06181295961141586","0.5487358570098877,0.6700458526611328,0.23481862246990204","0.4563480019569397,0.35767292976379395,-0.20000240206718445","0.5437466502189636,0.7104139924049377,0.24516868591308594","0.4512428343296051,0.3288523256778717,-0.24439863860607147","0.5384740829467773,0.6951826810836792,0.21972832083702087","0.4457179605960846,0.3226289451122284,-0.24168992042541504","0.5382945537567139,0.6785293817520142,0.2301197052001953","0.4490324854850769,0.3318699300289154,-0.2046092301607132","0.5411864519119263,0.753239631652832,0.0021346197463572025","0.46654075384140015,0.7600629925727844,-0.002177590038627386","0.5324944853782654,0.983990490436554,0.029352903366088867","0.48277968168258667,0.9865928888320923,0.06447694450616837","0.5408940315246582,1.2117763757705688,0.2842922508716583","0.4865097999572754,1.2065448760986328,0.2636471092700958","0.5431422591209412,1.234229564666748,0.3052529990673065","0.4893009066581726,1.2377666234970093,0.2808857262134552","0.5243570804595947,1.2826733589172363,0.22114086151123047","0.48095351457595825,1.271249532699585,0.19418083131313324"
0.0,"0.4981210231781006,0.2607415020465851,-0.14471082389354706","0.5053171515464783,0.2378700077533722,-0.1209697350859642","0.5114854574203491,0.2377948760986328,-0.12133721262216568","0.5175588130950928,0.23887032270431519,-0.12134188413619995","0.49026161432266235,0.2401207536458969,-0.11937953531742096","0.4854397773742676,0.24110065400600433,-0.11984924972057343","0.48211097717285156,0.2424800843000412,-0.12026271969079971","0.5230542421340942,0.2519051730632782,-0.007924558594822884","0.47941240668296814,0.2558779716491699,0.0002317887992830947","0.5089918375015259,0.2828288674354553,-0.09974003583192825","0.491879940032959,0.28253963589668274,-0.09981594979763031","0.5666346549987793,0.40000486373901367,0.061049796640872955","0.44735798239707947,0.38136228919029236,0.04400186985731125","0.5809587240219116,0.561331033706665,0.2051914930343628","0.4352761209011078,0.4801003038883209,0.05553092435002327","0.5492379665374756,0.6685653328895569,0.29427868127822876","0.45849043130874634,0.34149783849716187,0.0339396670460701","0.5439864993095398,0.7097036838531494,0.3101462423801422","0.45443177223205566,0.31632199883461,0.010800182819366455","0.5387661457061768,0.6943404674530029,0.28401386737823486","0.4505726397037506,0.312381774187088,0.01976902224123478","0.5387697815895081,0.6768277287483215,0.2889619469642639","0.4539717733860016,0.32158878445625305,0.03526059910655022","0.5412384867668152,0.75298011302948,0.001854035072028637","0.46659985184669495,0.7565510869026184,-0.0018959653098136187","0.5324385166168213,0.9825754165649414,0.02137681655585766","0.4828486442565918,0.9852861762046814,0.0771602913737297","0.538906455039978,1.2114688158035278,0.276496946811676","0.4863578677177429,1.19456946849823,0.27917635440826416","0.5421794652938843,1.2328972816467285,0.29714155197143555","0.48911887407302856,1.2236355543136597,0.29684168100357056","0.5179101824760437,1.282547950744629,0.209270641207695","0.4813508987426758,1.260642170906067,0.20982253551483154"
0.0,"0.4982948899269104,0.2611875534057617,-0.2877016067504883","0.5053690671920776,0.23903709650039673,-0.2684311270713806","0.5114994645118713,0.23861053586006165,-0.26884162425994873","0.5175720453262329,0.2391713410615921,-0.26882630586624146","0.4902609884738922,0.2417500615119934,-0.2655647099018097","0.485297828912735,0.24291418492794037,-0.26607075333595276","0.48182162642478943,0.24444520473480225,-0.26650822162628174","0.5230106115341187,0.25178390741348267,-0.1581275314092636","0.47858676314353943,0.2572841942310333,-0.14521706104278564","0.5090715289115906,0.28286057710647583,-0.241922527551651","0.49194082617759705,0.28325238823890686,-0.2406286895275116","0.5668066740036011,0.4000083804130554,-0.07758022844791412","0.4486056864261627,0.3834139406681061,-0.058853186666965485","0.5806801319122314,0.5588152408599854,0.09378835558891296","0.4319896101951599,0.41525259613990784,0.013874350115656853","0.5496658086776733,0.6685755252838135,0.25749918818473816","0.4608880877494812,0.3255481421947479,0.07276824861764908","0.5442724823951721,0.7091647982597351,0.286148339509964","0.46876001358032227,0.2985003888607025,0.06396074593067169","0.5384145379066467,0.6939489245414734,0.2589924931526184","0.476459801197052,0.3165888488292694,0.07404802739620209","0.5384698510169983,0.6765979528427124,0.25452035665512085","0.46808966994285583,0.3154032826423645,0.07690109312534332","0.5413233041763306,0.7517184019088745,-0.0017902115359902382","0.4679720401763916,0.7562817335128784,0.0017967435996979475","0.5323905944824219,0.9801775813102722,0.014787214808166027","0.4825199544429779,0.98008793592453,0.05903743579983711","0.5380727052688599,1.2014167308807373,0.2257663458585739","0.48388662934303284,1.1671589612960815,0.26073434948921204","0.5419431328773499,1.2247072458267212,0.24329395592212677","0.4874536395072937,1.195904016494751,0.27828720211982727","0.5154969692230225,1.2688499689102173,0.14836673438549042","0.47803211212158203,1.2316800355911255,0.18753767013549805"
0.0,"0.4981089234352112,0.26197534799575806,-0.2719945013523102","0.5053085684776306,0.24029681086540222,-0.2523176074028015","0.5113199353218079,0.23966467380523682,-0.2527012228965759","0.5173263549804688,0.23982815444469452,-0.25265634059906006","0.4899260997772217,0.24351583421230316,-0.24905991554260254","0.4847070574760437,0.24502931535243988,-0.24958908557891846","0.4807656705379486,0.24698393046855927,-0.2500157356262207","0.5226737260818481,0.25178852677345276,-0.1439383327960968","0.477670282125473,0.258559912443161,-0.1307142674922943","0.5088909268379211,0.28309106826782227,-0.22713525593280792","0.49157118797302246,0.2842337191104889,-0.2258792668581009","0.567051351070404,0.40039798617362976,-0.07256969064474106","0.4497169554233551,0.38402366638183594,-0.03958524763584137","0.5800334215164185,0.5585972666740417,0.11737607419490814","0.430532842874527,0.3386627733707428,0.1137489527463913","0.5482474565505981,0.6685014367103577,0.3240063488483429","0.4597834646701813,0.3181440830230713,0.29343917965888977","0.5432755947113037,0.7076595425605774,0.35322827100753784","0.4666469991207123,0.3013369143009186,0.30070286989212036","0.5370572805404663,0.6938773393630981,0.32520321011543274","0.47277015447616577,0.3172263205051422,0.3048000633716583","0.5372889637947083,0.6763417720794678,0.3211284875869751","0.468696266412735,0.31799307465553284,0.29713761806488037","0.5413201451301575,0.750971794128418,-0.004637900739908218","0.4688563346862793,0.7555763125419617,0.004673132672905922","0.5321961045265198,0.9798110723495483,0.015119781717658043","0.4821840226650238,0.978773832321167,0.052534084767103195","0.5394445657730103,1.2045247554779053,0.19572332501411438","0.48269373178482056,1.172055959701538,0.23855602741241455","0.5445536375045776,1.2305749654769897,0.20994190871715546","0.48636922240257263,1.206358551979065,0.2533416450023651","0.5158137679100037,1.2693418264389038,0.11087095737457275","0.47742047905921936,1.2372548580169678,0.16068236529827118"
0.0,"0.49738460779190063,0.26203808188438416,-0.24708068370819092","0.5051501393318176,0.24068084359169006,-0.22670717537403107","0.511149525642395,0.24005001783370972,-0.22707834839820862","0.5170551538467407,0.2401238977909088,-0.22705574333667755","0.4890030026435852,0.2441386580467224,-0.22448845207691193","0.4838341176509857,0.24571047723293304,-0.22499780356884003","0.479780912399292,0.24763624370098114,-0.22541308403015137","0.5222958326339722,0.25180113315582275,-0.11883769929409027","0.47716832160949707,0.2591756284236908,-0.11142702400684357","0.5085748434066772,0.28320345282554626,-0.20288363099098206","0.4911081790924072,0.2844330370426178,-0.20303335785865784","0.5672315955162048,0.4003962278366089,-0.05154401808977127","0.4495857357978821,0.3851071298122406,-0.03486904129385948","0.5801314115524292,0.5572372674942017,0.1305423378944397","0.43030136823654175,0.2914922833442688,0.08133679628372192","0.5486355423927307,0.6662073135375977,0.3518802523612976","0.4578837752342224,0.3034554719924927,0.2266560047864914","0.5432796478271484,0.7022104859352112,0.3821588456630707","0.4625101089477539,0.29903075098991394,0.22790415585041046","0.5369221568107605,0.6858269572257996,0.35421961545944214","0.46724605560302734,0.3104817271232605,0.23317083716392517","0.5373449921607971,0.6702973246574402,0.34886711835861206","0.46552449464797974,0.3136669993400574,0.22966322302818298","0.5415449142456055,0.750550389289856,-0.004563078284263611","0.4698798656463623,0.7546800374984741,0.004592885263264179","0.5321930050849915,0.9789698123931885,0.01732984185218811","0.4821762442588806,0.9777340292930603,0.04777871444821358","0.5399714112281799,1.2100952863693237,0.18514922261238098","0.4826752543449402,1.1735724210739136,0.22823438048362732","0.5460830330848694,1.239739179611206,0.19779852032661438","0.48643532395362854,1.2114977836608887,0.24278314411640167","0.515686571598053,1.2705334424972534,0.09623279422521591","0.47743791341781616,1.2387535572052002,0.14850156009197235"
