az,el,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0.5,0.0,"0.5015122890472412,0.2920208275318146,-0.22591504454612732","0.5079065561294556,0.2682322859764099,-0.20957982540130615","0.5124832391738892,0.2682267427444458,-0.209800124168396","0.5165637731552124,0.2686021029949188,-0.20998737215995789","0.49330320954322815,0.26928776502609253,-0.2064582109451294","0.4884334206581116,0.26937076449394226,-0.20640654861927032","0.4847152829170227,0.2692808508872986,-0.20649299025535583","0.5219861268997192,0.2751834988594055,-0.10310915857553482","0.48019665479660034,0.27523544430732727,-0.05745047330856323","0.5089919567108154,0.31203970313072205,-0.17925992608070374","0.49341002106666565,0.3137931525707245,-0.17300309240818024","0.5364828109741211,0.36850520968437195,-0.129496768116951","0.462968111038208,0.3822007179260254,0.08306869119405746","0.4639495015144348,0.4070899486541748,-0.27446848154067993","0.4586838185787201,0.48693907260894775,0.25786399841308594","0.3641567826271057,0.37741246819496155,-0.33408093452453613","0.4538475573062897,0.5537996888160706,0.32919371128082275","0.33515307307243347,0.3796176612377167,-0.3867983818054199","0.44331997632980347,0.5843451023101807,0.3308555781841278","0.330971896648407,0.3711691200733185,-0.3746431767940521","0.44216758012771606,0.5697473883628845,0.2995520830154419","0.3410733938217163,0.37382006645202637,-0.33348292112350464","0.4485664963722229,0.5634448528289795,0.31806498765945435","0.5285173654556274,0.7226347327232361,-0.03888704627752304","0.4660376012325287,0.7259683609008789,0.039192281663417816","0.5122278928756714,0.9652994871139526,-0.05326511338353157","0.4704451560974121,0.9775663614273071,-0.010299408808350563","0.5030545592308044,1.1572868824005127,0.2814212739467621","0.4706690311431885,1.1641343832015991,0.3067741394042969","0.503395140171051,1.1817961931228638,0.31271687150001526","0.4735141694545746,1.1840013265609741,0.33764180541038513","0.48955100774765015,1.2285711765289307,0.22898153960704803","0.46381673216819763,1.2375774383544922,0.2302313596010208"
0.5,0.0,"0.5012456178665161,0.29223281145095825,-0.24408701062202454","0.5068799257278442,0.2683035433292389,-0.21871121227741241","0.510933518409729,0.268457293510437,-0.21888390183448792","0.514879047870636,0.2692062258720398,-0.2190784215927124","0.4938506484031677,0.26816731691360474,-0.21871738135814667","0.489238977432251,0.2675265967845917,-0.21863813698291779","0.4853912889957428,0.26667192578315735,-0.21872469782829285","0.5197407603263855,0.2758280336856842,-0.11867459118366241","0.4802471101284027,0.27225953340530396,-0.07586052268743515","0.5076488256454468,0.31214651465415955,-0.18682804703712463","0.4930869936943054,0.31229403614997864,-0.18277738988399506","0.5322279334068298,0.36455827951431274,-0.1314966082572937","0.45987170934677124,0.39005953073501587,0.06798122823238373","0.4497278332710266,0.4076576232910156,-0.18703630566596985","0.4545360505580902,0.524181604385376,0.22876811027526855","0.3599291443824768,0.3701420724391937,-0.18675610423088074","0.45769643783569336,0.5525136590003967,0.2673115134239197","0.3319479823112488,0.3729844093322754,-0.22975735366344452","0.4599430561065674,0.5698851346969604,0.2619140148162842","0.3287274241447449,0.3675770163536072,-0.22412927448749542","0.457416832447052,0.5484744310379028,0.2367856800556183","0.33764809370040894,0.3677160441875458,-0.18612553179264069","0.4591761529445648,0.5427334904670715,0.25782063603401184","0.5259864926338196,0.7273308038711548,-0.03205598145723343","0.46101540327072144,0.7332983016967773,0.032320380210876465","0.5164415836334229,0.9690802693367004,-0.07460497319698334","0.46748828887939453,0.9669472575187683,0.027863550931215286","0.506891667842865,1.080649733543396,0.38580480217933655","0.47502249479293823,1.1365963220596313,0.4044732451438904","0.5125168561935425,1.0851893424987793,0.43124285340309143","0.4755237102508545,1.149015188217163,0.4444625973701477","0.5160382390022278,1.1577446460723877,0.3971627354621887","0.47611141204833984,1.2199583053588867,0.3778561055660248"
0.5,0.0,"0.5013092756271362,0.2917320132255554,-0.24024739861488342","0.5073202252388,0.26745471358299255,-0.2260253131389618","0.5114206671714783,0.2673371136188507,-0.22623899579048157","0.515608012676239,0.267641544342041,-0.2264237403869629","0.4944709837436676,0.26718342304229736,-0.21857833862304688","0.4895991384983063,0.2663661241531372,-0.2185332328081131","0.4852578639984131,0.26538515090942383,-0.2186274230480194","0.5209153294563293,0.27412670850753784,-0.12356165796518326","0.47878146171569824,0.270990252494812,-0.06927613914012909","0.5074723362922668,0.3113003075122833,-0.1944867968559265","0.49295926094055176,0.31129032373428345,-0.18234719336032867","0.53307044506073,0.3646080791950226,-0.14669930934906006","0.45764845609664917,0.390792578458786,0.0913771241903305","0.45293742418289185,0.4092603027820587,-0.24192091822624207","0.4467654228210449,0.5115886330604553,0.2709185481071472","0.35851144790649414,0.37664878368377686,-0.2587742209434509","0.43890824913978577,0.5561355352401733,0.31878364086151123","0.33116161823272705,0.37918820977211,-0.30541858077049255","0.43876034021377563,0.5832861065864563,0.3203943967819214","0.32823848724365234,0.3731623888015747,-0.2950957417488098","0.4391268789768219,0.572441041469574,0.29402658343315125","0.33665066957473755,0.37329334020614624,-0.2565867304801941","0.44081392884254456,0.559382438659668,0.3102952241897583","0.5247048139572144,0.7326211929321289,-0.04655783995985985","0.4584662914276123,0.7410739660263062,0.04669336974620819","0.5209428071975708,0.970942497253418,-0.09758404642343521","0.46785658597946167,0.9750482439994812,0.025156352669000626","0.5187678337097168,1.1386749744415283,0.3315620422363281","0.4822101593017578,1.1930030584335327,0.3751034736633301","0.5210430026054382,1.1483181715011597,0.38069942593574524","0.4827040731906891,1.2071254253387451,0.4120818078517914","0.5203936100006104,1.2235724925994873,0.33112937211990356","0.47697219252586365,1.2870897054672241,0.3416447341442108"
0.5,0.0,"0.501105010509491,0.29096806049346924,-0.2734748125076294","0.5070131421089172,0.2668217122554779,-0.26276153326034546","0.5110276341438293,0.2668699622154236,-0.26299360394477844","0.5152492523193359,0.26698067784309387,-0.26322680711746216","0.4944581389427185,0.26542893052101135,-0.24739722907543182","0.48964470624923706,0.2644611597061157,-0.2473442107439041","0.4853048324584961,0.2634027600288391,-0.2474299669265747","0.5207600593566895,0.2728380560874939,-0.15590009093284607","0.47872692346572876,0.2689889967441559,-0.09536871314048767","0.5072199106216431,0.31107333302497864,-0.22879569232463837","0.49272942543029785,0.3103536367416382,-0.20837590098381042","0.5351158380508423,0.36638930439949036,-0.16152815520763397","0.4575037956237793,0.3843134641647339,0.059191636741161346","0.45558491349220276,0.406308114528656,-0.22682181000709534","0.4540894627571106,0.4964003264904022,0.24974887073040009","0.3612736463546753,0.3756529986858368,-0.2255714386701584","0.4505103528499603,0.5348615646362305,0.31949758529663086","0.3344840407371521,0.37991878390312195,-0.2693999409675598","0.468029648065567,0.5593657493591309,0.32208573818206787","0.33109843730926514,0.37367990612983704,-0.26332348585128784","0.45251160860061646,0.5317308902740479,0.29521653056144714","0.33993077278137207,0.3754677176475525,-0.22411569952964783","0.4691077172756195,0.5329430103302002,0.31094303727149963","0.5249471068382263,0.7320104837417603,-0.04167976230382919","0.457294225692749,0.7406193017959595,0.04190059006214142","0.5205579996109009,0.9708990454673767,-0.0672207772731781","0.46489644050598145,0.9744413495063782,0.023905528709292412","0.5158029198646545,1.1498305797576904,0.3174609839916229","0.47848349809646606,1.1853224039077759,0.3970754146575928","0.5194403529167175,1.1658008098602295,0.3562304377555847","0.4819101393222809,1.2020138502120972,0.4353245794773102","0.5039762258529663,1.2309129238128662,0.2906632423400879","0.46917811036109924,1.2657381296157837,0.3529122471809387"
0.5,0.0,"0.501413106918335,0.29192274808883667,-0.2695576250553131","0.5077774524688721,0.26811715960502625,-0.25857242941856384","0.5117031335830688,0.26838380098342896,-0.25883251428604126","0.5158349275588989,0.26874980330467224,-0.2590176463127136","0.49552440643310547,0.2667761743068695,-0.24259626865386963","0.4907103180885315,0.2661252021789551,-0.2425815314054489","0.48648977279663086,0.265358567237854,-0.24267201125621796","0.5208210945129395,0.27406126260757446,-0.14058275520801544","0.47916269302368164,0.27010318636894226,-0.0843467265367508","0.5073007345199585,0.3117593228816986,-0.22438624501228333","0.4934214949607849,0.3111001253128052,-0.20467190444469452","0.5393088459968567,0.37063705921173096,-0.15276959538459778","0.45602840185165405,0.38729459047317505,0.07237418740987778","0.4577787518501282,0.40774744749069214,-0.27871784567832947","0.4381658434867859,0.5110304355621338,0.23626311123371124","0.3619263470172882,0.3745357096195221,-0.3602704405784607","0.43880391120910645,0.5481270551681519,0.259259968996048","0.3351152837276459,0.3787403404712677,-0.4181295931339264","0.43873119354248047,0.5674060583114624,0.2553793787956238","0.33160310983657837,0.37196287512779236,-0.40702366828918457","0.4407197833061218,0.5539368391036987,0.2263168841600418","0.34022608399391174,0.37335115671157837,-0.3588317036628723","0.44507378339767456,0.5492485761642456,0.2493763267993927","0.5265328884124756,0.7352540493011475,-0.04517195373773575","0.457798570394516,0.7412016987800598,0.045372478663921356","0.5214473009109497,0.9778401851654053,-0.10304565727710724","0.4692816734313965,0.9779574275016785,-0.023593930527567863","0.5186195373535156,1.1633111238479614,0.29362383484840393","0.4813217222690582,1.19693124294281,0.33563196659088135","0.5197881460189819,1.1775617599487305,0.33343321084976196","0.48305803537368774,1.2154093980789185,0.37242716550827026","0.5073300004005432,1.2517117261886597,0.27154985070228577","0.47530776262283325,1.277692198753357,0.2812400460243225"
0.5,0.0,"0.5028280019760132,0.2909253239631653,-0.23820336163043976","0.508376955986023,0.26729616522789,-0.225834921002388","0.5122366547584534,0.26772111654281616,-0.22605693340301514","0.5166407227516174,0.2680308520793915,-0.22628279030323029","0.495988667011261,0.2652210593223572,-0.210799902677536","0.49097785353660583,0.2644842267036438,-0.21071021258831024","0.4865843653678894,0.26367905735969543,-0.21072237193584442","0.5222513675689697,0.27258196473121643,-0.10810676962137222","0.47912782430648804,0.26960670948028564,-0.05123648792505264","0.5083380341529846,0.3114694058895111,-0.18974295258522034","0.4944652020931244,0.31038686633110046,-0.17371860146522522","0.539513349533081,0.36810019612312317,-0.13672123849391937","0.4571347236633301,0.3865049183368683,0.11865557730197906","0.4617084562778473,0.4063086211681366,-0.17543679475784302","0.45787525177001953,0.4933396577835083,0.3186708688735962","0.3641555905342102,0.3767614960670471,-0.12423060089349747","0.45003706216812134,0.529617428779602,0.3980446755886078","0.3375336527824402,0.3814147114753723,-0.16279658675193787","0.464301198720932,0.5519211888313293,0.4026957154273987","0.333646297454834,0.37462136149406433,-0.1607639491558075","0.4665469229221344,0.5296270847320557,0.38002341985702515","0.3424149751663208,0.37592262029647827,-0.12352512031793594","0.46751242876052856,0.5216254591941833,0.3908799886703491","0.5271679162979126,0.734778106212616,-0.04621971398591995","0.45891696214675903,0.7402312159538269,0.04646861553192139","0.5203965902328491,0.9763675928115845,-0.1259341984987259","0.4654085040092468,0.977141797542572,0.007806905545294285","0.5212971568107605,1.1280293464660645,0.3763098120689392","0.48330315947532654,1.1749274730682373,0.40761739015579224","0.5238500833511353,1.1310889720916748,0.40924158692359924","0.4842299520969391,1.1877464056015015,0.4495386481285095","0.5171775221824646,1.215674877166748,0.37261199951171875","0.47691839933395386,1.2586143016815186,0.3913891911506653"
0.5,0.0,"0.5035340189933777,0.2905466854572296,-0.25785505771636963","0.5087507963180542,0.2669036388397217,-0.24648037552833557","0.5125675797462463,0.26731568574905396,-0.24672064185142517","0.5170566439628601,0.26746368408203125,-0.24694380164146423","0.49632054567337036,0.2650812566280365,-0.22957122325897217","0.49135637283325195,0.2643129527568817,-0.2295263558626175","0.48702865839004517,0.2635379135608673,-0.22958914935588837","0.5223689079284668,0.27080315351486206,-0.14064733684062958","0.4797289967536926,0.26946279406547546,-0.08130185306072235","0.5090546011924744,0.3110736012458801,-0.21340589225292206","0.4952724874019623,0.30982503294944763,-0.19110730290412903","0.5391829013824463,0.36657169461250305,-0.16060426831245422","0.4576289653778076,0.3813440501689911,0.07633394747972488","0.4617484211921692,0.4069766700267792,-0.2513297200202942","0.4594026505947113,0.48492759466171265,0.2614831328392029","0.36561161279678345,0.37891846895217896,-0.2735097110271454","0.45119279623031616,0.5075610876083374,0.32273054122924805","0.33968767523765564,0.3827153444290161,-0.32201123237609863","0.4615667462348938,0.5369120836257935,0.3242748975753784","0.3360138535499573,0.3768601715564728,-0.3171467185020447","0.46284493803977966,0.5172934532165527,0.29628461599349976","0.34476977586746216,0.37987619638442993,-0.27313944697380066","0.4639836847782135,0.5110723376274109,0.3131994605064392","0.5260295867919922,0.7338781356811523,-0.04544306546449661","0.4601041376590729,0.7384510636329651,0.04566427320241928","0.5200768709182739,0.9742642641067505,-0.087294802069664","0.46613258123397827,0.9845677614212036,0.0004974211333319545","0.5149261355400085,1.1471301317214966,0.30720779299736023","0.47213658690452576,1.1880207061767578,0.3650681972503662","0.5191347002983093,1.1604350805282593,0.34561026096343994","0.4723172187805176,1.2052526473999023,0.40240269899368286","0.5056323409080505,1.2374389171600342,0.2764050364494324","0.4706537127494812,1.2779839038848877,0.31669527292251587"
0.5,0.0,"0.50355464220047,0.28971222043037415,-0.21719162166118622","0.5088253617286682,0.26669639348983765,-0.1955418884754181","0.5125879049301147,0.2670309841632843,-0.19562922418117523","0.5169334411621094,0.2669852077960968,-0.19576914608478546","0.496661901473999,0.2645915448665619,-0.19264456629753113","0.49181923270225525,0.2636529207229614,-0.19258806109428406","0.4877196252346039,0.2626594007015228,-0.19264055788516998","0.5207951664924622,0.2700202167034149,-0.0944361463189125","0.4810054302215576,0.26830580830574036,-0.036454956978559494","0.5086996555328369,0.3102928102016449,-0.15273763239383698","0.4952462315559387,0.3082785904407501,-0.1577037274837494","0.5369387865066528,0.3679487109184265,-0.13974140584468842","0.459148108959198,0.3795150816440582,0.13481082022190094","0.463672399520874,0.4071129262447357,-0.22081701457500458","0.45126157999038696,0.46525731682777405,0.3273923397064209","0.366565465927124,0.37736624479293823,-0.21534495055675507","0.44775786995887756,0.531771719455719,0.39445680379867554","0.3405652642250061,0.38071224093437195,-0.259406715631485","0.4448680281639099,0.546021044254303,0.40051499009132385","0.33695176243782043,0.3753131926059723,-0.25386324524879456","0.45640841126441956,0.5273382067680359,0.3730611503124237","0.3458220362663269,0.37815824151039124,-0.21424046158790588","0.4588433802127838,0.5200375318527222,0.3849254548549652","0.526580810546875,0.7318689823150635,-0.054948590695858","0.4655129015445709,0.7340132594108582,0.055121440440416336","0.5219186544418335,0.9889234900474548,-0.12421990931034088","0.4689640402793884,0.9813482761383057,0.020716432482004166","0.52391117811203,1.1426832675933838,0.2885272800922394","0.47933000326156616,1.1705186367034912,0.37630563974380493","0.5289484262466431,1.150197982788086,0.3282334506511688","0.487191379070282,1.186951756477356,0.4129244387149811","0.5212409496307373,1.2342917919158936,0.23991349339485168","0.4795515537261963,1.2562427520751953,0.3504394292831421"
0.5,0.0,"0.5039318203926086,0.2882642149925232,-0.23037493228912354","0.5090250968933105,0.26601406931877136,-0.22026757895946503","0.5128248929977417,0.26642459630966187,-0.22048918902873993","0.5171207785606384,0.2665722370147705,-0.2207074910402298","0.49706047773361206,0.2633347809314728,-0.20506636798381805","0.4922502934932709,0.2621314227581024,-0.20498518645763397","0.4880673289299011,0.26092037558555603,-0.20501089096069336","0.521056592464447,0.26989445090293884,-0.12090732902288437","0.4810849130153656,0.26689305901527405,-0.06652645021677017","0.508791983127594,0.30900508165359497,-0.18836131691932678","0.49519506096839905,0.3062610626220703,-0.16799047589302063","0.5366089344024658,0.3663786053657532,-0.14689581096172333","0.4588140845298767,0.37733912467956543,0.08380661904811859","0.4627026915550232,0.4066139757633209,-0.22561991214752197","0.4516436457633972,0.4669882357120514,0.253653883934021","0.3676831126213074,0.3747765123844147,-0.24349205195903778","0.46783965826034546,0.5068824887275696,0.30772843956947327","0.3416305184364319,0.3783704936504364,-0.2908189594745636","0.4698539674282074,0.527978777885437,0.30954045057296753","0.33791404962539673,0.37315085530281067,-0.28506380319595337","0.4688984751701355,0.5085112452507019,0.2819676995277405","0.3468884229660034,0.3746887147426605,-0.2426706850528717","0.46991872787475586,0.5028321743011475,0.2980346381664276","0.5254837274551392,0.7280510663986206,-0.04310338571667671","0.4606364667415619,0.731381893157959,0.04332276061177254","0.5206052660942078,0.9705832600593567,-0.10347361862659454","0.4650298058986664,0.96474289894104,0.031035974621772766","0.5210127830505371,1.1107615232467651,0.3088986575603485","0.47982415556907654,1.147045612335205,0.38578712940216064","0.5223404765129089,1.1166220903396606,0.3445986807346344","0.4844680428504944,1.1617069244384766,0.42240509390830994","0.5158456563949585,1.2017426490783691,0.29768896102905273","0.48028773069381714,1.2321667671203613,0.34580153226852417"
0.5,0.0,"0.5042042136192322,0.2901351749897003,-0.21605506539344788","0.5097959637641907,0.26660865545272827,-0.20643684267997742","0.5137237906455994,0.26706814765930176,-0.20667222142219543","0.5178760290145874,0.26753637194633484,-0.20690664649009705","0.4979000985622406,0.26461061835289,-0.2021038830280304","0.49309325218200684,0.2633633017539978,-0.20209038257598877","0.488934189081192,0.26217225193977356,-0.20215117931365967","0.5218261480331421,0.2724807858467102,-0.11008904129266739","0.48153677582740784,0.2675691545009613,-0.05903217941522598","0.508924663066864,0.3095100224018097,-0.1770116090774536","0.4956466257572174,0.3082340955734253,-0.16795065999031067","0.5344182848930359,0.36980968713760376,-0.1410820633172989","0.4605214595794678,0.3787955343723297,0.10302785784006119","0.4580831527709961,0.4131942689418793,-0.19745725393295288","0.46993470191955566,0.49269917607307434,0.2967601418495178","0.3704065680503845,0.3807919919490814,-0.17676551640033722","0.4508959650993347,0.5380128026008606,0.36132150888442993","0.3448677957057953,0.3812524676322937,-0.21853503584861755","0.44439536333084106,0.552795946598053,0.36532846093177795","0.3407883942127228,0.37639328837394714,-0.2158232480287552","0.4446638226509094,0.5354121923446655,0.33349552750587463","0.3498843014240265,0.3794941306114197,-0.17690880596637726","0.45804429054260254,0.5301103591918945,0.34955349564552307","0.5238248109817505,0.7297152280807495,-0.0465981587767601","0.4623398184776306,0.7330915927886963,0.04684515669941902","0.5185321569442749,0.9810094833374023,-0.10721061378717422","0.4646471440792084,0.9735543131828308,0.03906698524951935","0.5211021304130554,1.115277886390686,0.3120391070842743","0.47994932532310486,1.1528303623199463,0.39329034090042114","0.5237457156181335,1.1205291748046875,0.3510819375514984","0.48272642493247986,1.1672630310058594,0.4299100339412689","0.5175016522407532,1.2026399374008179,0.30859142541885376","0.475403368473053,1.2378877401351929,0.37067919969558716"
