az,el,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
-0.5,0.0,"0.47384434938430786,0.3997136950492859,-0.19334456324577332","0.48014044761657715,0.38231581449508667,-0.17390672862529755","0.484872430562973,0.3827410936355591,-0.1740884780883789","0.48847612738609314,0.3838265836238861,-0.17404060065746307","0.46783366799354553,0.3814898729324341,-0.18320989608764648","0.4635950028896332,0.38086673617362976,-0.18342508375644684","0.45937594771385193,0.3807603120803833,-0.18363000452518463","0.4949643015861511,0.3910781741142273,-0.06942570954561234","0.4540002942085266,0.390553742647171,-0.11181344836950302","0.4825856685638428,0.41746029257774353,-0.15162260830402374","0.46662968397140503,0.4180178642272949,-0.1652039736509323","0.5252558588981628,0.5012482404708862,-0.003809581743553281","0.4376583695411682,0.46528160572052,-0.114194355905056","0.541087806224823,0.64212965965271,0.01842660643160343","0.492349237203598,0.4792554974555969,-0.23143120110034943","0.5484025478363037,0.78107750415802,-0.03690388798713684","0.5739173889160156,0.46143394708633423,-0.3106919229030609","0.5513549447059631,0.8285382390022278,-0.05523597076535225","0.5965802669525146,0.4686506986618042,-0.3550855815410614","0.5436837077140808,0.8284261226654053,-0.07918745279312134","0.5998773574829102,0.46489807963371277,-0.3364357650279999","0.5406903028488159,0.8124074339866638,-0.04747096449136734","0.5928564667701721,0.4690779745578766,-0.30562517046928406","0.5121986269950867,0.70710688829422,0.02559254691004753","0.4647572636604309,0.7054247856140137,-0.025701526552438736","0.5152037739753723,0.8971642255783081,0.021371422335505486","0.46957382559776306,0.9017263054847717,0.010926731862127781","0.5120916366577148,1.0381379127502441,0.18674106895923615","0.4815225601196289,1.010207176208496,0.16241079568862915","0.511925995349884,1.055933952331543,0.19977092742919922","0.4869360327720642,1.0546772480010986,0.17559143900871277","0.5008680820465088,1.0953372716903687,0.1256473809480667","0.4741021692752838,1.0740714073181152,0.10205644369125366"
-0.5,0.0,"0.47411972284317017,0.3994291126728058,-0.22016215324401855","0.48059505224227905,0.3817877769470215,-0.20073504745960236","0.4853058457374573,0.38183385133743286,-0.20097529888153076","0.48910826444625854,0.38223496079444885,-0.20095475018024445","0.4679221510887146,0.3813696503639221,-0.20965611934661865","0.4638490080833435,0.3808401823043823,-0.20991459488868713","0.45983314514160156,0.38074514269828796,-0.2101689875125885","0.4953482747077942,0.3888067603111267,-0.09523870050907135","0.45449572801589966,0.3903558850288391,-0.13599947094917297","0.4829782545566559,0.41633668541908264,-0.17784564197063446","0.46732908487319946,0.41701966524124146,-0.191053569316864","0.5292374491691589,0.5018380284309387,-0.03064589574933052","0.4373447299003601,0.4651739001274109,-0.13559357821941376","0.5435211062431335,0.6459877490997314,0.013070154003798962","0.4899889826774597,0.4779108166694641,-0.26671266555786133","0.549999475479126,0.7855201959609985,-0.024559274315834045","0.5747703909873962,0.46131739020347595,-0.36871910095214844","0.5523291230201721,0.8314327597618103,-0.038679540157318115","0.5979717969894409,0.46823450922966003,-0.41831499338150024","0.5459555387496948,0.8322009444236755,-0.06631385535001755","0.6008530855178833,0.46485498547554016,-0.3982352614402771","0.5421162843704224,0.8176732659339905,-0.035676416009664536","0.5938387513160706,0.4690392017364502,-0.3639768362045288","0.5121992230415344,0.7223055362701416,0.021907556802034378","0.4630710482597351,0.7202849388122559,-0.02198697440326214","0.5153174996376038,0.9121516942977905,0.035631366074085236","0.4687262177467346,0.9140444397926331,0.03460419923067093","0.5139461755752563,1.057423710823059,0.2181108295917511","0.4815366268157959,1.0112168788909912,0.22693610191345215","0.5158519148826599,1.073372721672058,0.23317500948905945","0.48697933554649353,1.057410478591919,0.2449875771999359","0.5005620121955872,1.1181674003601074,0.16783134639263153","0.47257333993911743,1.0855497121810913,0.18875347077846527"
-0.5,0.0,"0.47468337416648865,0.39878159761428833,-0.22423453629016876","0.48116207122802734,0.3808942139148712,-0.20357485115528107","0.48589229583740234,0.3807991147041321,-0.20382428169250488","0.4899541437625885,0.3810274302959442,-0.20380952954292297","0.4682859778404236,0.3808366656303406,-0.21242156624794006","0.46442365646362305,0.3805442750453949,-0.21268200874328613","0.46053314208984375,0.38058799505233765,-0.21293994784355164","0.49606066942214966,0.38807928562164307,-0.09464462846517563","0.45522379875183105,0.39002084732055664,-0.13516654074192047","0.48370257019996643,0.41519850492477417,-0.18086710572242737","0.4679833948612213,0.4159923195838928,-0.19404150545597076","0.530875563621521,0.502850353717804,-0.030351046472787857","0.4373190999031067,0.4651663899421692,-0.13449159264564514","0.5454398393630981,0.6494455933570862,0.01136883907020092","0.48931974172592163,0.478655070066452,-0.2666741907596588","0.5509144067764282,0.7883967161178589,-0.026933711022138596","0.5747691988945007,0.46291759610176086,-0.37230536341667175","0.5530359148979187,0.8334982395172119,-0.042370520532131195","0.5981931090354919,0.46981513500213623,-0.422382652759552","0.5468255877494812,0.8345162272453308,-0.06881975382566452","0.6010400652885437,0.4675077795982361,-0.4025917053222656","0.5428571105003357,0.8202667236328125,-0.03786822408437729","0.5941985845565796,0.4725951850414276,-0.367803156375885","0.5125544667243958,0.7293763756752014,0.020771795883774757","0.46207600831985474,0.7282831072807312,-0.020850401371717453","0.5155211091041565,0.9177181720733643,0.034349583089351654","0.4677722454071045,0.9163767695426941,0.027916092425584793","0.5142213106155396,1.0583720207214355,0.22593963146209717","0.4815155565738678,1.0110114812850952,0.22762274742126465","0.5168668627738953,1.072651982307434,0.24315591156482697","0.4864223897457123,1.058164358139038,0.24735458195209503","0.4984400272369385,1.1208670139312744,0.17991378903388977","0.46983176469802856,1.0922794342041016,0.19303391873836517"
-0.5,0.0,"0.4754956364631653,0.3984479308128357,-0.2162688970565796","0.4822230935096741,0.3805706799030304,-0.19623276591300964","0.4869786202907562,0.3805764615535736,-0.19644567370414734","0.4911768436431885,0.3808906078338623,-0.19641287624835968","0.469041109085083,0.380449503660202,-0.2057163417339325","0.46531233191490173,0.38032954931259155,-0.20594139397144318","0.4616834223270416,0.3805317282676697,-0.20616063475608826","0.49765223264694214,0.38802358508110046,-0.09004364162683487","0.45659303665161133,0.38999149203300476,-0.12886320054531097","0.4846575856208801,0.414877325296402,-0.17372679710388184","0.46881723403930664,0.41585201025009155,-0.18771648406982422","0.5327860116958618,0.5046678185462952,-0.024325914680957794","0.4373561441898346,0.46463829278945923,-0.12925559282302856","0.5456856489181519,0.652003288269043,0.013700181618332863","0.4867011606693268,0.485503613948822,-0.25728359818458557","0.5512229800224304,0.7916235327720642,-0.027200618758797646","0.5746550559997559,0.47151950001716614,-0.36231178045272827","0.5530616641044617,0.8358694911003113,-0.043285928666591644","0.5981828570365906,0.4816026985645294,-0.412238746881485","0.5469893217086792,0.8373589515686035,-0.06995581835508347","0.60102379322052,0.48095962405204773,-0.39314109086990356","0.5430456399917603,0.8239927291870117,-0.038278352469205856","0.5942242741584778,0.48480725288391113,-0.35813093185424805","0.5130710601806641,0.7342700362205505,0.020877275615930557","0.4621250033378601,0.7339252829551697,-0.020953763276338577","0.5163235664367676,0.9224013686180115,0.039082709699869156","0.4683120846748352,0.923397421836853,0.033713553100824356","0.5163076519966125,1.0623899698257446,0.23823682963848114","0.481604665517807,1.0140347480773926,0.22027680277824402","0.5182750821113586,1.0773513317108154,0.25503110885620117","0.4866867661476135,1.0670746564865112,0.2373819798231125","0.5020607113838196,1.1224358081817627,0.18961915373802185","0.4700598120689392,1.0979970693588257,0.17463113367557526"
-0.5,0.0,"0.4764828681945801,0.3979228436946869,-0.21334128081798553","0.4835135042667389,0.380288302898407,-0.1935882270336151","0.48844510316848755,0.3804059624671936,-0.19382481276988983","0.4926978647708893,0.3807535767555237,-0.19380612671375275","0.4701387882232666,0.37983763217926025,-0.2022157609462738","0.4664713740348816,0.3798990845680237,-0.20245668292045593","0.4629966616630554,0.38030144572257996,-0.20269127190113068","0.4996882379055023,0.3879472017288208,-0.08821755647659302","0.45817381143569946,0.38978660106658936,-0.1270892173051834","0.4862322211265564,0.4145120084285736,-0.17114026844501495","0.4697905480861664,0.4155275523662567,-0.18406003713607788","0.533652663230896,0.5047427415847778,-0.023347165435552597","0.4384465217590332,0.46460309624671936,-0.1274087280035019","0.5455435514450073,0.6533918380737305,0.014604883268475533","0.48628348112106323,0.4885474443435669,-0.25377434492111206","0.5511764287948608,0.7928494215011597,-0.02507307566702366","0.5748826265335083,0.4731300473213196,-0.36234933137893677","0.5525676012039185,0.8366342186927795,-0.04068916663527489","0.5980184078216553,0.4862425625324249,-0.41237306594848633","0.5470790266990662,0.8388081789016724,-0.0688147321343422","0.6010211706161499,0.48214980959892273,-0.3942607641220093","0.5433555245399475,0.825232207775116,-0.03652216121554375","0.5944477915763855,0.48442742228507996,-0.3585858643054962","0.5136354565620422,0.7405060529708862,0.02106863260269165","0.46218863129615784,0.7403478622436523,-0.021146396175026894","0.5168269276618958,0.9292837381362915,0.0358131043612957","0.46840447187423706,0.9280463457107544,0.029477229341864586","0.5161673426628113,1.0699938535690308,0.23500701785087585","0.4816373884677887,1.0519213676452637,0.21232140064239502","0.5178564190864563,1.0859190225601196,0.2518361508846283","0.48713603615760803,1.0787714719772339,0.22931408882141113","0.5029584169387817,1.1293376684188843,0.18659284710884094","0.47012749314308167,1.1081407070159912,0.16579797863960266"
-0.5,0.0,"0.4777758717536926,0.3979283273220062,-0.2384248524904251","0.4845092296600342,0.38017451763153076,-0.21921956539154053","0.48941072821617126,0.38028907775878906,-0.21949982643127441","0.49384039640426636,0.3806227445602417,-0.21949855983257294","0.4713684916496277,0.3795505166053772,-0.22636178135871887","0.4677184522151947,0.3796733319759369,-0.2266559898853302","0.464313268661499,0.3801571726799011,-0.2269415557384491","0.5005592107772827,0.3878166079521179,-0.11055399477481842","0.4592672288417816,0.38947761058807373,-0.14334115386009216","0.48737239837646484,0.41449567675590515,-0.19459320604801178","0.4711858630180359,0.4154259264469147,-0.20560066401958466","0.5362088084220886,0.5053972005844116,-0.038307130336761475","0.4393157362937927,0.4645887613296509,-0.13901320099830627","0.5463149547576904,0.6556760668754578,0.006958944257348776","0.4870750904083252,0.4885326027870178,-0.2712988555431366","0.5523585081100464,0.7933090329170227,-0.02978876233100891","0.5765763521194458,0.4722132682800293,-0.39060184359550476","0.5525591969490051,0.8367558717727661,-0.04417624697089195","0.5987407565116882,0.48505523800849915,-0.4423941671848297","0.5474866032600403,0.8390653729438782,-0.07476973533630371","0.6020447611808777,0.47902733087539673,-0.4239984154701233","0.5443505048751831,0.8250808119773865,-0.041676171123981476","0.5955726504325867,0.480197936296463,-0.38692858815193176","0.5151313543319702,0.7454319596290588,0.020532559603452682","0.4622032046318054,0.7453075647354126,-0.020614951848983765","0.5171384215354919,0.9311109185218811,0.02630879543721676","0.4685057997703552,0.9291408061981201,0.0290659312158823","0.5161172151565552,1.0840224027633667,0.23269018530845642","0.4817131459712982,1.041560173034668,0.22815397381782532","0.5175716876983643,1.101309895515442,0.2512870132923126","0.4871535301208496,1.0493570566177368,0.24672865867614746","0.5031446218490601,1.14389169216156,0.17796793580055237","0.46973663568496704,1.1138066053390503,0.18519937992095947"
-0.5,0.0,"0.4792520999908447,0.3979300558567047,-0.2490820586681366","0.4861634373664856,0.37997856736183167,-0.2302832156419754","0.49109286069869995,0.3801305592060089,-0.23058965802192688","0.49568885564804077,0.38046202063560486,-0.2305956780910492","0.472872793674469,0.379177063703537,-0.23788423836231232","0.4692068099975586,0.37938588857650757,-0.23818819224834442","0.46584367752075195,0.37995678186416626,-0.23847758769989014","0.5016070008277893,0.3875415027141571,-0.12222006171941757","0.4604356288909912,0.3892535865306854,-0.1568273901939392","0.48879748582839966,0.4145096242427826,-0.20526811480522156","0.47250738739967346,0.4151633679866791,-0.21683676540851593","0.5379177331924438,0.5054503679275513,-0.04844128340482712","0.4396432042121887,0.4642537534236908,-0.15236417949199677","0.5468441843986511,0.6562438607215881,0.0008356057805940509","0.48717808723449707,0.48751822113990784,-0.2859032452106476","0.5526036024093628,0.7936025857925415,-0.033915143460035324","0.5783917307853699,0.4665069878101349,-0.4023916721343994","0.5526814460754395,0.8365424275398254,-0.04701664298772812","0.6007965207099915,0.4774899482727051,-0.4540582299232483","0.5484049916267395,0.8389310240745544,-0.07833421230316162","0.6036354303359985,0.4617782533168793,-0.43522149324417114","0.545089066028595,0.8248351216316223,-0.04575614258646965","0.596726655960083,0.461471289396286,-0.39851391315460205","0.5159715414047241,0.7476822733879089,0.020658519119024277","0.4622477889060974,0.7480596899986267,-0.020745541900396347","0.5177253484725952,0.9293131232261658,0.027531325817108154","0.4681054949760437,0.9274235963821411,0.03241441398859024","0.5155950784683228,1.0388869047164917,0.23556378483772278","0.4816153943538666,1.0257874727249146,0.2547939121723175","0.5146701335906982,1.0933544635772705,0.2533104121685028","0.4871620535850525,1.0189112424850464,0.2761463522911072","0.5030652284622192,1.1370558738708496,0.19177204370498657","0.4693925976753235,1.1086115837097168,0.2263830006122589"
-0.5,0.0,"0.48094144463539124,0.39787545800209045,-0.25102120637893677","0.4875824451446533,0.3793160319328308,-0.23163552582263947","0.49228471517562866,0.379299134016037,-0.23195531964302063","0.4970349669456482,0.3794240355491638,-0.2319624423980713","0.4742136597633362,0.3784695863723755,-0.24046406149864197","0.4704364836215973,0.37863829731941223,-0.2407662570476532","0.46706825494766235,0.37914419174194336,-0.24104423820972443","0.5022023916244507,0.3864140808582306,-0.12134470045566559","0.4612472951412201,0.388405442237854,-0.16159935295581818","0.49003085494041443,0.41446658968925476,-0.20636005699634552","0.47435370087623596,0.41504424810409546,-0.21960091590881348","0.5378401875495911,0.5047340989112854,-0.044665876775979996","0.4401840567588806,0.4642255902290344,-0.16012564301490784","0.5475211143493652,0.655643105506897,0.0023309795651584864","0.49116453528404236,0.4852692782878876,-0.29964640736579895","0.5533449053764343,0.79335618019104,-0.03304417058825493","0.5816578269004822,0.46296995878219604,-0.4236551821231842","0.5532997846603394,0.8367465734481812,-0.04638950899243355","0.6038010716438293,0.4738880693912506,-0.47857537865638733","0.5488056540489197,0.8387612104415894,-0.07818099856376648","0.6056285500526428,0.4549150764942169,-0.46002858877182007","0.5457140803337097,0.8248132467269897,-0.04548884183168411","0.5986430644989014,0.45298364758491516,-0.42034730315208435","0.5172781348228455,0.7524060606956482,0.022840363904833794","0.4631249010562897,0.7557143568992615,-0.022947002202272415","0.5185607075691223,0.9290066957473755,0.03954032436013222","0.4687601625919342,0.9299895167350769,0.044220373034477234","0.5155328512191772,1.0316143035888672,0.25424081087112427","0.48093968629837036,1.0612143278121948,0.2520928978919983","0.5134900808334351,1.0453870296478271,0.27214670181274414","0.48646917939186096,1.0789307355880737,0.27091366052627563","0.5044652819633484,1.1323082447052002,0.21168570220470428","0.46916669607162476,1.1146684885025024,0.21319131553173065"
-0.5,0.0,"0.48263269662857056,0.3973185122013092,-0.2612173557281494","0.4890446066856384,0.377474844455719,-0.24185343086719513","0.4935622811317444,0.37715670466423035,-0.24218535423278809","0.49817314743995667,0.377022922039032,-0.24218618869781494","0.4757503867149353,0.37727636098861694,-0.25049299001693726","0.4718848168849945,0.3775692880153656,-0.25080543756484985","0.46841341257095337,0.37813621759414673,-0.25108441710472107","0.5028053522109985,0.38475438952445984,-0.13094767928123474","0.4621890187263489,0.38725554943084717,-0.16993042826652527","0.4917123317718506,0.413668155670166,-0.21625252068042755","0.4764106869697571,0.4141885042190552,-0.22916314005851746","0.5417129397392273,0.5052602887153625,-0.05190141871571541","0.4404652714729309,0.4632209241390228,-0.1655919849872589","0.5498826503753662,0.6556772589683533,0.0037873084656894207","0.4911702573299408,0.4763615131378174,-0.31179752945899963","0.5535390973091125,0.7934877276420593,-0.021086817607283592","0.5829750895500183,0.4447460472583771,-0.44417935609817505","0.5540674328804016,0.836823582649231,-0.032806139439344406","0.6049953699111938,0.45332154631614685,-0.4999464154243469","0.5492690801620483,0.8388333916664124,-0.06570492684841156","0.6063472032546997,0.43590885400772095,-0.4800295829772949","0.5461875796318054,0.8255414962768555,-0.033448029309511185","0.59932941198349,0.4337185323238373,-0.4405742585659027","0.5180463790893555,0.7543338537216187,0.0228144358843565","0.46319738030433655,0.7558440566062927,-0.022925877943634987","0.5189653635025024,0.9289418458938599,0.03731042146682739","0.4691510796546936,0.9302622675895691,0.05516861006617546","0.5148358345031738,1.0342581272125244,0.24565210938453674","0.48187145590782166,1.0509008169174194,0.26992690563201904","0.5120817422866821,1.0783178806304932,0.26304394006729126","0.48737668991088867,1.0440528392791748,0.2896192669868469","0.5036192536354065,1.1337904930114746,0.20180106163024902","0.4689203202724457,1.1135114431381226,0.2347431480884552"
-0.5,0.0,"0.48438167572021484,0.3967958986759186,-0.26124197244644165","0.49105125665664673,0.3764358162879944,-0.24211028218269348","0.49577173590660095,0.37615060806274414,-0.24245016276836395","0.5000022649765015,0.376051664352417,-0.24244169890880585","0.4772111773490906,0.37625253200531006,-0.2507833242416382","0.473196804523468,0.37651944160461426,-0.25109490752220154","0.46955451369285583,0.3769577741622925,-0.2513670027256012","0.5036729574203491,0.3843347430229187,-0.13269837200641632","0.4631864130496979,0.38609975576400757,-0.1716795414686203","0.49365168809890747,0.41327425837516785,-0.2167973816394806","0.47845640778541565,0.413557767868042,-0.22973573207855225","0.5430362820625305,0.5057231187820435,-0.05665209889411926","0.4409715235233307,0.4628308117389679,-0.17069785296916962","0.5511302351951599,0.6553993821144104,-0.0011999912094324827","0.49455970525741577,0.4641523063182831,-0.3233957886695862","0.5537265539169312,0.7938249111175537,-0.03023945353925228","0.5834038853645325,0.4195978343486786,-0.4510721266269684","0.5546373128890991,0.8372427225112915,-0.04075474292039871","0.6049764156341553,0.4248557686805725,-0.5067747235298157","0.5492695569992065,0.8392201066017151,-0.07523033022880554","0.6085461974143982,0.41747766733169556,-0.4853232502937317","0.5461247563362122,0.8265408873558044,-0.04286938160657883","0.601889431476593,0.41996803879737854,-0.44709867238998413","0.5191425681114197,0.7598345279693604,0.02282152697443962","0.4640789031982422,0.7602765560150146,-0.022936057299375534","0.5195292234420776,0.9304436445236206,0.03607092425227165","0.46914568543434143,0.929987907409668,0.07281982898712158","0.5140689015388489,1.0335334539413452,0.2384096086025238","0.4781641364097595,1.065903902053833,0.2805677354335785","0.5116989016532898,1.088649868965149,0.2550688683986664","0.4828263819217682,1.08480703830719,0.2991643249988556","0.5009514093399048,1.133965015411377,0.19127881526947021","0.4676124155521393,1.1160720586776733,0.24106177687644958"
