az,el,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
-0.5,0.0,"0.5179017186164856,0.2618192136287689,-0.2572678327560425","0.523479700088501,0.24546965956687927,-0.24486756324768066","0.5273310542106628,0.24488157033920288,-0.2448686808347702","0.5303895473480225,0.24453720450401306,-0.24490943551063538","0.513160765171051,0.2472008764743805,-0.23927848041057587","0.5101485848426819,0.24794742465019226,-0.2392537146806717","0.5082254409790039,0.24855542182922363,-0.23924283683300018","0.536746084690094,0.2505512535572052,-0.15662960708141327","0.5072968602180481,0.2553519606590271,-0.1293276697397232","0.5260615348815918,0.2760552763938904,-0.2225574553012848","0.5136430859565735,0.2783964276313782,-0.21520355343818665","0.569495677947998,0.347424179315567,-0.11890886723995209","0.49471378326416016,0.32540321350097656,-0.09850618988275528","0.5762611627578735,0.4632911682128906,-0.12179844081401825","0.524338960647583,0.32047176361083984,-0.19851601123809814","0.5687314867973328,0.5748319625854492,-0.13034184277057648","0.5936266183853149,0.2934090495109558,-0.2696220576763153","0.5691563487052917,0.610640823841095,-0.151424378156662","0.6125558614730835,0.2998618185520172,-0.3016819953918457","0.5607568025588989,0.6059122085571289,-0.1670047491788864","0.6174195408821106,0.2944413125514984,-0.2951408624649048","0.5588778257369995,0.5935001373291016,-0.1357947289943695","0.6124758720397949,0.2927795946598053,-0.2702142298221588","0.5519711971282959,0.5608723163604736,-0.016255244612693787","0.5086607336997986,0.5626963973045349,0.016235988587141037","0.5618169903755188,0.7262139320373535,-0.01962539553642273","0.5253490209579468,0.7316119074821472,0.07435163855552673","0.564400851726532,0.8502035140991211,0.17165376245975494","0.5431222319602966,0.8406401872634888,0.3070116937160492","0.56740802526474,0.8621050715446472,0.18440967798233032","0.5499408841133118,0.8523444533348083,0.3259977698326111","0.5565177798271179,0.901800811290741,0.07074905186891556","0.5334333181381226,0.9014224410057068,0.23648448288440704"
-0.5,0.0,"0.5022014379501343,0.2615339756011963,-0.3191448152065277","0.506424605846405,0.24610920250415802,-0.307746022939682","0.5108531713485718,0.24605950713157654,-0.30769166350364685","0.5145054459571838,0.24616016447544098,-0.3076835572719574","0.497246116399765,0.24716360867023468,-0.30250370502471924","0.49404722452163696,0.24756808578968048,-0.30253249406814575","0.4907893240451813,0.24790513515472412,-0.3025401830673218","0.5205222368240356,0.25252383947372437,-0.21274110674858093","0.49040549993515015,0.25448280572891235,-0.18636572360992432","0.5098666548728943,0.2767217755317688,-0.2803988456726074","0.49897336959838867,0.27846911549568176,-0.2734149694442749","0.5615540742874146,0.33590030670166016,-0.14432354271411896","0.4729307293891907,0.3343800902366638,-0.15637318789958954","0.5603041052818298,0.4261099398136139,-0.13464507460594177","0.5021322965621948,0.3842277526855469,-0.22294001281261444","0.5440042018890381,0.5295369029045105,-0.14498183131217957","0.5702201128005981,0.3454422354698181,-0.2931562066078186","0.542000949382782,0.5635919570922852,-0.1580672711133957","0.5925042033195496,0.34003737568855286,-0.3294593095779419","0.5334203243255615,0.5607829689979553,-0.17910167574882507","0.5962393879890442,0.32662710547447205,-0.32348135113716125","0.5328304171562195,0.5500719547271729,-0.15152022242546082","0.5892521739006042,0.3289068341255188,-0.29315534234046936","0.5309121012687683,0.5666042566299438,0.0029522650875151157","0.4865272045135498,0.5663017630577087,-0.0030165049247443676","0.5368427634239197,0.7290425896644592,0.029657522216439247","0.5027995705604553,0.7314515113830566,0.08636540174484253","0.5452545881271362,0.8511757850646973,0.254241019487381","0.5156621336936951,0.84880131483078,0.3417918086051941","0.5465103387832642,0.8652428388595581,0.2720896303653717","0.5216476917266846,0.8618723750114441,0.36318159103393555","0.5314630270004272,0.905519425868988,0.15909093618392944","0.506933331489563,0.9075620174407959,0.26403552293777466"
-0.5,0.0,"0.5061353445053101,0.26640185713768005,-0.27330127358436584","0.509247362613678,0.24964509904384613,-0.26146620512008667","0.5122113227844238,0.24923072755336761,-0.26144856214523315","0.5156037211418152,0.24903637170791626,-0.261454701423645","0.5009297132492065,0.2512408494949341,-0.2557976245880127","0.49785715341567993,0.25140824913978577,-0.25581520795822144","0.49485868215560913,0.2514256238937378,-0.255831241607666","0.5240576863288879,0.2541626989841461,-0.16939562559127808","0.4940057396888733,0.25656917691230774,-0.1402020901441574","0.5127612352371216,0.28006550669670105,-0.2358325719833374","0.504253089427948,0.28255313634872437,-0.22797003388404846","0.5659675002098083,0.3323688209056854,-0.1049521416425705","0.48080891370773315,0.33268412947654724,-0.11926072835922241","0.5660381317138672,0.43296775221824646,-0.10388573259115219","0.5183819532394409,0.36619848012924194,-0.16486907005310059","0.5528131723403931,0.5435542464256287,-0.11580731719732285","0.5898677110671997,0.3301386535167694,-0.1957780122756958","0.5511341094970703,0.5802189111709595,-0.1312054693698883","0.610929012298584,0.3262757956981659,-0.2299613058567047","0.543541431427002,0.5743087530136108,-0.1481035053730011","0.6114135384559631,0.31460025906562805,-0.2237124890089035","0.5430433750152588,0.56328284740448,-0.12096564471721649","0.6055322885513306,0.3162933588027954,-0.19541804492473602","0.5414282083511353,0.5699161887168884,0.004330888856202364","0.4935562014579773,0.5699623823165894,-0.00451199384406209","0.5477811098098755,0.7298911809921265,0.030095111578702927","0.5095321536064148,0.7335440516471863,0.0888986885547638","0.5502859354019165,0.8498213887214661,0.26032155752182007","0.5263373255729675,0.85072261095047,0.3630046248435974","0.5512564182281494,0.8639885783195496,0.278864324092865","0.5324677228927612,0.8636279702186584,0.38661935925483704","0.5442372560501099,0.9056633710861206,0.1838797926902771","0.5154679417610168,0.9096916317939758,0.290025919675827"
-0.5,0.0,"0.5084884762763977,0.26820993423461914,-0.24665752053260803","0.5122010707855225,0.2515164613723755,-0.2360304892063141","0.5153833031654358,0.25118693709373474,-0.2360309660434723","0.5183213353157043,0.2512654960155487,-0.23604312539100647","0.5033031702041626,0.253200501203537,-0.22871556878089905","0.5002185702323914,0.2530989348888397,-0.2287290394306183","0.4977743625640869,0.2528625428676605,-0.2287345677614212","0.5262092351913452,0.25710007548332214,-0.14953607320785522","0.4963796138763428,0.2580057680606842,-0.1099562868475914","0.5152996778488159,0.28175288438796997,-0.21166613698005676","0.5059670209884644,0.28437843918800354,-0.20087452232837677","0.5645979046821594,0.3311825096607208,-0.0947909951210022","0.4844954013824463,0.3333148956298828,-0.09505894035100937","0.5662459135055542,0.43686643242836,-0.10303964465856552","0.5215628147125244,0.36837470531463623,-0.15405035018920898","0.5545788407325745,0.5446838140487671,-0.12226011604070663","0.5928340554237366,0.32926416397094727,-0.2147814780473709","0.552725613117218,0.5792772769927979,-0.1391456425189972","0.6136397123336792,0.3232293128967285,-0.2498033344745636","0.5454455614089966,0.5751688480377197,-0.15585865080356598","0.6125348806381226,0.31036821007728577,-0.24522319436073303","0.5448819994926453,0.5655406713485718,-0.1274494230747223","0.6062943339347839,0.3118537962436676,-0.21585842967033386","0.5402408242225647,0.5726557970046997,-0.0036439027171581984","0.49386557936668396,0.5722498893737793,0.0034928848035633564","0.5502313375473022,0.7299019694328308,0.0075977155938744545","0.5132855176925659,0.7337797284126282,0.06981076300144196","0.5521471500396729,0.8456762433052063,0.2841459810733795","0.5304616689682007,0.8496875166893005,0.34156668186187744","0.5538631677627563,0.8599428534507751,0.2983231246471405","0.5371279716491699,0.8631664514541626,0.3648409843444824","0.5458716154098511,0.9041457176208496,0.21136251091957092","0.519182026386261,0.9093965291976929,0.270755410194397"
-0.5,0.0,"0.5098841786384583,0.2695145010948181,-0.25938013195991516","0.5143510699272156,0.25391918420791626,-0.24886253476142883","0.5177437663078308,0.25392234325408936,-0.24884910881519318","0.5207840204238892,0.2542091906070709,-0.2488652765750885","0.5050233602523804,0.2542448043823242,-0.24216565489768982","0.5026384592056274,0.25418636202812195,-0.24217243492603302","0.4996723234653473,0.2541540265083313,-0.24217002093791962","0.5271196961402893,0.2597181499004364,-0.1607603132724762","0.49841246008872986,0.25920194387435913,-0.12642261385917664","0.5170019865036011,0.282894492149353,-0.22329863905906677","0.5072335004806519,0.2853919267654419,-0.21384766697883606","0.5661050081253052,0.33153992891311646,-0.10094946622848511","0.48531168699264526,0.32935968041419983,-0.10281211137771606","0.5658349394798279,0.4448162615299225,-0.10034044086933136","0.5266454219818115,0.3610113263130188,-0.15015484392642975","0.5537867546081543,0.548338770866394,-0.1222565621137619","0.5937731862068176,0.3205112814903259,-0.19627012312412262","0.5527381300926208,0.5839853286743164,-0.13886067271232605","0.6150858402252197,0.3117696940898895,-0.22949235141277313","0.5447714924812317,0.580543577671051,-0.15736280381679535","0.6137402057647705,0.30106109380722046,-0.22451229393482208","0.5437620878219604,0.5718563795089722,-0.12833420932292938","0.6071356534957886,0.30343419313430786,-0.1967887580394745","0.5449199080467224,0.5741432905197144,-0.002977237571030855","0.49830326437950134,0.5730458498001099,0.002829867647960782","0.5512548089027405,0.7287630438804626,0.004239750560373068","0.5130141973495483,0.7333040833473206,0.06190807744860649","0.5528753995895386,0.8464065790176392,0.29171261191368103","0.5305481553077698,0.8465839624404907,0.33159536123275757","0.5537895560264587,0.8612284064292908,0.30240437388420105","0.5365685224533081,0.8592153191566467,0.35608795285224915","0.5454541444778442,0.9040296673774719,0.20673644542694092","0.5207269191741943,0.9079497456550598,0.2649049162864685"
-0.5,0.0,"0.5114966034889221,0.27076175808906555,-0.24470767378807068","0.5161827802658081,0.25578150153160095,-0.23354120552539825","0.5199231505393982,0.2560853362083435,-0.23353593051433563","0.5231277346611023,0.2567778527736664,-0.2335493117570877","0.5062829852104187,0.25542953610420227,-0.22870667278766632","0.5037099123001099,0.2554117739200592,-0.22871950268745422","0.5004714727401733,0.25574934482574463,-0.2287243902683258","0.5287585258483887,0.2615076005458832,-0.14391067624092102","0.49922269582748413,0.26026931405067444,-0.11814073473215103","0.519302248954773,0.2846018671989441,-0.20784719288349152","0.508578360080719,0.2866436541080475,-0.20087237656116486","0.5652318596839905,0.3321371376514435,-0.08119186758995056","0.4848356246948242,0.32973846793174744,-0.09771884977817535","0.5655675530433655,0.4423809349536896,-0.08262371271848679","0.5251439809799194,0.366227388381958,-0.14406035840511322","0.5552403330802917,0.5501362681388855,-0.11114893108606339","0.5911743640899658,0.3205442428588867,-0.1885206699371338","0.5544686913490295,0.5847136378288269,-0.1283518671989441","0.6128263473510742,0.3096131980419159,-0.22246022522449493","0.5465367436408997,0.5817558169364929,-0.14831006526947021","0.6116288304328918,0.29767003655433655,-0.21815893054008484","0.5455170273780823,0.5725002884864807,-0.11819051206111908","0.6046658158302307,0.30032145977020264,-0.18920356035232544","0.5440206527709961,0.5741621851921082,-0.0014133928343653679","0.4983740448951721,0.572973370552063,0.0013085828395560384","0.5523104071617126,0.7293989658355713,0.006771736778318882","0.5151115655899048,0.733107328414917,0.053090281784534454","0.5537719130516052,0.8447510004043579,0.2716090679168701","0.532098650932312,0.8474856019020081,0.31818151473999023","0.5557759404182434,0.8592237830162048,0.294151246547699","0.5388859510421753,0.8595157861709595,0.3409798741340637","0.54611736536026,0.9036581516265869,0.1766546070575714","0.5210164785385132,0.9088494777679443,0.24262306094169617"
-0.5,0.0,"0.5116983652114868,0.2713548541069031,-0.23432663083076477","0.5163456797599792,0.2577265202999115,-0.22392308712005615","0.5201519727706909,0.25777995586395264,-0.22392375767230988","0.5234215259552002,0.2578490674495697,-0.22394779324531555","0.5064576864242554,0.2559086084365845,-0.2180728018283844","0.5037781596183777,0.2557697594165802,-0.21807989478111267","0.5006882548332214,0.25632786750793457,-0.21807873249053955","0.5289684534072876,0.26142531633377075,-0.1370823085308075","0.49965620040893555,0.2607986032962799,-0.10570522397756577","0.5197595357894897,0.28603121638298035,-0.19858869910240173","0.508903980255127,0.28706952929496765,-0.1897820085287094","0.5650876760482788,0.32989659905433655,-0.07310306280851364","0.4861748218536377,0.33198806643486023,-0.08232540637254715","0.5659109354019165,0.44398659467697144,-0.07875300943851471","0.5251823663711548,0.3651295602321625,-0.12300591170787811","0.5563517808914185,0.5532242059707642,-0.1026608794927597","0.5882865190505981,0.3154084086418152,-0.1605117917060852","0.5555238127708435,0.5878794193267822,-0.119640052318573","0.6085749864578247,0.30271875858306885,-0.19320574402809143","0.5476537942886353,0.5846389532089233,-0.13994862139225006","0.6077331304550171,0.29113084077835083,-0.18791761994361877","0.5467636585235596,0.5750660300254822,-0.10979042947292328","0.6013204455375671,0.29388219118118286,-0.16103854775428772","0.5444644689559937,0.5745911598205566,-0.005733049940317869","0.49880918860435486,0.5735026597976685,0.005644097924232483","0.5523804426193237,0.7307412028312683,-0.0001392484555253759","0.5161831378936768,0.733040452003479,0.05851244926452637","0.5558871030807495,0.8444555401802063,0.2650067210197449","0.5339419841766357,0.8481816649436951,0.31048521399497986","0.5577406883239746,0.8583891987800598,0.28744930028915405","0.5402802228927612,0.8603355288505554,0.33222052454948425","0.5479487180709839,0.9043051600456238,0.17578478157520294","0.5222758054733276,0.9092394709587097,0.2356530874967575"
-0.5,0.0,"0.5107619166374207,0.2711934447288513,-0.26342904567718506","0.5158640146255493,0.2570319175720215,-0.2530055642127991","0.5198769569396973,0.25674280524253845,-0.25297796726226807","0.5235418677330017,0.2565552592277527,-0.2529829144477844","0.506176233291626,0.25580981373786926,-0.24786171317100525","0.5032442808151245,0.2553536295890808,-0.24787363409996033","0.5006024837493896,0.25538143515586853,-0.24787509441375732","0.5294620990753174,0.260301798582077,-0.16517797112464905","0.5000730752944946,0.25972479581832886,-0.1382741630077362","0.5187782049179077,0.2859649360179901,-0.22716650366783142","0.5079262852668762,0.28668642044067383,-0.22005340456962585","0.5656052827835083,0.328556090593338,-0.10649622976779938","0.4845445156097412,0.3272174894809723,-0.11029062420129776","0.570304811000824,0.4416205883026123,-0.10108540952205658","0.5184569954872131,0.35630548000335693,-0.14859697222709656","0.557551920413971,0.5517049431800842,-0.11907389014959335","0.5870625376701355,0.3157210946083069,-0.17886574566364288","0.5566630959510803,0.5866952538490295,-0.1352386325597763","0.6079499125480652,0.3070499300956726,-0.2109493464231491","0.5483144521713257,0.5834827423095703,-0.15617705881595612","0.6090118885040283,0.294784814119339,-0.2056129276752472","0.5471481084823608,0.5733576416969299,-0.12597760558128357","0.6024901866912842,0.29672741889953613,-0.17902810871601105","0.5440505743026733,0.5734535455703735,-0.006184630561619997","0.49887996912002563,0.5728421807289124,0.0060753896832466125","0.553730309009552,0.7282983660697937,0.005806715227663517","0.515975832939148,0.7323477864265442,0.07791504263877869","0.5573423504829407,0.845355212688446,0.24064013361930847","0.5338469743728638,0.8476289510726929,0.31828659772872925","0.5596643686294556,0.8602098822593689,0.259270042181015","0.540669858455658,0.8605507016181946,0.33845311403274536","0.546745240688324,0.9032187461853027,0.14315637946128845","0.5228127837181091,0.9077760577201843,0.2405775785446167"
-0.5,0.0,"0.509179413318634,0.2709253430366516,-0.2544492781162262","0.5147351026535034,0.25568893551826477,-0.24465711414813995","0.5188363790512085,0.2552644610404968,-0.24463562667369843","0.5227775573730469,0.25507181882858276,-0.24464178085327148","0.5050078630447388,0.2555592358112335,-0.23677635192871094","0.5019312500953674,0.25471433997154236,-0.236781507730484","0.49977487325668335,0.25451943278312683,-0.23678843677043915","0.5291701555252075,0.2591066062450409,-0.15828844904899597","0.49923110008239746,0.25921431183815,-0.1190623864531517","0.5174291133880615,0.2855561077594757,-0.21864846348762512","0.5059109926223755,0.2863243818283081,-0.20797860622406006","0.5670096278190613,0.3291666805744171,-0.10747388750314713","0.4851462244987488,0.3273768424987793,-0.07862228155136108","0.5690883994102478,0.43960320949554443,-0.1088842898607254","0.5146529078483582,0.35054367780685425,-0.11740867048501968","0.556785523891449,0.5546057224273682,-0.11537861824035645","0.5849900841712952,0.3216920495033264,-0.16001684963703156","0.5560981035232544,0.5884917974472046,-0.1314956247806549","0.6059474349021912,0.31964775919914246,-0.19151240587234497","0.5471454858779907,0.5856032967567444,-0.15225990116596222","0.609957754611969,0.30818232893943787,-0.18532690405845642","0.5459959506988525,0.5762118101119995,-0.1218520849943161","0.6032510995864868,0.30933335423469543,-0.16024526953697205","0.5415025353431702,0.5735692977905273,-0.0165986567735672","0.4971519112586975,0.5725175738334656,0.016497835516929626","0.5509596467018127,0.7286590337753296,-0.004490128252655268","0.515485405921936,0.731337308883667,0.09492306411266327","0.5565104484558105,0.8442962765693665,0.22304832935333252","0.5333688855171204,0.847145676612854,0.3393363654613495","0.5594063997268677,0.8587644100189209,0.24046573042869568","0.5409396886825562,0.8613942265510559,0.36001643538475037","0.5466716885566711,0.9024561643600464,0.12398229539394379","0.5220903158187866,0.9076287150382996,0.268148809671402"
-0.5,0.0,"0.5114824175834656,0.26877647638320923,-0.25498226284980774","0.5166428685188293,0.25322338938713074,-0.24310648441314697","0.5206381678581238,0.25289386510849,-0.24308006465435028","0.5243255496025085,0.25266233086586,-0.2430834323167801","0.5066292881965637,0.25360503792762756,-0.23719370365142822","0.5034364461898804,0.25275224447250366,-0.23719826340675354","0.5010184049606323,0.25180697441101074,-0.2371971607208252","0.5300732254981995,0.25724348425865173,-0.15202046930789948","0.49990302324295044,0.2568425238132477,-0.12233521789312363","0.5196360349655151,0.283601850271225,-0.21803538501262665","0.5075699090957642,0.28440940380096436,-0.21002385020256042","0.5674263834953308,0.3322693705558777,-0.09666366875171661","0.484879732131958,0.3303752541542053,-0.09251087158918381","0.568135142326355,0.44471240043640137,-0.08954698592424393","0.5153868198394775,0.3451269567012787,-0.14945533871650696","0.5564382076263428,0.5543380975723267,-0.10031728446483612","0.5863786339759827,0.3226185739040375,-0.20821447670459747","0.5553911924362183,0.5891024470329285,-0.11639227718114853","0.6070674657821655,0.3218461573123932,-0.24186964333057404","0.5459064245223999,0.5860126614570618,-0.1353553831577301","0.6121934652328491,0.31404441595077515,-0.23606184124946594","0.5447311401367188,0.5764436721801758,-0.10649462044239044","0.6050647497177124,0.31481051445007324,-0.20855168998241425","0.542940616607666,0.5733202695846558,-0.008943451568484306","0.4976269602775574,0.5727924108505249,0.00882040336728096","0.5528179407119751,0.7284092307090759,-0.0017300115432590246","0.5161559581756592,0.7304072976112366,0.07706362009048462","0.5572484731674194,0.8437849283218384,0.24983790516853333","0.5342700481414795,0.847167432308197,0.3255995512008667","0.5598856806755066,0.8576145768165588,0.2699435353279114","0.5414581298828125,0.8612250685691833,0.34677383303642273","0.5490206480026245,0.9027922749519348,0.1563740074634552","0.5240774154663086,0.9080432653427124,0.25176042318344116"
