gesture,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20]
0.0,"0.43155637383461,0.6739411354064941,-1.5189792179626238e-07","0.4425234794616699,0.6431601643562317,-0.0005882933037355542","0.446970671415329,0.6111947298049927,-0.0003604281519073993","0.4424521327018738,0.5856940746307373,-0.0011791581055149436","0.43319156765937805,0.5818212628364563,-0.0012155936565250158","0.4316703975200653,0.6014385223388672,0.0035074250772595406","0.4250410199165344,0.586316704750061,-0.002453592838719487","0.43176859617233276,0.6030398607254028,-0.005800140090286732","0.43452659249305725,0.6105412840843201,-0.007359759882092476","0.4224427044391632,0.6118597388267517,0.0014464426785707474","0.4168612062931061,0.5970533490180969,-0.005469461902976036","0.4265446066856384,0.6168224215507507,-0.007376093417406082","0.4285767376422882,0.6238456964492798,-0.007448766380548477","0.4145828187465668,0.6236870884895325,-0.0013948485720902681","0.40927374362945557,0.6097448468208313,-0.008608182892203331","0.4201388359069824,0.6287925243377686,-0.005564185790717602","0.4228353500366211,0.6360527276992798,-0.002007192699238658","0.40710678696632385,0.638020932674408,-0.004274476319551468","0.40405434370040894,0.6250137686729431,-0.007673266343772411","0.41291019320487976,0.638542115688324,-0.003749151946976781","0.41573795676231384,0.6457955241203308,-0.00012448897177819163"
0.0,"0.4305640161037445,0.6693112850189209,-1.0569295483264796e-07","0.44257521629333496,0.6483128070831299,-0.0028414824046194553","0.44652292132377625,0.6133139729499817,-0.003028075909242034","0.44191470742225647,0.5845845341682434,-0.0028569684363901615","0.4325309693813324,0.5777616500854492,-0.0015407600440084934","0.4320828914642334,0.6013777852058411,-0.002594585996121168","0.42444315552711487,0.5847162008285522,-0.00859099067747593","0.4317346513271332,0.6034647226333618,-0.01108750980347395","0.4352961778640747,0.6105809807777405,-0.01199647132307291","0.42275238037109375,0.6114202737808228,-0.0030137491412460804","0.41596516966819763,0.5951179265975952,-0.008571488782763481","0.42614850401878357,0.6162055134773254,-0.008465602993965149","0.4278947114944458,0.6209467053413391,-0.007518582511693239","0.4148779809474945,0.622962236404419,-0.004114053212106228","0.40925922989845276,0.6077794432640076,-0.010710932314395905","0.41988062858581543,0.6274648308753967,-0.006855373736470938","0.42215853929519653,0.6338959336280823,-0.0030056675896048546","0.40677541494369507,0.6356260180473328,-0.005296051036566496","0.4037727415561676,0.6235926151275635,-0.009645159356296062","0.4122772514820099,0.6368317604064941,-0.006509846542030573","0.414723664522171,0.6431806087493896,-0.0032275626435875893"
0.0,"0.43078508973121643,0.6666577458381653,-9.887163088251327e-08","0.44238731265068054,0.6451356410980225,-0.0025229318998754025","0.4459497332572937,0.611171305179596,-0.0026154096703976393","0.44159069657325745,0.5839729905128479,-0.002497261855751276","0.43251150846481323,0.5770225524902344,-0.0014571996871381998","0.4316302537918091,0.6002737283706665,-0.0027630955446511507","0.4236777722835541,0.583450436592102,-0.00864529050886631","0.4307056665420532,0.6014363765716553,-0.010743249207735062","0.43489623069763184,0.6095600724220276,-0.011222021654248238","0.42239874601364136,0.6102809906005859,-0.003403241280466318","0.4155346751213074,0.594204306602478,-0.008758542127907276","0.42518606781959534,0.6146367788314819,-0.008237232454121113","0.42773211002349854,0.620677649974823,-0.0069542331621050835","0.41451868414878845,0.6224297285079956,-0.004737893119454384","0.40896254777908325,0.6071393489837646,-0.011430731974542141","0.4192203879356384,0.6264894008636475,-0.007697269320487976","0.42205581068992615,0.633610725402832,-0.0038525720592588186","0.406607449054718,0.6362205743789673,-0.006111414637416601","0.4034041166305542,0.623830258846283,-0.010765132494270802","0.4118635356426239,0.6365018486976624,-0.007864146493375301","0.41481372714042664,0.643293559551239,-0.0046975258737802505"
0.0,"0.4303482472896576,0.665856659412384,-9.485907526141091e-08","0.4420040249824524,0.645304799079895,-0.00349428947083652","0.4456526041030884,0.6115129590034485,-0.004034774377942085","0.441232293844223,0.5837612152099609,-0.004329099785536528","0.43153679370880127,0.5764163732528687,-0.0038038117345422506","0.4309747815132141,0.5999972820281982,-0.0028061422053724527","0.42265623807907104,0.582918107509613,-0.00915532000362873","0.4294443726539612,0.5996277928352356,-0.011490912176668644","0.43393397331237793,0.6084343194961548,-0.01192235667258501","0.4220983386039734,0.6096580028533936,-0.003188755363225937","0.41474196314811707,0.5929211974143982,-0.009543531574308872","0.42441031336784363,0.613287627696991,-0.009545965120196342","0.4276929497718811,0.6211535334587097,-0.008127114735543728","0.4144499599933624,0.6215546131134033,-0.004406227730214596","0.40828683972358704,0.6066807508468628,-0.012196086347103119","0.4187438488006592,0.626218318939209,-0.008853480219841003","0.42224931716918945,0.6344941854476929,-0.0047386507503688335","0.40672534704208374,0.6352884769439697,-0.005717883817851543","0.4029812216758728,0.6228392124176025,-0.011190125718712807","0.41140928864479065,0.6360312700271606,-0.008532261475920677","0.41470468044281006,0.6436366438865662,-0.005204886198043823"
0.0,"0.43040570616722107,0.6644123792648315,-9.556609370520164e-08","0.4418727159500122,0.6443997621536255,-0.0036555936094373465","0.44585201144218445,0.6104278564453125,-0.00433078408241272","0.44079113006591797,0.5831371545791626,-0.0045193834230303764","0.4315841495990753,0.5759709477424622,-0.003583308542147279","0.4307163953781128,0.5987696647644043,-0.0033456408418715","0.42326879501342773,0.5820579528808594,-0.009458278305828571","0.4302876889705658,0.6004747152328491,-0.011596988886594772","0.4335212707519531,0.6076372265815735,-0.012149028480052948","0.421534925699234,0.608642041683197,-0.003605953650549054","0.4147906005382538,0.5919999480247498,-0.009296298958361149","0.4247453808784485,0.6130072474479675,-0.008881923742592335","0.42650100588798523,0.61782306432724,-0.007545875385403633","0.4137604832649231,0.6204981803894043,-0.004653420764952898","0.4080218970775604,0.6054115891456604,-0.01166236586868763","0.41861656308174133,0.6247097253799438,-0.007785393390804529","0.4209105372428894,0.6305148005485535,-0.003755139885470271","0.4058007001876831,0.6338927745819092,-0.005818509496748447","0.4025547206401825,0.6223994493484497,-0.010526826605200768","0.41136059165000916,0.6350587606430054,-0.007430611178278923","0.4139920175075531,0.6407427787780762,-0.00409136526286602"
0.0,"0.42941105365753174,0.6613647937774658,-9.701568615128053e-08","0.4415252208709717,0.6422234773635864,-0.0037503193598240614","0.4454307556152344,0.6082168221473694,-0.00444293487817049","0.4405098855495453,0.5803512334823608,-0.00457181129604578","0.43096092343330383,0.5739912390708923,-0.0035576610825955868","0.42991459369659424,0.596345067024231,-0.0037132364232093096","0.42264431715011597,0.5817131996154785,-0.009563150815665722","0.4301830232143402,0.5999107956886292,-0.011772858910262585","0.4333285391330719,0.6061833500862122,-0.01259645540267229","0.4208467900753021,0.606546938419342,-0.00382577208802104","0.4143049418926239,0.5919668674468994,-0.008660894818603992","0.4245765507221222,0.6126015782356262,-0.007837705314159393","0.4259375035762787,0.615720272064209,-0.006602786015719175","0.41319525241851807,0.6185244917869568,-0.004742519464343786","0.4078202545642853,0.6050043106079102,-0.010832243598997593","0.418319970369339,0.623502254486084,-0.006642461754381657","0.42025089263916016,0.6283808946609497,-0.002865670481696725","0.4053186774253845,0.6316680908203125,-0.005850791931152344","0.40260037779808044,0.621730387210846,-0.010038475506007671","0.41098371148109436,0.6342825889587402,-0.006885181646794081","0.4131430983543396,0.6394771933555603,-0.0037707665469497442"
0.0,"0.42958545684814453,0.6598274111747742,-9.609788520492657e-08","0.44177451729774475,0.6420139670372009,-0.003964184317737818","0.4452003836631775,0.6066375970840454,-0.004292105324566364","0.4399447739124298,0.5792422294616699,-0.003944185096770525","0.4303426742553711,0.5740626454353333,-0.0024580436293035746","0.42953625321388245,0.5955832004547119,-0.0038545187562704086","0.4225027859210968,0.5806759595870972,-0.009755207225680351","0.43005093932151794,0.5987556576728821,-0.011844608932733536","0.43334171175956726,0.6053351759910583,-0.012490724213421345","0.42054107785224915,0.605789303779602,-0.0038539539091289043","0.4141952693462372,0.5905336141586304,-0.009438878856599331","0.4247441589832306,0.6112349033355713,-0.008961116895079613","0.42657235264778137,0.6160844564437866,-0.007611829787492752","0.4129570722579956,0.6177756190299988,-0.004646423738449812","0.4078425467014313,0.6046053767204285,-0.011521999724209309","0.41868478059768677,0.6233358979225159,-0.007747488096356392","0.4208742082118988,0.6292107105255127,-0.0038707207422703505","0.4050920903682709,0.63080233335495,-0.005595653783529997","0.40266352891921997,0.620900571346283,-0.010331852361559868","0.41132181882858276,0.6334261298179626,-0.007464671041816473","0.41355326771736145,0.6387799978256226,-0.004356259945780039"
0.0,"0.42934784293174744,0.6592683792114258,-9.851415683215237e-08","0.4418436586856842,0.641873300075531,-0.00412395317107439","0.44496995210647583,0.6061777472496033,-0.0044590625911951065","0.43917691707611084,0.5783116817474365,-0.00410038186237216","0.4296899437904358,0.5722433924674988,-0.0025478708557784557","0.42919689416885376,0.5952771902084351,-0.003964755684137344","0.4218917787075043,0.5799708366394043,-0.009868906810879707","0.42964327335357666,0.598069429397583,-0.011795873753726482","0.43286409974098206,0.6038253307342529,-0.012361366301774979","0.420282781124115,0.6055790185928345,-0.003876191796734929","0.4139759838581085,0.590162992477417,-0.009149817749857903","0.4245637059211731,0.6111534237861633,-0.008279608562588692","0.42587727308273315,0.6148309111595154,-0.006744681391865015","0.41273507475852966,0.6174795031547546,-0.0046479180455207825","0.40741339325904846,0.6037507653236389,-0.01131955161690712","0.41830384731292725,0.622794508934021,-0.007094086147844791","0.4202946126461029,0.6283937692642212,-0.0030184737406671047","0.4047243297100067,0.6302918195724487,-0.005616348702460527","0.4021853804588318,0.6203652620315552,-0.010295364074409008","0.4108888804912567,0.6331478357315063,-0.007230373565107584","0.4130746126174927,0.6384477615356445,-0.00399357033893466"
0.0,"0.4295780658721924,0.6593390703201294,-1.003968819190959e-07","0.4418797492980957,0.6415144801139832,-0.0037213582545518875","0.44461584091186523,0.6055873036384583,-0.003848987864330411","0.4388713538646698,0.5777732729911804,-0.0033689942210912704","0.4296162724494934,0.5715277194976807,-0.0017973483772948384","0.4286656379699707,0.5950452089309692,-0.00377848488278687","0.42136913537979126,0.5790579915046692,-0.009453697130084038","0.42931246757507324,0.5967836380004883,-0.011158078908920288","0.43256184458732605,0.6029773354530334,-0.011561143212020397","0.4199787676334381,0.6055043339729309,-0.003840835765004158","0.41342243552207947,0.5893446803092957,-0.009066332131624222","0.4242241382598877,0.6100034713745117,-0.008282225579023361","0.42565256357192993,0.614352285861969,-0.006788212340325117","0.4125484824180603,0.6176031231880188,-0.004679220262914896","0.4070061445236206,0.6032353043556213,-0.011522146873176098","0.4181438088417053,0.6223344206809998,-0.007533526513725519","0.4202198088169098,0.6285868883132935,-0.0035253025125712156","0.40454167127609253,0.6308832168579102,-0.005627735052257776","0.40151652693748474,0.6196609139442444,-0.010638339444994926","0.41055533289909363,0.6323350667953491,-0.00774751789867878","0.4130573570728302,0.6383557915687561,-0.00455181859433651"
0.0,"0.4293502867221832,0.6595112085342407,-9.702709746761684e-08","0.4415355324745178,0.6401510834693909,-0.0038384064100682735","0.44438257813453674,0.6049572825431824,-0.004199516493827105","0.4387979209423065,0.5774329304695129,-0.003986516036093235","0.42971208691596985,0.5704362988471985,-0.0026944975834339857","0.42823880910873413,0.5949581861495972,-0.003988474141806364","0.42120620608329773,0.5783818960189819,-0.009751017205417156","0.4290929436683655,0.5962131023406982,-0.011451847851276398","0.43203261494636536,0.6025025248527527,-0.011853785254061222","0.41949349641799927,0.6055774688720703,-0.0041625844314694405","0.41326233744621277,0.5890067219734192,-0.009618173353374004","0.4239997863769531,0.6091295480728149,-0.009086521342396736","0.42521023750305176,0.6135775446891785,-0.007790567819029093","0.4120822250843048,0.6181946992874146,-0.005098963622003794","0.40686535835266113,0.6031189560890198,-0.012177077122032642","0.41810327768325806,0.621620237827301,-0.008456678129732609","0.4198935627937317,0.6274645328521729,-0.004599911160767078","0.4043385684490204,0.6322407722473145,-0.006129229906946421","0.4014991819858551,0.6205034852027893,-0.011219765059649944","0.4106522500514984,0.6322712898254395,-0.0084083816036582","0.41294658184051514,0.6381051540374756,-0.005289464723318815"
