gesture,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0.0,"0.8954012989997864,0.6229175329208374,-1.1981985608144896e-06","0.7516047954559326,0.4781782925128937,-0.050595611333847046","0.6720703840255737,0.3345695436000824,-0.09521683305501938","0.6367018222808838,0.21961109340190887,-0.1366737186908722","0.677476704120636,0.2146422117948532,-0.16695335507392883","0.8249131441116333,-0.0024807266891002655,-0.05261576175689697","0.6945571899414062,0.06271059811115265,-0.10870645195245743","0.6956526041030884,0.21369536221027374,-0.13786213099956512","0.7302879691123962,0.23380044102668762,-0.15672335028648376","0.8876487612724304,0.03561786934733391,-0.06051662191748619","0.7280638217926025,0.14838194847106934,-0.11816520988941193","0.7344648838043213,0.2826521396636963,-0.1249682605266571","0.7749514579772949,0.2887411117553711,-0.12459586560726166","0.9288598895072937,0.1290280520915985,-0.07730306684970856","0.7698612213134766,0.24028126895427704,-0.13046060502529144","0.7709620594978333,0.35632163286209106,-0.11397112160921097","0.8099784255027771,0.35584914684295654,-0.0963602140545845","0.9489349722862244,0.24659353494644165,-0.10111573338508606","0.8188232183456421,0.33191192150115967,-0.13361917436122894","0.8072347044944763,0.402380108833313,-0.12736128270626068","0.8325491547584534,0.4076864421367645,-0.11660753190517426"
0.0,"0.8896458148956299,0.6322460770606995,-7.733705160717363e-07","0.7530447840690613,0.5064545273780823,-0.04396248236298561","0.6719227433204651,0.3761100769042969,-0.08257871121168137","0.6255529522895813,0.2709706127643585,-0.11791260540485382","0.6616172790527344,0.26027601957321167,-0.14202331006526947","0.8135229349136353,0.026100918650627136,-0.03968605026602745","0.6731720566749573,0.08951230347156525,-0.08965565264225006","0.6848666667938232,0.2246319204568863,-0.11760388314723969","0.7257500886917114,0.23346595466136932,-0.13535739481449127","0.8707676529884338,0.05831529200077057,-0.04585052654147148","0.7082180976867676,0.1688603013753891,-0.09346882998943329","0.7215713858604431,0.29114964604377747,-0.09827590733766556","0.7641940712928772,0.286443829536438,-0.0965338945388794","0.9076897501945496,0.1471983790397644,-0.06037042662501335","0.751288652420044,0.24608176946640015,-0.10206619650125504","0.7567559480667114,0.3543735146522522,-0.08562517166137695","0.7962973117828369,0.35412102937698364,-0.06921789050102234","0.9261627197265625,0.2639399766921997,-0.08166491240262985","0.8022304773330688,0.3533667325973511,-0.10983076691627502","0.7935321927070618,0.42430347204208374,-0.10572519153356552","0.8192126750946045,0.4320101737976074,-0.0958523154258728"
0.0,"0.8785645961761475,0.633853554725647,-7.013069307504338e-07","0.741344153881073,0.5168811082839966,-0.039560187608003616","0.6565966010093689,0.3759942054748535,-0.07498418539762497","0.6088123321533203,0.2599358558654785,-0.10807974636554718","0.6446528434753418,0.26021164655685425,-0.12973083555698395","0.8016278147697449,0.038993626832962036,-0.03356063365936279","0.6601333618164062,0.09874969720840454,-0.08234567940235138","0.6796976327896118,0.22472020983695984,-0.10846000909805298","0.7210919260978699,0.23078304529190063,-0.12524016201496124","0.8591495156288147,0.06716881692409515,-0.0411812849342823","0.6941699981689453,0.17936477065086365,-0.088239885866642","0.7146835923194885,0.2900441586971283,-0.0923306792974472","0.756971538066864,0.2807409167289734,-0.09027425199747086","0.8938121795654297,0.15310582518577576,-0.057257868349552155","0.7359207272529602,0.25615641474723816,-0.09743664413690567","0.7479779720306396,0.35819315910339355,-0.08023904263973236","0.7871279716491699,0.35348743200302124,-0.06362565606832504","0.9100697040557861,0.26689285039901733,-0.07991711795330048","0.7827010750770569,0.37119579315185547,-0.10778746753931046","0.7790757417678833,0.4428905248641968,-0.10589741170406342","0.8033097982406616,0.4479372501373291,-0.09818266332149506"
0.0,"0.8653395175933838,0.6392741203308105,-7.324160833377391e-07","0.732265830039978,0.5239582657814026,-0.036669693887233734","0.6525955200195312,0.3928002119064331,-0.07004687935113907","0.6066827774047852,0.2905031740665436,-0.1007147878408432","0.626278281211853,0.24702192842960358,-0.11975450813770294","0.787571907043457,0.0519631952047348,-0.03458031266927719","0.6465983986854553,0.12579484283924103,-0.08331221342086792","0.6671757102012634,0.24338042736053467,-0.10833079367876053","0.7066050171852112,0.2495547980070114,-0.12392998486757278","0.8386708498001099,0.08194217085838318,-0.043834712356328964","0.6715903878211975,0.20182040333747864,-0.0915265753865242","0.6969356536865234,0.30966103076934814,-0.09739750623703003","0.7383170127868652,0.2985022962093353,-0.09670679271221161","0.8687965273857117,0.16780775785446167,-0.06086607649922371","0.7095152735710144,0.2854147255420685,-0.10275877267122269","0.7282302975654602,0.38654625415802,-0.08754286915063858","0.765308141708374,0.37339192628860474,-0.07265710085630417","0.8815647959709167,0.28286948800086975,-0.08371268957853317","0.7554126381874084,0.4030369520187378,-0.11372601985931396","0.759523868560791,0.46937882900238037,-0.11287400871515274","0.7854530811309814,0.4566340446472168,-0.10594769567251205"
0.0,"0.8550684452056885,0.659703254699707,-9.047265621120459e-07","0.7186214923858643,0.5425050854682922,-0.033866263926029205","0.6391071081161499,0.4037587642669678,-0.06369597464799881","0.5966517329216003,0.2934999465942383,-0.09086814522743225","0.6029837727546692,0.21984505653381348,-0.10777793824672699","0.7676150798797607,0.07809247076511383,-0.035410843789577484","0.6240344643592834,0.15430055558681488,-0.08289612084627151","0.6154766082763672,0.2705518901348114,-0.10686147958040237","0.6383101344108582,0.3098936080932617,-0.12020055204629898","0.8133345246315002,0.1103709489107132,-0.043847452849149704","0.6424447298049927,0.24646301567554474,-0.09033101052045822","0.6564611196517944,0.3530532717704773,-0.09700130671262741","0.6938781142234802,0.3619937300682068,-0.09753437340259552","0.8409340977668762,0.19807294011116028,-0.059244152158498764","0.6780330538749695,0.33989354968070984,-0.10289027541875839","0.6952964067459106,0.43053191900253296,-0.09042192995548248","0.7320006489753723,0.42498669028282166,-0.07715914398431778","0.8511568903923035,0.315509170293808,-0.0793166533112526","0.7208961248397827,0.43218541145324707,-0.11205604672431946","0.7235189080238342,0.4999978840351105,-0.11019178479909897","0.7468936443328857,0.49986112117767334,-0.10177349299192429"
0.0,"0.8287227153778076,0.6779249906539917,-7.145051199586305e-07","0.6933243274688721,0.5587825179100037,-0.028165757656097412","0.6144794821739197,0.4295194745063782,-0.060984984040260315","0.5631569027900696,0.3412982225418091,-0.09292671084403992","0.5590819716453552,0.3130601644515991,-0.11663825809955597","0.7323040962219238,0.0967644602060318,-0.03919720649719238","0.5786274671554565,0.19113902747631073,-0.08269555121660233","0.5622549653053284,0.2985306978225708,-0.10399477928876877","0.5775518417358398,0.32972413301467896,-0.11729353666305542","0.7708216309547424,0.14364491403102875,-0.05302918329834938","0.5974276661872864,0.2881309390068054,-0.09682990610599518","0.618111789226532,0.38341382145881653,-0.10145476460456848","0.6564487218856812,0.3777560293674469,-0.10206795483827591","0.79454106092453,0.2397363930940628,-0.0721607431769371","0.6304405331611633,0.3947223722934723,-0.1091856062412262","0.6560669541358948,0.47863614559173584,-0.09362997114658356","0.6953285336494446,0.46116065979003906,-0.0811246931552887","0.8033395409584045,0.3664819002151489,-0.09598731994628906","0.6744447350502014,0.4851449429988861,-0.12258489429950714","0.6859699487686157,0.5450946688652039,-0.11656583100557327","0.7150905132293701,0.5315920114517212,-0.10744805634021759"
0.0,"0.8018763065338135,0.705956220626831,-6.822025397923426e-07","0.6581625938415527,0.5944450497627258,-0.024489037692546844","0.578100323677063,0.4639451205730438,-0.05512310191988945","0.5257792472839355,0.37643498182296753,-0.08620760589838028","0.5223366022109985,0.3432885408401489,-0.10891855508089066","0.6895090937614441,0.13295471668243408,-0.026367174461483955","0.5366489887237549,0.23406226933002472,-0.07638920098543167","0.5522858500480652,0.3428153693675995,-0.10360060632228851","0.5954839587211609,0.345406711101532,-0.11841952055692673","0.7250867486000061,0.18089354038238525,-0.04063478484749794","0.5536767244338989,0.3275761604309082,-0.08649691194295883","0.5797076225280762,0.42039814591407776,-0.09176981449127197","0.6226354837417603,0.4001578092575073,-0.09060653299093246","0.7459816932678223,0.2759079933166504,-0.06143568828701973","0.5836400985717773,0.42291614413261414,-0.10287249088287354","0.6105859875679016,0.5065983533859253,-0.08994565159082413","0.6524267792701721,0.4836854040622711,-0.07595029473304749","0.75447016954422,0.39858636260032654,-0.08643409609794617","0.6276222467422485,0.5200849771499634,-0.11307717114686966","0.6422432661056519,0.5805249214172363,-0.10767605900764465","0.6752080321311951,0.5665320158004761,-0.0974074974656105"
0.0,"0.7725714445114136,0.7355401515960693,-7.86202804192726e-07","0.6310226917266846,0.6329710483551025,-0.018750309944152832","0.5530644059181213,0.5003423094749451,-0.0420922115445137","0.49788954854011536,0.41237959265708923,-0.06629128009080887","0.4695025682449341,0.37428662180900574,-0.08316633105278015","0.6460937261581421,0.17970724403858185,-0.024538610130548477","0.4901773929595947,0.2792944610118866,-0.06527414172887802","0.4885544180870056,0.39070001244544983,-0.0853813886642456","0.5197486877441406,0.4145492911338806,-0.09612810611724854","0.6794095635414124,0.22470353543758392,-0.03825967386364937","0.5126636028289795,0.3790731132030487,-0.07813697308301926","0.53779536485672,0.46600547432899475,-0.08172319829463959","0.5789867639541626,0.4489503800868988,-0.08113091439008713","0.6998980045318604,0.31502631306648254,-0.05690402165055275","0.543248176574707,0.4765856862068176,-0.0926467627286911","0.573495626449585,0.5520783066749573,-0.0810198113322258","0.6137648820877075,0.5260703563690186,-0.07016896456480026","0.7087487578392029,0.43438437581062317,-0.07900239527225494","0.5871655941009521,0.5625361800193787,-0.10397585481405258","0.6035059094429016,0.6201422214508057,-0.09998951852321625","0.6342287063598633,0.6035690903663635,-0.09198103100061417"
0.0,"0.7313552498817444,0.7673040628433228,-8.032570235627645e-07","0.6175739765167236,0.6568011045455933,-0.012249776162207127","0.5526593923568726,0.5104675889015198,-0.0351007916033268","0.5025577545166016,0.41047194600105286,-0.057893797755241394","0.4553125500679016,0.35987627506256104,-0.07567516714334488","0.6138814091682434,0.21510568261146545,-0.03340759873390198","0.45540735125541687,0.32282984256744385,-0.06858047097921371","0.4418865144252777,0.41665884852409363,-0.08504103124141693","0.4579594135284424,0.42791634798049927,-0.09507881104946136","0.6383455395698547,0.2660789489746094,-0.04927387088537216","0.46554452180862427,0.42653053998947144,-0.08353447169065475","0.489837110042572,0.5140764713287354,-0.08595214784145355","0.5268171429634094,0.5041570663452148,-0.0871005430817604","0.6521556377410889,0.3582475781440735,-0.0674210861325264","0.49587973952293396,0.5287890434265137,-0.0950075164437294","0.5306369066238403,0.6030362844467163,-0.08359811455011368","0.5687272548675537,0.5761625170707703,-0.07733547687530518","0.6582889556884766,0.4753212034702301,-0.08814090490341187","0.5433001518249512,0.6173267364501953,-0.11137518286705017","0.5681626796722412,0.6717111468315125,-0.10965811461210251","0.6005598902702332,0.6487212181091309,-0.10560307651758194"
0.0,"0.7021322250366211,0.8033435940742493,-8.186972877410881e-07","0.6092950105667114,0.6720084547996521,-0.006128702778369188","0.5368513464927673,0.5152868032455444,-0.028100673109292984","0.46929022669792175,0.4118235409259796,-0.0498027540743351","0.4089360237121582,0.3737587034702301,-0.06848189979791641","0.5495484471321106,0.28523439168930054,-0.05085970461368561","0.36558616161346436,0.4079294204711914,-0.08706855773925781","0.37177735567092896,0.5229448080062866,-0.09753861278295517","0.4135797321796417,0.5368074774742126,-0.10177648812532425","0.5715361833572388,0.33388134837150574,-0.06692469120025635","0.38147324323654175,0.5149236917495728,-0.09551245719194412","0.4045775830745697,0.6134804487228394,-0.0887649729847908","0.442009299993515,0.6163396239280701,-0.08631055802106857","0.5818867683410645,0.42922264337539673,-0.08348342031240463","0.4152379333972931,0.6099829077720642,-0.10439237952232361","0.4488963484764099,0.693218469619751,-0.08682918548583984","0.4889788329601288,0.6834434866905212,-0.07965508848428726","0.5868787169456482,0.5490928888320923,-0.10159985721111298","0.4688323140144348,0.7030414938926697,-0.1206861361861229","0.4949100613594055,0.7608336210250854,-0.11663748323917389","0.5292176604270935,0.7499004602432251,-0.1126113310456276"
