gesture,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0.0,"0.4413304626941681,0.3660357892513275,-6.130323271236193e-08","0.4575914442539215,0.35657450556755066,-0.0008086057496257126","0.4668594002723694,0.3441976308822632,-0.0014328970573842525","0.47057512402534485,0.3320122957229614,-0.003090182552114129","0.4666220247745514,0.32409751415252686,-0.00436887564137578","0.4606606364250183,0.32856321334838867,0.0026618889532983303","0.46589627861976624,0.31807780265808105,-0.002230544574558735","0.4645107686519623,0.32820239663124084,-0.006202074699103832","0.4617176353931427,0.33575737476348877,-0.008082639425992966","0.45331162214279175,0.3275899887084961,0.0009711075108498335","0.45820197463035583,0.3191942572593689,-0.0035094209015369415","0.45695069432258606,0.3302532732486725,-0.0057443296536803246","0.4542059600353241,0.3373267948627472,-0.006493361201137304","0.44623202085494995,0.3274588882923126,-0.0015217541949823499","0.451579749584198,0.32148924469947815,-0.005228172056376934","0.45083707571029663,0.3311029374599457,-0.004418608266860247","0.448418527841568,0.3371407687664032,-0.0030186427757143974","0.4391945004463196,0.32836848497390747,-0.004323498345911503","0.44456884264945984,0.3240438401699066,-0.005603478290140629","0.44489777088165283,0.3311772048473358,-0.003636538051068783","0.44323062896728516,0.3359512388706207,-0.0017636057455092669"
0.0,"0.4461517035961151,0.36432814598083496,-5.596290719722674e-08","0.4596811830997467,0.3564925193786621,-0.002061814535409212","0.46940135955810547,0.34432700276374817,-0.0034268908202648163","0.47180914878845215,0.3308369517326355,-0.005344093777239323","0.46629709005355835,0.3225739300251007,-0.006440160796046257","0.46427902579307556,0.3285701870918274,0.0006394251831807196","0.47023525834083557,0.3186766505241394,-0.004622488282620907","0.46821796894073486,0.3310202956199646,-0.007676695939153433","0.4656254053115845,0.3357102870941162,-0.009146712720394135","0.45746657252311707,0.3270404040813446,-0.0007459893822669983","0.4631982147693634,0.32010361552238464,-0.005567630287259817","0.46126821637153625,0.33332306146621704,-0.006815835367888212","0.4588101804256439,0.33533036708831787,-0.006871270015835762","0.4502638578414917,0.32704439759254456,-0.002943266648799181","0.45657920837402344,0.32216665148735046,-0.007708215620368719","0.45543044805526733,0.334377259016037,-0.005814269185066223","0.4528787136077881,0.3366263806819916,-0.0036404526326805353","0.4425662159919739,0.3281765580177307,-0.0053934864699840546","0.4495337903499603,0.3255186676979065,-0.0076370639726519585","0.44947853684425354,0.33455780148506165,-0.00506957434117794","0.44710785150527954,0.33727532625198364,-0.0026241380255669355"
0.0,"0.4511721730232239,0.36428359150886536,-5.196540797669513e-08","0.464325875043869,0.35703206062316895,-0.0019654734060168266","0.4737193286418915,0.344977468252182,-0.003183259628713131","0.4761664569377899,0.3333994150161743,-0.004933164920657873","0.47102200984954834,0.32689082622528076,-0.005860856268554926","0.46726682782173157,0.3272392749786377,0.000671292538754642","0.47369250655174255,0.3192911148071289,-0.004173236433416605","0.4722806513309479,0.3317495882511139,-0.007033768109977245","0.46975409984588623,0.3356136381626129,-0.008501227013766766","0.46052321791648865,0.3263680040836334,-0.0007221028208732605","0.4672064185142517,0.3215600848197937,-0.004988047294318676","0.4657162129878998,0.33446070551872253,-0.006025837734341621","0.46286675333976746,0.33571210503578186,-0.006169775500893593","0.4534721374511719,0.3270350396633148,-0.0029229235369712114","0.46056872606277466,0.3240729570388794,-0.00714692659676075","0.459812730550766,0.3356034457683563,-0.005386419594287872","0.45687124133110046,0.3369200825691223,-0.00357253709807992","0.44623008370399475,0.3288213610649109,-0.0054017044603824615","0.4537443220615387,0.32740727066993713,-0.007417202927172184","0.4537022113800049,0.3361457288265228,-0.005005470011383295","0.4507216215133667,0.33821192383766174,-0.002827118383720517"
0.0,"0.4540017247200012,0.36557936668395996,-5.364189448187062e-08","0.4664701819419861,0.3584827482700348,-0.002223447198048234","0.476620078086853,0.34719085693359375,-0.0035346201620996","0.4799271523952484,0.3355773389339447,-0.005327331367880106","0.47502753138542175,0.32984545826911926,-0.006318914704024792","0.4714997112751007,0.3293137550354004,0.0011635003611445427","0.4785916209220886,0.32264432311058044,-0.0035807620733976364","0.4779200851917267,0.33462607860565186,-0.006508984602987766","0.47571632266044617,0.33830568194389343,-0.008083104155957699","0.4652239680290222,0.32746851444244385,-7.066431862767786e-05","0.4723342955112457,0.3234460949897766,-0.004060810431838036","0.47106099128723145,0.33603784441947937,-0.005145925097167492","0.4683491587638855,0.33667027950286865,-0.005378060508519411","0.4583841562271118,0.3276382088661194,-0.002184603363275528","0.4654044806957245,0.3254029154777527,-0.00633646035566926","0.4646889567375183,0.33688703179359436,-0.004794517997652292","0.46169912815093994,0.3377428650856018,-0.00313205155543983","0.45104825496673584,0.32923415303230286,-0.004592946730554104","0.4582408368587494,0.32828935980796814,-0.006547102704644203","0.458494633436203,0.3369356393814087,-0.004299599211663008","0.45558613538742065,0.33872976899147034,-0.002233235165476799"
0.0,"0.4578695595264435,0.3644369840621948,-4.1300499020735515e-08","0.4708207845687866,0.3576340079307556,-0.001856961869634688","0.48160600662231445,0.3470054864883423,-0.0031005048658698797","0.4844812750816345,0.33456888794898987,-0.004860754124820232","0.47868606448173523,0.32827332615852356,-0.00602601608261466","0.47586438059806824,0.32860374450683594,0.0012706047855317593","0.48272764682769775,0.32200706005096436,-0.0031691158656030893","0.48204752802848816,0.3322209417819977,-0.0063480413518846035","0.47995394468307495,0.33677980303764343,-0.008091315627098083","0.4694569408893585,0.3267795443534851,8.278316090581939e-05","0.4762330651283264,0.32371774315834045,-0.0036120412405580282","0.4748660624027252,0.33442649245262146,-0.005164723377674818","0.47228023409843445,0.3367311358451843,-0.005702292080968618","0.46285951137542725,0.32698047161102295,-0.0018453641096130013","0.4698514938354492,0.3262723982334137,-0.00533545296639204","0.46904775500297546,0.3359074294567108,-0.004282123409211636","0.4664403200149536,0.3376813530921936,-0.003030079882591963","0.456173837184906,0.3290039598941803,-0.004072377923876047","0.4634625315666199,0.3293484151363373,-0.005655838176608086","0.4634196162223816,0.3367549180984497,-0.00375517550855875","0.4608083963394165,0.33864420652389526,-0.0019511760910972953"
0.0,"0.46281111240386963,0.36424320936203003,-4.446381041134373e-08","0.4753739833831787,0.3594066798686981,-0.0020137184765189886","0.4858991503715515,0.34850725531578064,-0.0032109031453728676","0.4902081787586212,0.3363921344280243,-0.00489028450101614","0.48652365803718567,0.32823318243026733,-0.005916284397244453","0.4800691604614258,0.3278203308582306,0.0008443334372714162","0.4876071810722351,0.3222387731075287,-0.0040906621143221855","0.48722854256629944,0.333098828792572,-0.0073550064116716385","0.48481956124305725,0.337938517332077,-0.008982851170003414","0.4737025499343872,0.32593488693237305,-0.00019863479246851057","0.4813935458660126,0.3244880437850952,-0.004214942920953035","0.48040473461151123,0.33552616834640503,-0.005677864421159029","0.4774550497531891,0.33748918771743774,-0.006146310828626156","0.4671976864337921,0.3261799216270447,-0.0020646508783102036","0.4754766821861267,0.3270871341228485,-0.006250475533306599","0.47452592849731445,0.33719339966773987,-0.0052667949348688126","0.4714760184288025,0.33859777450561523,-0.003919566981494427","0.4607645571231842,0.328177809715271,-0.004198089241981506","0.46947890520095825,0.32993412017822266,-0.006540755741298199","0.469348281621933,0.3377675414085388,-0.004966111853718758","0.4663718640804291,0.3395029604434967,-0.0032452591694891453"
0.0,"0.465791791677475,0.36276668310165405,-5.409209080653454e-08","0.4782841205596924,0.35747867822647095,-0.002382510108873248","0.48934659361839294,0.3484537899494171,-0.0036493632942438126","0.49416613578796387,0.33695805072784424,-0.005412682890892029","0.49000516533851624,0.328962117433548,-0.006280143279582262","0.48643219470977783,0.3296984136104584,0.0020961712580174208","0.493251234292984,0.3240688741207123,-0.003075656248256564","0.49084293842315674,0.3347569704055786,-0.006157067138701677","0.48795682191848755,0.33784541487693787,-0.007582427002489567","0.4805932641029358,0.32645395398139954,0.001089464989490807","0.48694345355033875,0.32309287786483765,-0.0035408849362283945","0.4844702184200287,0.33497652411460876,-0.004825735930353403","0.48242998123168945,0.33640095591545105,-0.004678744822740555","0.4738471210002899,0.32528796792030334,-0.0009471112862229347","0.4795534610748291,0.3258976936340332,-0.005511433817446232","0.47765687108039856,0.3365024924278259,-0.004292575176805258","0.4753611981868744,0.33737075328826904,-0.0024185311049222946","0.4664747714996338,0.32556942105293274,-0.0033123577013611794","0.47237256169319153,0.32761746644973755,-0.00515979016199708","0.4716344177722931,0.33557531237602234,-0.003228917717933655","0.4694781005382538,0.33676838874816895,-0.0011725249933078885"
0.0,"0.4686172604560852,0.3598935604095459,-3.806160009389714e-08","0.48212337493896484,0.35371050238609314,-0.0014752503484487534","0.49224022030830383,0.3447176218032837,-0.002851242898032069","0.49703383445739746,0.33327212929725647,-0.0049458942376077175","0.4933185577392578,0.3246603012084961,-0.006436600349843502","0.48607137799263,0.3244771957397461,0.0022788553033024073","0.49424177408218384,0.32105398178100586,-0.0024635347072035074","0.49184510111808777,0.3318847417831421,-0.006172752473503351","0.4878450334072113,0.33472108840942383,-0.008286010473966599","0.4807426929473877,0.32252559065818787,0.0007143946713767946","0.48929113149642944,0.3203556537628174,-0.003377170767635107","0.48703035712242126,0.33207303285598755,-0.005314840469509363","0.482799768447876,0.33407682180404663,-0.006102209445089102","0.4750392436981201,0.32184529304504395,-0.0016272880602627993","0.48413124680519104,0.32051345705986023,-0.00561252236366272","0.4824434816837311,0.33152636885643005,-0.0044083804823458195","0.47824743390083313,0.3336297571659088,-0.0028852932155132294","0.46889200806617737,0.32280391454696655,-0.004223830997943878","0.478371262550354,0.32253310084342957,-0.006239193491637707","0.47763365507125854,0.3309344947338104,-0.004139350727200508","0.473727822303772,0.3333812355995178,-0.0020908366423100233"
0.0,"0.47243785858154297,0.3540768027305603,-3.4926937786394774e-08","0.4854705333709717,0.34737884998321533,-0.001153149758465588","0.49511849880218506,0.33860617876052856,-0.0023189519997686148","0.4996991455554962,0.3284100294113159,-0.004283400252461433","0.4969230890274048,0.32122889161109924,-0.0055120838806033134","0.4895288944244385,0.3195244371891022,0.002551210345700383","0.4968920052051544,0.3153327703475952,-0.002030126517638564","0.49469879269599915,0.3263108432292938,-0.004916568286716938","0.49114781618118286,0.3279576599597931,-0.006429262924939394","0.48399075865745544,0.317722350358963,0.0008752322755753994","0.491852343082428,0.315792441368103,-0.0030529084615409374","0.48981139063835144,0.327802449464798,-0.00407806783914566","0.4863203763961792,0.327751100063324,-0.00419152295216918","0.47805914282798767,0.31731846928596497,-0.0016523690428584814","0.48639124631881714,0.3160456120967865,-0.0059376005083322525","0.48486343026161194,0.3275098204612732,-0.004304484464228153","0.48099857568740845,0.32835426926612854,-0.002410104963928461","0.4717497229576111,0.3183504045009613,-0.0043824766762554646","0.48035603761672974,0.3182700574398041,-0.0066228765062987804","0.479894757270813,0.3268347978591919,-0.004483746364712715","0.4763641059398651,0.32866010069847107,-0.002320176688954234"
0.0,"0.4746125042438507,0.3471822440624237,-3.036721807347931e-08","0.4873484671115875,0.34163713455200195,-0.0017971869092434645","0.4975878596305847,0.3323175013065338,-0.003115305909886956","0.5014439821243286,0.3204655647277832,-0.005023476667702198","0.4978846311569214,0.3114379644393921,-0.006272784434258938","0.49487993121147156,0.31626906991004944,0.0023997779935598373","0.5020793676376343,0.3108561933040619,-0.0025159306824207306","0.5006874799728394,0.32104939222335815,-0.005964030511677265","0.4971778094768524,0.32499074935913086,-0.00773233687505126","0.4892213046550751,0.31300896406173706,0.0010647948365658522","0.49725037813186646,0.30781224370002747,-0.0032981717959046364","0.49544328451156616,0.3198668360710144,-0.005199494771659374","0.49135032296180725,0.32269442081451416,-0.005616326816380024","0.4827723801136017,0.3113390803337097,-0.0011432496830821037","0.49046626687049866,0.30984926223754883,-0.0060154739767313","0.48873692750930786,0.3214912414550781,-0.005156066734343767","0.4847731292247772,0.32331541180610657,-0.003434570971876383","0.47554662823677063,0.3113764822483063,-0.0035129741299897432","0.4841350018978119,0.3115953207015991,-0.006205439567565918","0.4835054874420166,0.3204316794872284,-0.004391266033053398","0.479829341173172,0.3222297728061676,-0.0023443305399268866"
0.0,"0.4771481454372406,0.3391776382923126,-2.024378886744671e-08","0.48998817801475525,0.3333125412464142,-0.0017770911799743772","0.501212477684021,0.3250987231731415,-0.003363835159689188","0.5057044625282288,0.31419050693511963,-0.0054837861098349094","0.5011767148971558,0.3061729669570923,-0.007019743788987398","0.4951215386390686,0.305232435464859,0.0012483607279136777","0.5038890242576599,0.3025915026664734,-0.00345270405523479","0.5014721751213074,0.3127765357494354,-0.006990047171711922","0.49777722358703613,0.3155379295349121,-0.008985243737697601","0.48949769139289856,0.3033357560634613,-0.0002478254318702966","0.4993799924850464,0.30189040303230286,-0.004423326347023249","0.49667251110076904,0.31282949447631836,-0.006208064500242472","0.49258291721343994,0.3149667978286743,-0.006774370092898607","0.4837549030780792,0.3028443455696106,-0.0024844396393746138","0.49352455139160156,0.30286240577697754,-0.006481258198618889","0.49144285917282104,0.3131631910800934,-0.0052274237386882305","0.48769497871398926,0.31512323021888733,-0.003583864774554968","0.4775458872318268,0.30403080582618713,-0.004986724350601435","0.4871250092983246,0.30450698733329773,-0.006821947172284126","0.48626405000686646,0.31233060359954834,-0.004662365186959505","0.48296496272087097,0.3142967224121094,-0.0025987362023442984"
0.0,"0.47885841131210327,0.3308243155479431,-3.747374321960706e-08","0.4923928380012512,0.32633814215660095,-0.0026820774655789137","0.5042699575424194,0.3191344141960144,-0.004510476253926754","0.5084900856018066,0.3072800636291504,-0.006720022298395634","0.5048627853393555,0.29764726758003235,-0.00811506062746048","0.500421404838562,0.3015851378440857,0.00149261811748147","0.5077341198921204,0.29772621393203735,-0.003465716727077961","0.5048428177833557,0.3080176115036011,-0.006651055067777634","0.5015233159065247,0.3096037209033966,-0.008454486727714539","0.4945864677429199,0.29826775193214417,0.00045900605618953705","0.5021477341651917,0.29512113332748413,-0.00408991239964962","0.4993712902069092,0.3072226047515869,-0.005619402974843979","0.49616748094558716,0.30730193853378296,-0.0059653050266206264","0.4884316921234131,0.29660776257514954,-0.00151870958507061","0.49585607647895813,0.29533639550209045,-0.006607047747820616","0.4936376214027405,0.30697980523109436,-0.005268612876534462","0.4900580644607544,0.3071537911891937,-0.003406310686841607","0.4816261827945709,0.29636335372924805,-0.0037512455601245165","0.4895874559879303,0.2964290380477905,-0.006635935977101326","0.48851269483566284,0.30513933300971985,-0.00475755101069808","0.4848274886608124,0.30613261461257935,-0.0027145089115947485"
0.0,"0.48267582058906555,0.32337313890457153,-3.26145652707055e-08","0.49535396695137024,0.3199444115161896,-0.001949187251739204","0.5065252780914307,0.3113473057746887,-0.0029250651132315397","0.5109005570411682,0.3007960617542267,-0.004364412743598223","0.5069910287857056,0.29254499077796936,-0.004963134415447712","0.5043479800224304,0.2960381805896759,0.0016246705781668425","0.5108957886695862,0.2898678779602051,-0.0030788190197199583","0.5079851150512695,0.30029797554016113,-0.005688009783625603","0.505308210849762,0.3014659881591797,-0.006891086231917143","0.49840641021728516,0.2926022708415985,0.0005023889243602753","0.5051151514053345,0.2886597812175751,-0.003798967693001032","0.5018747448921204,0.30068740248680115,-0.004840331617742777","0.49908924102783203,0.299482524394989,-0.00479726679623127","0.4919355511665344,0.29047060012817383,-0.0014960314147174358","0.4987761676311493,0.2873690128326416,-0.006263349670916796","0.49625474214553833,0.2991221249103546,-0.00446693692356348","0.49333423376083374,0.2987135648727417,-0.0023327204398810863","0.48471546173095703,0.2889707088470459,-0.0036798384971916676","0.49177733063697815,0.28801003098487854,-0.00602748803794384","0.4905174672603607,0.2966550588607788,-0.0036448026075959206","0.487522155046463,0.2975473999977112,-0.0013265579473227262"
