gesture,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0.0,"0.4906631112098694,0.34206411242485046,-0.24013514816761017","0.4973953366279602,0.33074846863746643,-0.217900350689888","0.5016569495201111,0.33138230443000793,-0.21797606348991394","0.5056186318397522,0.33206143975257874,-0.21799275279045105","0.4828335642814636,0.3297306299209595,-0.2179684340953827","0.4781323969364166,0.32989054918289185,-0.2179172784090042","0.473438560962677,0.33041441440582275,-0.21795526146888733","0.5126100778579712,0.34100377559661865,-0.09718712419271469","0.46933048963546753,0.340082049369812,-0.09529177099466324","0.4991529881954193,0.35995277762413025,-0.1956910640001297","0.4832506775856018,0.36002206802368164,-0.19544658064842224","0.5402706861495972,0.43411120772361755,-0.07187090814113617","0.4299362301826477,0.4412442743778229,-0.023503754287958145","0.5525995492935181,0.46671849489212036,-0.3165113031864166","0.41001492738723755,0.5543869137763977,-0.011689908802509308","0.5498177409172058,0.401973158121109,-0.6452512741088867","0.4025140404701233,0.6616912484169006,-0.09026803076267242","0.5526768565177917,0.38278430700302124,-0.7100933790206909","0.3991832137107849,0.6980569362640381,-0.11119011789560318","0.550571084022522,0.3796349763870239,-0.7078979015350342","0.4052606225013733,0.6958935856819153,-0.1420850157737732","0.5478726625442505,0.38701295852661133,-0.6537297964096069","0.40814003348350525,0.6837618350982666,-0.10383182764053345","0.523391604423523,0.6663157939910889,-0.01277164090424776","0.4571438729763031,0.6694732308387756,0.0126326410099864","0.5083772540092468,0.8309651017189026,0.020857147872447968","0.4581228196620941,0.8300348520278931,0.05742426961660385","0.4940306544303894,0.9525320529937744,0.29338982701301575","0.4621029496192932,0.9526514410972595,0.3095233738422394","0.48867496848106384,0.9644015431404114,0.31338196992874146","0.4668617844581604,0.9636972546577454,0.3279530704021454","0.4987853467464447,1.006227970123291,0.17713433504104614","0.45899659395217896,1.010911226272583,0.19793382287025452"
0.0,"0.48691844940185547,0.34241777658462524,-0.20828215777873993","0.4940425455570221,0.33061185479164124,-0.18718932569026947","0.4989859163761139,0.3311964273452759,-0.18724873661994934","0.5038744211196899,0.3318118155002594,-0.18725261092185974","0.4810825288295746,0.32965224981307983,-0.18590423464775085","0.4767421782016754,0.3297916054725647,-0.18586604297161102","0.47245460748672485,0.33028194308280945,-0.18589407205581665","0.5115075707435608,0.3406597673892975,-0.06924013793468475","0.4679083228111267,0.33963868021965027,-0.0623762384057045","0.4937467575073242,0.3611360192298889,-0.16479602456092834","0.48034676909446716,0.36066925525665283,-0.16294370591640472","0.5385260581970215,0.430175244808197,-0.05078968405723572","0.4253239035606384,0.4415529668331146,0.0006789224571548402","0.5479680299758911,0.4688940644264221,-0.3006824851036072","0.4090372622013092,0.5541206002235413,0.003779004793614149","0.5468961000442505,0.4054564833641052,-0.6382895708084106","0.4003826081752777,0.6643131971359253,-0.07061348855495453","0.5486952662467957,0.3887580931186676,-0.7035661935806274","0.39840787649154663,0.6980780959129333,-0.09021250903606415","0.5471469163894653,0.3848752975463867,-0.7040401101112366","0.40289196372032166,0.6974448561668396,-0.12035480886697769","0.5446345210075378,0.39075592160224915,-0.6483668088912964","0.4051705002784729,0.6873168349266052,-0.08375823497772217","0.5204411149024963,0.6715837121009827,-0.010507560335099697","0.4533308148384094,0.6736682653427124,0.010315598919987679","0.5049434900283813,0.8366575837135315,0.021022293716669083","0.45466190576553345,0.8342882990837097,0.05999531224370003","0.4878091812133789,0.9528647065162659,0.3323816657066345","0.4595929682254791,0.9557223916053772,0.31865471601486206","0.4843045175075531,0.9645894169807434,0.3476635813713074","0.46327319741249084,0.9674367904663086,0.33792486786842346","0.49658283591270447,1.0003694295883179,0.20934739708900452","0.45523905754089355,1.0134892463684082,0.21294620633125305"
0.0,"0.4865713119506836,0.34232819080352783,-0.1965583860874176","0.4942585527896881,0.3302430510520935,-0.1761879324913025","0.4991035461425781,0.33074524998664856,-0.17624761164188385","0.5037728548049927,0.33126696944236755,-0.17625388503074646","0.4816776216030121,0.3294137120246887,-0.17350366711616516","0.4781385064125061,0.3295125365257263,-0.1734805405139923","0.474463552236557,0.32986682653427124,-0.17352528870105743","0.5119814276695251,0.34054669737815857,-0.06351456791162491","0.4719310700893402,0.3393218219280243,-0.05038437992334366","0.49450892210006714,0.36132901906967163,-0.15532279014587402","0.4802655279636383,0.3607281744480133,-0.15176469087600708","0.5393171906471252,0.42809244990348816,-0.05089503526687622","0.42884770035743713,0.44258877635002136,0.012292030267417431","0.548941969871521,0.4760509431362152,-0.28423142433166504","0.41137972474098206,0.5567169785499573,0.022464442998170853","0.5475075244903564,0.4134142994880676,-0.6141365170478821","0.4007301926612854,0.6652184128761292,-0.050550054758787155","0.5490518808364868,0.40168410539627075,-0.6768819093704224","0.3973941206932068,0.6977531313896179,-0.07015462964773178","0.546899676322937,0.39896613359451294,-0.678442656993866","0.40229398012161255,0.6979108452796936,-0.10024497658014297","0.5444415211677551,0.4037398099899292,-0.6237062215805054","0.4053502082824707,0.6888120174407959,-0.0638064593076706","0.520334780216217,0.6736886501312256,-0.012955139391124249","0.4547928273677826,0.6745396256446838,0.012770210392773151","0.5077753663063049,0.8362644910812378,0.00197332794778049","0.4556986689567566,0.8359128832817078,0.053451377898454666","0.49080199003219604,0.9512384533882141,0.31287604570388794","0.46266159415245056,0.9576852917671204,0.30874741077423096","0.4864672124385834,0.9623457193374634,0.3379763960838318","0.46690112352371216,0.9691614508628845,0.3282926380634308","0.500436544418335,1.0017300844192505,0.206069678068161","0.45804563164711,1.0180895328521729,0.20528998970985413"
0.0,"0.49049440026283264,0.34183576703071594,-0.24241535365581512","0.4985053539276123,0.3292342722415924,-0.21924857795238495","0.5032946467399597,0.3297324478626251,-0.2192860096693039","0.5084500312805176,0.33021098375320435,-0.21930181980133057","0.4845595955848694,0.3284185528755188,-0.2197103500366211","0.48008981347084045,0.3285573720932007,-0.2196735441684723","0.47698503732681274,0.328830361366272,-0.21968519687652588","0.5154942274093628,0.3399224579334259,-0.09048136323690414","0.472815603017807,0.3388424217700958,-0.09400145709514618","0.49934083223342896,0.3610442280769348,-0.19504085183143616","0.48270708322525024,0.3605427145957947,-0.19634273648262024","0.5454777479171753,0.43140286207199097,-0.051978178322315216","0.4280673563480377,0.4428863823413849,-0.013331763446331024","0.5499313473701477,0.5115816593170166,-0.22987525165081024","0.40987610816955566,0.5590823888778687,0.014850358478724957","0.5573148131370544,0.41434624791145325,-0.5260876417160034","0.3963938355445862,0.6621086597442627,-0.05373770743608475","0.5573872327804565,0.39784616231918335,-0.5844274163246155","0.39322370290756226,0.6963256001472473,-0.07114244997501373","0.5554998517036438,0.394034206867218,-0.5835801362991333","0.3982751667499542,0.6953471899032593,-0.10372474044561386","0.5538734793663025,0.39991411566734314,-0.534155547618866","0.40110260248184204,0.6860039234161377,-0.06778975576162338","0.5180410146713257,0.6770346760749817,-0.009931058622896671","0.4530858099460602,0.6765421032905579,0.009719235822558403","0.5070762038230896,0.8386908769607544,0.033505670726299286","0.45754575729370117,0.8369169235229492,0.06337920576334","0.49201422929763794,0.9528497457504272,0.3285166919231415","0.4634628891944885,0.9594913721084595,0.32704344391822815","0.48827439546585083,0.9627339243888855,0.3530382812023163","0.4674977660179138,0.9695309996604919,0.34766295552253723","0.49878573417663574,1.0020112991333008,0.2316104918718338","0.4594770073890686,1.0166184902191162,0.22081363201141357"
0.0,"0.49216794967651367,0.34158855676651,-0.2575448155403137","0.5002150535583496,0.32854726910591125,-0.23561620712280273","0.5047361254692078,0.32901325821876526,-0.23562245070934296","0.509573757648468,0.3294893801212311,-0.23563942313194275","0.4861729145050049,0.32794979214668274,-0.23615141212940216","0.481372207403183,0.3281998932361603,-0.23618820309638977","0.4781443476676941,0.3285227417945862,-0.23621241748332977","0.5160366296768188,0.3392254412174225,-0.10745116323232651","0.47369614243507385,0.3386954367160797,-0.11254469305276871","0.5010808706283569,0.3607111871242523,-0.21029451489448547","0.4839211404323578,0.3604145348072052,-0.2115636169910431","0.5472438931465149,0.43243247270584106,-0.05510881543159485","0.42846235632896423,0.4422520101070404,-0.03010597452521324","0.5501199960708618,0.5204258561134338,-0.22695724666118622","0.40918073058128357,0.5613584518432617,0.004336695186793804","0.558043360710144,0.4214800000190735,-0.5159190893173218","0.39587661623954773,0.6608293652534485,-0.06282749772071838","0.5589126348495483,0.40377119183540344,-0.5727362632751465","0.3924960792064667,0.6939866542816162,-0.07851924002170563","0.5572883486747742,0.3984232246875763,-0.5717458128929138","0.3968679904937744,0.6938413977622986,-0.11244294792413712","0.5556360483169556,0.40456321835517883,-0.5231772661209106","0.3996729254722595,0.685423731803894,-0.07716827094554901","0.518557608127594,0.6777037382125854,-0.002554927486926317","0.45366644859313965,0.6770437955856323,0.0023743407800793648","0.5080354809761047,0.8405573964118958,0.025642862543463707","0.4569465219974518,0.8374347686767578,0.05659889429807663","0.49443817138671875,0.9504983425140381,0.3439343273639679","0.46381503343582153,0.958871066570282,0.3409768342971802","0.4913988709449768,0.9599827527999878,0.37172311544418335","0.4688721299171448,0.9673553109169006,0.3635224997997284","0.5015115141868591,1.0004297494888306,0.2531540095806122","0.4606398046016693,1.0162451267242432,0.23170900344848633"
0.0,"0.491428941488266,0.34155958890914917,-0.2805415391921997","0.5000306963920593,0.328288733959198,-0.25958892703056335","0.50469571352005,0.32864609360694885,-0.2596110999584198","0.5095533728599548,0.3290974199771881,-0.2596178650856018","0.48576927185058594,0.32786983251571655,-0.2586382031440735","0.48130959272384644,0.32816818356513977,-0.2586406469345093","0.4781114161014557,0.3285514712333679,-0.25866392254829407","0.5164548754692078,0.33888185024261475,-0.1395913064479828","0.4740094542503357,0.33900120854377747,-0.13430018723011017","0.5003886818885803,0.360713928937912,-0.23501460254192352","0.4835348129272461,0.36082860827445984,-0.2344917505979538","0.5490642786026001,0.43384185433387756,-0.08499151468276978","0.4258066713809967,0.4417473375797272,-0.053773242980241776","0.555205762386322,0.5462791919708252,-0.19804514944553375","0.40450507402420044,0.5605261921882629,-0.01702781952917576","0.568375825881958,0.4414016902446747,-0.46552762389183044","0.39248329401016235,0.6580342054367065,-0.08716072887182236","0.5674854516983032,0.4248276948928833,-0.5178727507591248","0.38809502124786377,0.6914474368095398,-0.10228903591632843","0.5643357634544373,0.4179326295852661,-0.5174299478530884","0.3929333984851837,0.6909503936767578,-0.13598594069480896","0.5633264780044556,0.4241098165512085,-0.47244682908058167","0.3954779803752899,0.6826037168502808,-0.10138633102178574","0.5199357867240906,0.6784394979476929,-0.006870242301374674","0.4554172158241272,0.6780021786689758,0.006692493800073862","0.5057957768440247,0.8387024402618408,0.04155876487493515","0.45753318071365356,0.8386287093162537,0.07968967407941818","0.4937259256839752,0.9533337354660034,0.34959539771080017","0.46363434195518494,0.9593029022216797,0.34945613145828247","0.4896044135093689,0.9622636437416077,0.3747875690460205","0.4674829840660095,0.9672607779502869,0.37048643827438354","0.5011628866195679,1.0029044151306152,0.25468701124191284","0.4629794955253601,1.0129634141921997,0.24147816002368927"
0.0,"0.49187931418418884,0.34059807658195496,-0.28024616837501526","0.5008386373519897,0.32771608233451843,-0.25894859433174133","0.505530059337616,0.32802650332450867,-0.25897228717803955","0.5100122690200806,0.3284784257411957,-0.25898048281669617","0.48668473958969116,0.32752668857574463,-0.25779587030410767","0.48247671127319336,0.32788461446762085,-0.2577865719795227","0.4792805314064026,0.3282359540462494,-0.25780239701271057","0.5171185731887817,0.33841291069984436,-0.14886374771595","0.47508829832077026,0.3387731611728668,-0.13246439397335052","0.5007513761520386,0.3600206971168518,-0.23485369980335236","0.4839912950992584,0.35937467217445374,-0.23405876755714417","0.5491111278533936,0.436404824256897,-0.08368603885173798","0.42811769247055054,0.4413612484931946,-0.052504200488328934","0.5601921081542969,0.5508550405502319,-0.19716307520866394","0.4043048322200775,0.5572715401649475,-0.018405167385935783","0.5737038850784302,0.4458410441875458,-0.4725167751312256","0.39167526364326477,0.654778242111206,-0.09258507192134857","0.5711277723312378,0.4272487461566925,-0.527006208896637","0.3864976167678833,0.6894816160202026,-0.10907993465662003","0.5671105980873108,0.41986802220344543,-0.5262099504470825","0.3909645676612854,0.6886692643165588,-0.14394575357437134","0.5660814046859741,0.4264545738697052,-0.4794101119041443","0.39391160011291504,0.6800248026847839,-0.10753615945577621","0.517469584941864,0.6788756251335144,-0.001553944544866681","0.4539026618003845,0.6779986023902893,0.0013289698399603367","0.5071847438812256,0.838241696357727,0.042140696197748184","0.4578137993812561,0.8340234756469727,0.07042448967695236","0.4926983416080475,0.9540654420852661,0.3621567487716675","0.4654511511325836,0.9585694670677185,0.3546847999095917","0.4883345663547516,0.9633573889732361,0.38901859521865845","0.46862730383872986,0.9671661257743835,0.3764684200286865","0.5020917057991028,1.001121997833252,0.2722480893135071","0.464470773935318,1.0096848011016846,0.2453787624835968"
0.0,"0.4915892481803894,0.3397875726222992,-0.29107847809791565","0.5004655122756958,0.3273009657859802,-0.26850035786628723","0.5052886009216309,0.327583372592926,-0.2685253918170929","0.5098155736923218,0.3280685245990753,-0.26852887868881226","0.48618608713150024,0.32713794708251953,-0.26863422989845276","0.48221826553344727,0.3274703919887543,-0.2685926556587219","0.4789815843105316,0.32784074544906616,-0.26860857009887695","0.5171176195144653,0.3379940688610077,-0.1437559425830841","0.4742085933685303,0.3386361300945282,-0.1403219997882843","0.5005395412445068,0.35940149426460266,-0.24297773838043213","0.4837169647216797,0.35878482460975647,-0.24399051070213318","0.5516456365585327,0.43839842081069946,-0.08632472157478333","0.4277866780757904,0.4412521421909332,-0.05553225800395012","0.5638816356658936,0.5550368428230286,-0.20093262195587158","0.4035922586917877,0.5587087273597717,-0.014376670122146606","0.5751580595970154,0.45452630519866943,-0.48274070024490356","0.39047664403915405,0.6560238599777222,-0.08497491478919983","0.5705896615982056,0.4339168667793274,-0.5368093252182007","0.3854359984397888,0.6901862621307373,-0.09940116107463837","0.5669142603874207,0.42494842410087585,-0.5339451432228088","0.39050498604774475,0.689479649066925,-0.1346893012523651","0.5661605596542358,0.4329432547092438,-0.48866432905197144","0.39358919858932495,0.6808011531829834,-0.0997343435883522","0.5179851651191711,0.6790697574615479,-0.001814266317524016","0.45327991247177124,0.6778926849365234,0.0016050509875640273","0.5074570178985596,0.8372011780738831,0.04606916755437851","0.4584670662879944,0.8340035080909729,0.06968031823635101","0.49426499009132385,0.9576815366744995,0.36366406083106995","0.4656166434288025,0.9591004848480225,0.34914642572402954","0.4898195266723633,0.967011034488678,0.389830619096756","0.469265878200531,0.9680644869804382,0.3706938624382019","0.503285825252533,1.0028735399246216,0.26587873697280884","0.46451640129089355,1.0012176036834717,0.24305705726146698"
0.0,"0.49153774976730347,0.3393203318119049,-0.29072508215904236","0.5006977319717407,0.32712072134017944,-0.2688887417316437","0.5057705044746399,0.3274335563182831,-0.26891574263572693","0.5102238059043884,0.3279314637184143,-0.26892179250717163","0.486118882894516,0.3268453776836395,-0.2680514454841614","0.48239198327064514,0.32716894149780273,-0.2680215835571289","0.4787949025630951,0.3275851607322693,-0.26803046464920044","0.5174732208251953,0.3380371630191803,-0.15476229786872864","0.4737984538078308,0.33841121196746826,-0.14015677571296692","0.5005251169204712,0.359127938747406,-0.2441837340593338","0.48383378982543945,0.3586236536502838,-0.2438153773546219","0.5505491495132446,0.440288245677948,-0.08859152346849442","0.4260295331478119,0.4421098828315735,-0.05497514083981514","0.567440390586853,0.5581055879592896,-0.2052842378616333","0.4033109247684479,0.5591935515403748,-0.01338227093219757","0.5779067873954773,0.4584101736545563,-0.4841929078102112","0.3909364342689514,0.6545398831367493,-0.08685196191072464","0.5734455585479736,0.439507395029068,-0.53816157579422","0.3860831558704376,0.6892988085746765,-0.10255654901266098","0.5691043138504028,0.42891594767570496,-0.5359125137329102","0.3906184434890747,0.6884447336196899,-0.13740341365337372","0.5683015584945679,0.43678244948387146,-0.49027442932128906","0.3936491310596466,0.6796169877052307,-0.10175596177577972","0.5168409943580627,0.6793900728225708,-0.002986922161653638","0.451596736907959,0.678059458732605,0.002791448961943388","0.5063811540603638,0.8348527550697327,0.05002136901021004","0.458115816116333,0.832162082195282,0.07396818697452545","0.4936501085758209,0.9554580450057983,0.3682245910167694","0.4650202691555023,0.9578378200531006,0.35322487354278564","0.48979148268699646,0.9655160307884216,0.39477264881134033","0.46882399916648865,0.9672896862030029,0.37524354457855225","0.5022672414779663,1.0017033815383911,0.27164512872695923","0.46490079164505005,0.998504102230072,0.25043386220932007"
0.0,"0.4928470551967621,0.33924517035484314,-0.316484659910202","0.50261390209198,0.3269234895706177,-0.2928314507007599","0.5076556205749512,0.32729631662368774,-0.29285818338394165","0.5124915242195129,0.32777586579322815,-0.29287055134773254","0.487557590007782,0.3266792595386505,-0.2934738099575043","0.483326256275177,0.32707515358924866,-0.29342299699783325","0.47957509756088257,0.3276122212409973,-0.2934245765209198","0.518200695514679,0.3379065692424774,-0.15998077392578125","0.47350701689720154,0.3382057249546051,-0.16157618165016174","0.5012129545211792,0.35919541120529175,-0.2659448981285095","0.4840845465660095,0.35870248079299927,-0.2680928409099579","0.5494284629821777,0.4407268166542053,-0.09959743171930313","0.42180952429771423,0.4426639676094055,-0.06288067996501923","0.575092077255249,0.5666969418525696,-0.2018841952085495","0.40042704343795776,0.5638005137443542,-0.022515006363391876","0.5878506302833557,0.4794049561023712,-0.4822348654270172","0.38895994424819946,0.6566271185874939,-0.10424184799194336","0.5829520225524902,0.4583846628665924,-0.5364075899124146","0.3859725892543793,0.6909590363502502,-0.1201011911034584","0.5769984722137451,0.4466516077518463,-0.5334874391555786","0.39122703671455383,0.6897484064102173,-0.1550542414188385","0.5760773420333862,0.4534114599227905,-0.48759227991104126","0.39405345916748047,0.6810352206230164,-0.11885849386453629","0.5189892649650574,0.6793100237846375,-0.003657473949715495","0.45266348123550415,0.6785585284233093,0.003467611502856016","0.5081442594528198,0.8371464610099792,0.04560667648911476","0.45822685956954956,0.8381076455116272,0.06958504021167755","0.49257659912109375,0.954538106918335,0.37987709045410156","0.4660521149635315,0.9584496021270752,0.3645477890968323","0.48965388536453247,0.9647853970527649,0.4073319435119629","0.4701312482357025,0.9681459069252014,0.3879697620868683","0.502013087272644,1.001283884048462,0.2839362323284149","0.4632285535335541,1.0071278810501099,0.2573108971118927"
