gesture,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0.0,"0.5372022390365601,0.2396254688501358,-0.23903460800647736","0.5381470322608948,0.2269625961780548,-0.22234001755714417","0.5405280590057373,0.22705160081386566,-0.22233346104621887","0.5427519083023071,0.22723805904388428,-0.22234268486499786","0.5295926928520203,0.2281763255596161,-0.2192307412624359","0.5254777073860168,0.2291465699672699,-0.21925874054431915","0.5218058824539185,0.23037321865558624,-0.21927431225776672","0.543404221534729,0.234647735953331,-0.12256650626659393","0.513883650302887,0.241806298494339,-0.10929809510707855","0.5424527525901794,0.2563823163509369,-0.2022382915019989","0.5327697992324829,0.25818824768066406,-0.19897668063640594","0.5774608850479126,0.3316813111305237,-0.08193517476320267","0.49001067876815796,0.34337255358695984,-0.03197494149208069","0.5949406027793884,0.45038020610809326,-0.05107814073562622","0.4438493847846985,0.37978923320770264,-0.14554980397224426","0.5971083045005798,0.5770939588546753,-0.08115643262863159","0.47262248396873474,0.304074764251709,-0.33024320006370544","0.6012232303619385,0.6086577773094177,-0.09717342257499695","0.4794189929962158,0.2937367856502533,-0.3711688816547394","0.5932719111442566,0.6079531311988831,-0.11937364190816879","0.4836452007293701,0.2919497489929199,-0.3590260148048401","0.59065842628479,0.598659873008728,-0.08907688409090042","0.4833298623561859,0.29633066058158875,-0.33192649483680725","0.5611690282821655,0.5618102550506592,-0.019432121887803078","0.5121513605117798,0.5672526359558105,0.019216077402234077","0.5632983446121216,0.71938157081604,-0.01080243568867445","0.527224063873291,0.7283824682235718,0.03234502673149109","0.5674263834953308,0.848394513130188,0.22472000122070312","0.5416609048843384,0.8441388607025146,0.25384587049484253","0.5707167983055115,0.863614559173584,0.24160747230052948","0.5480465888977051,0.8539172410964966,0.2719680070877075","0.5549249053001404,0.9102675318717957,0.13106286525726318","0.5353464484214783,0.9058944582939148,0.17644895613193512"
0.0,"0.5150512456893921,0.23971551656723022,-0.24628612399101257","0.5171722173690796,0.22671298682689667,-0.22791340947151184","0.5201051831245422,0.2269292175769806,-0.22788405418395996","0.5227779150009155,0.22727003693580627,-0.22788174450397491","0.5073660612106323,0.22763283550739288,-0.2268734723329544","0.5034052133560181,0.22837203741073608,-0.22688499093055725","0.499549925327301,0.22909465432167053,-0.2268875390291214","0.5247476100921631,0.23731812834739685,-0.12171675264835358","0.49411988258361816,0.2390614002943039,-0.11657116562128067","0.5202025175094604,0.25851574540138245,-0.20633423328399658","0.5081937313079834,0.2585359811782837,-0.20548942685127258","0.5622586607933044,0.33321070671081543,-0.06298154592514038","0.46714645624160767,0.33674484491348267,-0.04301786795258522","0.5838817358016968,0.4173089861869812,-0.034609101712703705","0.4222947955131531,0.3876257538795471,-0.13430318236351013","0.5804367661476135,0.5245118737220764,-0.06144668906927109","0.4556416869163513,0.34483563899993896,-0.3226994276046753","0.5787848234176636,0.5625757575035095,-0.07367078959941864","0.4648299217224121,0.33412548899650574,-0.3684740662574768","0.5723241567611694,0.559727132320404,-0.09732641279697418","0.47055310010910034,0.3361532986164093,-0.3564113974571228","0.570815920829773,0.5505502223968506,-0.07028114795684814","0.46919822692871094,0.34173405170440674,-0.3252043128013611","0.5487077832221985,0.5709351897239685,-0.0031896159052848816","0.4998961389064789,0.5723817944526672,0.002916108351200819","0.5471361875534058,0.7279897928237915,0.039718978106975555","0.5060732960700989,0.7291235327720642,0.08244295418262482","0.5413891673088074,0.8455778956413269,0.29412227869033813","0.5231914520263672,0.8464986085891724,0.31093311309814453","0.5420476198196411,0.8568449020385742,0.3136860430240631","0.5296940803527832,0.8590112328529358,0.3300016522407532","0.5371984839439392,0.9032271504402161,0.2038826048374176","0.509820818901062,0.9055595993995667,0.22994199395179749"
0.0,"0.5236798524856567,0.23883724212646484,-0.25784987211227417","0.5250424146652222,0.22593121230602264,-0.2419167309999466","0.527626633644104,0.226217582821846,-0.2418123036623001","0.5300318002700806,0.2264893800020218,-0.24181489646434784","0.5161414742469788,0.22636935114860535,-0.23968854546546936","0.512385904788971,0.22666166722774506,-0.23973402380943298","0.5078768134117126,0.22699013352394104,-0.23967671394348145","0.5306851267814636,0.23589716851711273,-0.12855713069438934","0.5005400776863098,0.23750710487365723,-0.12969067692756653","0.5296207070350647,0.25775831937789917,-0.21919791400432587","0.5183525681495667,0.2571067810058594,-0.21654672920703888","0.5671719908714294,0.3326038718223572,-0.06488674134016037","0.4728865623474121,0.3324359357357025,-0.0602259635925293","0.5878837704658508,0.4283609092235565,-0.04284423962235451","0.419757217168808,0.3661402761936188,-0.14685478806495667","0.5888441801071167,0.5431851148605347,-0.06422491371631622","0.46181949973106384,0.3171878457069397,-0.3105955421924591","0.5898474454879761,0.5789933800697327,-0.0779203474521637","0.4735771715641022,0.31058037281036377,-0.3542659282684326","0.5832751989364624,0.5773029327392578,-0.10074429214000702","0.4777696132659912,0.3114129602909088,-0.33667391538619995","0.5812389850616455,0.5690407156944275,-0.07301414012908936","0.476126492023468,0.3156289756298065,-0.310893177986145","0.5499187111854553,0.5730497241020203,-0.003389983670786023","0.49965065717697144,0.5723210573196411,0.0031770109198987484","0.5540111064910889,0.7302242517471313,0.06800414621829987","0.5101476907730103,0.7325989603996277,0.079658642411232","0.5536648035049438,0.8466790318489075,0.37324756383895874","0.5287361741065979,0.8484631776809692,0.3085041344165802","0.5531914234161377,0.8586949110031128,0.40246158838272095","0.5364153981208801,0.8623014092445374,0.3281223773956299","0.5439854860305786,0.9015072584152222,0.2353125810623169","0.5190801024436951,0.906578004360199,0.22873179614543915"
0.0,"0.526671290397644,0.23727458715438843,-0.2456207573413849","0.5278086066246033,0.22515712678432465,-0.22922369837760925","0.5304937958717346,0.22541262209415436,-0.2291562259197235","0.5328269600868225,0.22570228576660156,-0.22914938628673553","0.5191020965576172,0.22532978653907776,-0.2267206460237503","0.5152403116226196,0.22540424764156342,-0.22675976157188416","0.5109821557998657,0.2251916080713272,-0.2267347276210785","0.5324693918228149,0.23493656516075134,-0.1294909566640854","0.5033120512962341,0.23525850474834442,-0.11818423122167587","0.5322955250740051,0.25587379932403564,-0.2082381695508957","0.5210517644882202,0.2551898956298828,-0.20539116859436035","0.567978024482727,0.33013781905174255,-0.07300345599651337","0.47630199790000916,0.3301379978656769,-0.0511193573474884","0.5908948183059692,0.4240803122520447,-0.03585449233651161","0.42405468225479126,0.3487932085990906,-0.14084716141223907","0.59105384349823,0.545400083065033,-0.05207810923457146","0.46662598848342896,0.30557548999786377,-0.29994893074035645","0.5925792455673218,0.5833873152732849,-0.06453299522399902","0.4793475270271301,0.3001696765422821,-0.34192872047424316","0.585953414440155,0.5822306871414185,-0.08796143531799316","0.48331689834594727,0.3015807569026947,-0.32545357942581177","0.5836606621742249,0.5739527344703674,-0.06096694990992546","0.4812558591365814,0.30567389726638794,-0.3006693124771118","0.5528592467308044,0.5700399279594421,-0.010445412248373032","0.5031403303146362,0.5719749927520752,0.010240609757602215","0.5543907880783081,0.7275253534317017,0.06648988276720047","0.5137214064598083,0.7323267459869385,0.08229131996631622","0.5554244518280029,0.8465206623077393,0.27963316440582275","0.5321335196495056,0.8486400842666626,0.3040819764137268","0.5572890043258667,0.860542893409729,0.29653200507164","0.5407699346542358,0.8627714514732361,0.32529908418655396","0.5437055230140686,0.9016542434692383,0.1824837177991867","0.5197119116783142,0.9058220982551575,0.22038522362709045"
0.0,"0.5301626920700073,0.23685240745544434,-0.26240211725234985","0.5311612486839294,0.22505995631217957,-0.2446211874485016","0.5336486101150513,0.2254646122455597,-0.24453696608543396","0.5360575914382935,0.22600476443767548,-0.24453473091125488","0.5224397778511047,0.22519558668136597,-0.24317002296447754","0.5184980034828186,0.22524642944335938,-0.24321529269218445","0.5139191746711731,0.22515472769737244,-0.2431800365447998","0.5343241691589355,0.2362593114376068,-0.1409824639558792","0.5049909353256226,0.2364235818386078,-0.13403214514255524","0.5347341895103455,0.25568342208862305,-0.22386212646961212","0.524580180644989,0.25513026118278503,-0.22253791987895966","0.5705296993255615,0.32992109656333923,-0.08543027937412262","0.47564297914505005,0.32865241169929504,-0.07796318829059601","0.5924865007400513,0.4287400245666504,-0.04166296869516373","0.4259198307991028,0.3305138349533081,-0.15263158082962036","0.5929838418960571,0.5466846227645874,-0.059565894305706024","0.473968505859375,0.2925659716129303,-0.2891555428504944","0.5943197011947632,0.5838134288787842,-0.07283277064561844","0.4858328700065613,0.290047287940979,-0.3304164707660675","0.5883877277374268,0.5825342535972595,-0.09775269031524658","0.48900532722473145,0.2921794354915619,-0.31314629316329956","0.5860586166381836,0.5740557312965393,-0.0694478377699852","0.48682594299316406,0.2955215871334076,-0.2900661826133728","0.5535754561424255,0.5690373182296753,-0.007085629738867283","0.5046786665916443,0.5716291666030884,0.0069112470373511314","0.556728720664978,0.7257819175720215,0.07447607815265656","0.5158810615539551,0.7310053706169128,0.07979200035333633","0.5569401979446411,0.8461505174636841,0.2835344970226288","0.5328699350357056,0.8466618061065674,0.3037152886390686","0.5587347745895386,0.8596428036689758,0.30029991269111633","0.540250837802887,0.8598431348800659,0.32454198598861694","0.5453919172286987,0.9017948508262634,0.18164242804050446","0.5227388143539429,0.9048390984535217,0.21744263172149658"
0.0,"0.5322995185852051,0.23687294125556946,-0.2634027302265167","0.5325480699539185,0.22547069191932678,-0.2454076111316681","0.534591555595398,0.22603096067905426,-0.2453298270702362","0.5366483926773071,0.22671237587928772,-0.24532732367515564","0.5247818231582642,0.2256367951631546,-0.2446276694536209","0.521199107170105,0.22601936757564545,-0.24467019736766815","0.5167721509933472,0.22641612589359283,-0.2446650266647339","0.5342521667480469,0.23715707659721375,-0.13918982446193695","0.5067695379257202,0.2380409836769104,-0.1357758641242981","0.5364624857902527,0.2557274401187897,-0.2235383540391922","0.527397096157074,0.25553423166275024,-0.22327189147472382","0.5706703662872314,0.32835590839385986,-0.08588144928216934","0.4780685007572174,0.3250444233417511,-0.08808957785367966","0.5933521389961243,0.42445817589759827,-0.04809248074889183","0.42596274614334106,0.3151991665363312,-0.16768023371696472","0.5927957892417908,0.5490566492080688,-0.06659061461687088","0.4751121997833252,0.2889116704463959,-0.29993176460266113","0.5943281650543213,0.5873801112174988,-0.08041341602802277","0.488521009683609,0.28848996758461,-0.3411392569541931","0.5880113244056702,0.5853712558746338,-0.10548688471317291","0.49160653352737427,0.29000386595726013,-0.32509756088256836","0.5856013298034668,0.5773207545280457,-0.0765194222331047","0.4892371594905853,0.2924728989601135,-0.3012116253376007","0.554330050945282,0.568709135055542,-0.006624776870012283","0.5057145357131958,0.5715546011924744,0.006464057601988316","0.5567113757133484,0.7261956334114075,0.05300929397344589","0.5163308382034302,0.7314060926437378,0.08078449964523315","0.5575198531150818,0.8491357564926147,0.27434563636779785","0.5339342355728149,0.8488259315490723,0.30933499336242676","0.5588088631629944,0.8645673990249634,0.2908630669116974","0.5418034195899963,0.8629772663116455,0.3340049088001251","0.5464116334915161,0.9017801284790039,0.17145375907421112","0.5226402878761292,0.9053111672401428,0.22001926600933075"
0.0,"0.532405436038971,0.23943082988262177,-0.2755269408226013","0.5330654978752136,0.22741222381591797,-0.25950440764427185","0.5352829694747925,0.22801335155963898,-0.25942787528038025","0.5374559164047241,0.22873713076114655,-0.2594507932662964","0.5254963040351868,0.22759443521499634,-0.2570410668849945","0.5220288038253784,0.22801193594932556,-0.25709396600723267","0.5177587866783142,0.22864286601543427,-0.25710421800613403","0.5356687307357788,0.23960494995117188,-0.15927667915821075","0.5079860687255859,0.24119940400123596,-0.14786089956760406","0.536756157875061,0.25798991322517395,-0.23734800517559052","0.5271857976913452,0.2578589618206024,-0.2350294589996338","0.5716283321380615,0.3254605531692505,-0.11911852657794952","0.4807916581630707,0.3244212567806244,-0.07800428569316864","0.5944328904151917,0.4264945089817047,-0.07475849986076355","0.42765718698501587,0.3030220866203308,-0.13408556580543518","0.591964602470398,0.5481109619140625,-0.09285606443881989","0.4781748354434967,0.2876822054386139,-0.2173641175031662","0.5937182903289795,0.5853717923164368,-0.10836289823055267","0.4911011755466461,0.29072895646095276,-0.25446784496307373","0.5874392986297607,0.5838097929954529,-0.13505907356739044","0.4947335124015808,0.2933948040008545,-0.23171302676200867","0.5851981043815613,0.5758028030395508,-0.10337106138467789","0.49241629242897034,0.29516610503196716,-0.21765725314617157","0.5546679496765137,0.5685198903083801,-0.011758735403418541","0.5066953897476196,0.5705851912498474,0.011626316234469414","0.5579106211662292,0.7245768308639526,0.05572586506605148","0.5170911550521851,0.7293261885643005,0.0880110040307045","0.5582601428031921,0.8484758138656616,0.27470850944519043","0.5350881814956665,0.8464463949203491,0.30541878938674927","0.559464156627655,0.8633009195327759,0.2911733388900757","0.5431808829307556,0.8605358600616455,0.3245001435279846","0.5477873086929321,0.9018952250480652,0.17302635312080383","0.5236968398094177,0.9046140909194946,0.22061577439308167"
0.0,"0.5337008237838745,0.24177934229373932,-0.23355703055858612","0.5344489216804504,0.22855016589164734,-0.2173248529434204","0.5365495681762695,0.22911617159843445,-0.2172788679599762","0.5385413765907288,0.22987806797027588,-0.21729972958564758","0.5269080996513367,0.2285253256559372,-0.21516501903533936","0.5234006643295288,0.22896280884742737,-0.2151961624622345","0.5190221667289734,0.2297721803188324,-0.21520757675170898","0.5370489358901978,0.23999150097370148,-0.12061910331249237","0.5084807872772217,0.24303029477596283,-0.11064115911722183","0.5380697846412659,0.2600689232349396,-0.19724097847938538","0.5284802317619324,0.25934046506881714,-0.195053368806839","0.5723816156387329,0.3241864740848541,-0.07962461560964584","0.4836123585700989,0.32445111870765686,-0.040742672979831696","0.5940638780593872,0.42418572306632996,-0.048409756273031235","0.43356484174728394,0.3027021586894989,-0.06035422533750534","0.591350257396698,0.5464156866073608,-0.07090824097394943","0.47641411423683167,0.285022497177124,-0.08891269564628601","0.5925084948539734,0.5843766331672668,-0.08571453392505646","0.4889296591281891,0.28409793972969055,-0.11552128940820694","0.5860356092453003,0.5819106101989746,-0.11234414577484131","0.4913175106048584,0.286667138338089,-0.10394243150949478","0.5836331248283386,0.5741757750511169,-0.08161553740501404","0.4884570240974426,0.2897915840148926,-0.09031565487384796","0.5547288656234741,0.5679773688316345,-0.011883048340678215","0.5057973265647888,0.5698102116584778,0.011782128363847733","0.5590082406997681,0.7236779928207397,0.04114978387951851","0.5176296830177307,0.72844398021698,0.07500843703746796","0.5582864880561829,0.8481957912445068,0.2665081322193146","0.5357933640480042,0.8462189435958862,0.2930958867073059","0.5595599412918091,0.8620539307594299,0.2838158905506134","0.5435501337051392,0.8595819473266602,0.3111196458339691","0.5478836894035339,0.9019739627838135,0.16805851459503174","0.5243287086486816,0.9048960208892822,0.2071499079465866"
0.0,"0.533291220664978,0.24149498343467712,-0.22633743286132812","0.5335317254066467,0.22863167524337769,-0.20900443196296692","0.5357006788253784,0.22908079624176025,-0.20896188914775848","0.5377939939498901,0.22958926856517792,-0.20897641777992249","0.5256744623184204,0.22861148416996002,-0.20742928981781006","0.5219470858573914,0.22913551330566406,-0.20746155083179474","0.5178078413009644,0.23019257187843323,-0.20746858417987823","0.53605717420578,0.23919883370399475,-0.11004026234149933","0.5083411931991577,0.24388641119003296,-0.10325838625431061","0.5380915403366089,0.2596985697746277,-0.18974518775939941","0.528192400932312,0.2594205141067505,-0.1884157657623291","0.573039174079895,0.3248550593852997,-0.06944698840379715","0.4833517074584961,0.3247624933719635,-0.03996167331933975","0.5925284028053284,0.42405328154563904,-0.04334692284464836","0.43637195229530334,0.3075519800186157,-0.0697581022977829","0.5921034216880798,0.5446040034294128,-0.06579402089118958","0.4743369221687317,0.2862054705619812,-0.11954843997955322","0.5937533974647522,0.5828427076339722,-0.07926738262176514","0.485476553440094,0.28601422905921936,-0.13877257704734802","0.5871937274932861,0.5805562734603882,-0.1059236153960228","0.4884212017059326,0.2879583239555359,-0.1503465324640274","0.5846589803695679,0.5730526447296143,-0.07641619443893433","0.4858732223510742,0.2909282147884369,-0.1269880086183548","0.5555176734924316,0.5670511722564697,-0.009440505877137184","0.5066935420036316,0.56878262758255,0.009327581152319908","0.5583451986312866,0.7220165729522705,0.04455269128084183","0.519245982170105,0.7264899611473083,0.06780298054218292","0.5589994192123413,0.8454075455665588,0.2720046043395996","0.5357539653778076,0.8464009761810303,0.28216227889060974","0.5608507990837097,0.8584741950035095,0.28937771916389465","0.5428041219711304,0.860351026058197,0.2987767159938812","0.5503249764442444,0.900923490524292,0.17433515191078186","0.5256667733192444,0.9055876731872559,0.19638487696647644"
0.0,"0.5332697629928589,0.24212893843650818,-0.22233840823173523","0.5330469608306885,0.22893483936786652,-0.20543208718299866","0.5350637435913086,0.22927697002887726,-0.2053934633731842","0.537144124507904,0.22979429364204407,-0.20539753139019012","0.5247786045074463,0.22951622307300568,-0.20331203937530518","0.5208719372749329,0.23058933019638062,-0.20334139466285706","0.5166073441505432,0.23243024945259094,-0.20333977043628693","0.5363210439682007,0.2398936003446579,-0.105080246925354","0.5080617070198059,0.24595452845096588,-0.09566711634397507","0.5380587577819824,0.2600906491279602,-0.18484315276145935","0.5286811590194702,0.2605448365211487,-0.18267598748207092","0.5740350484848022,0.325909286737442,-0.06026500463485718","0.48664483428001404,0.3266837000846863,-0.03788534179329872","0.5917006731033325,0.42848941683769226,-0.03365812078118324","0.44291868805885315,0.3257891833782196,-0.13909123837947845","0.5935724973678589,0.5481765270233154,-0.052062638103961945","0.4724579453468323,0.2917291820049286,-0.2751949429512024","0.5959855318069458,0.5842439532279968,-0.06276305764913559","0.4801672399044037,0.28910472989082336,-0.31561264395713806","0.590086817741394,0.5825376510620117,-0.08843477815389633","0.48392897844314575,0.28986766934394836,-0.3011905550956726","0.58756023645401,0.5747933387756348,-0.06175179407000542","0.4825686812400818,0.29366937279701233,-0.27777567505836487","0.5562314391136169,0.5664740800857544,-0.009951458312571049","0.5068302154541016,0.5682887434959412,0.00978108961135149","0.5592626333236694,0.7208856344223022,0.03769977018237114","0.5186460018157959,0.7260754704475403,0.06674658507108688","0.557092547416687,0.8475617170333862,0.2624957859516144","0.5357173681259155,0.8470828533172607,0.2771710753440857","0.5590747594833374,0.8618417382240295,0.27960604429244995","0.5421794056892395,0.8607441186904907,0.2938840985298157","0.5482993125915527,0.9015214443206787,0.16425496339797974","0.5249286890029907,0.9047853946685791,0.19096556305885315"
