gesture,[0],[7],[8],[11],[13],[15],[23],[23]
0.0,"0.4604671597480774,0.40655434131622314,-0.39506083726882935","0.5216086506843567,0.42728084325790405,-0.12588150799274445","0.4096037745475769,0.43000805377960205,-0.18069152534008026","0.6045945286750793,0.7030926942825317,-0.09497296065092087","0.7091963887214661,0.9582364559173584,-0.5204327702522278","0.547461211681366,0.5411180257797241,-0.8386847376823425","0.6086727976799011,1.373208999633789,0.06155502051115036","0.6086727976799011,1.373208999633789,0.06155502051115036"
0.0,"0.46002721786499023,0.4204464256763458,-0.3513420820236206","0.519560694694519,0.42765116691589355,-0.08601014316082001","0.4092708230018616,0.43174850940704346,-0.1730125993490219","0.6064727306365967,0.6989836096763611,-0.04388175159692764","0.709166407585144,0.9527239203453064,-0.49830156564712524","0.545576810836792,0.5301923751831055,-0.8625971674919128","0.6108916997909546,1.3946049213409424,0.07957625389099121","0.6108916997909546,1.3946049213409424,0.07957625389099121"
0.0,"0.4593912661075592,0.4209241271018982,-0.35991373658180237","0.5143253207206726,0.4154076874256134,-0.09076911956071854","0.40856999158859253,0.4320410490036011,-0.17355874180793762","0.6083475947380066,0.6981027722358704,-0.05529074743390083","0.7093536257743835,0.948948860168457,-0.535138726234436","0.5447074174880981,0.5267717242240906,-0.9630834460258484","0.6138360500335693,1.4117387533187866,0.07769957184791565","0.6138360500335693,1.4117387533187866,0.07769957184791565"
0.0,"0.45867449045181274,0.4239047169685364,-0.30113857984542847","0.5141667127609253,0.4181806743144989,-0.03232431411743164","0.4084703028202057,0.4333469867706299,-0.13386662304401398","0.6111698746681213,0.6924327611923218,-0.0037217531353235245","0.7102295160293579,0.9489941000938416,-0.5016032457351685","0.5445048213005066,0.5211995244026184,-0.9276762008666992","0.6174011826515198,1.4194401502609253,0.08746293932199478","0.6174011826515198,1.4194401502609253,0.08746293932199478"
0.0,"0.4587303102016449,0.42393454909324646,-0.31400948762893677","0.5142090916633606,0.4181387722492218,-0.056308310478925705","0.4084378182888031,0.4331478476524353,-0.1540186107158661","0.6134344339370728,0.6857778429985046,-0.023895863443613052","0.7148515582084656,0.9445018172264099,-0.5064435005187988","0.5432249903678894,0.5157100558280945,-0.9560383558273315","0.6188269853591919,1.423096776008606,0.0876387506723404","0.6188269853591919,1.423096776008606,0.0876387506723404"
0.0,"0.46207481622695923,0.42360302805900574,-0.38814711570739746","0.5170568227767944,0.41923150420188904,-0.09201927483081818","0.40940338373184204,0.4350915253162384,-0.20743253827095032","0.6157519221305847,0.6848886609077454,-0.04095985367894173","0.7216538190841675,0.9375452399253845,-0.5152539610862732","0.5424414873123169,0.5165007710456848,-0.9404441118240356","0.6197866201400757,1.433318018913269,0.08755041658878326","0.6197866201400757,1.433318018913269,0.08755041658878326"
0.0,"0.47034016251564026,0.42338916659355164,-0.41197752952575684","0.5232099294662476,0.4187889099121094,-0.1284981369972229","0.41115444898605347,0.43600261211395264,-0.2083926498889923","0.6183604001998901,0.6827619671821594,-0.09857643395662308","0.7321251034736633,0.9229358434677124,-0.5245556831359863","0.5395910143852234,0.5164056420326233,-0.8672275543212891","0.6199799180030823,1.4388856887817383,0.07105724513530731","0.6199799180030823,1.4388856887817383,0.07105724513530731"
0.0,"0.4803197979927063,0.4398707151412964,-0.37278997898101807","0.5289950966835022,0.42007124423980713,-0.05755944922566414","0.41161665320396423,0.44197553396224976,-0.12401042878627777","0.6236035227775574,0.6828709244728088,-0.04654698446393013","0.749101459980011,0.9106525182723999,-0.514390766620636","0.5396436452865601,0.5165185332298279,-0.8710468411445618","0.6199463605880737,1.4476654529571533,0.06011195853352547","0.6199463605880737,1.4476654529571533,0.06011195853352547"
0.0,"0.48458918929100037,0.44663920998573303,-0.273113876581192","0.5325643420219421,0.42472878098487854,0.02776242233812809","0.4140474200248718,0.44500359892845154,-0.04742363467812538","0.6266019344329834,0.6909744739532471,0.023940682411193848","0.7685190439224243,0.8880004286766052,-0.36426863074302673","0.5396766066551208,0.5168781876564026,-0.5876266956329346","0.6198431253433228,1.4644908905029297,0.060396283864974976","0.6198431253433228,1.4644908905029297,0.060396283864974976"
0.0,"0.4904307425022125,0.457277774810791,-0.24576780200004578","0.5402349233627319,0.43398287892341614,0.06950797885656357","0.420743852853775,0.4526180326938629,-0.014000569470226765","0.6273503303527832,0.7090023756027222,0.05934333801269531","0.786801815032959,0.8678795099258423,-0.2977370619773865","0.5443181395530701,0.5168274641036987,-0.4598117470741272","0.614881694316864,1.4906224012374878,0.05922131985425949","0.614881694316864,1.4906224012374878,0.05922131985425949"
