gesture,[0],[7],[8],[12],[14],[16],[23],[24]
0.0,"0.4963805079460144,0.5319022536277771,-0.6046468019485474","0.5372788906097412,0.470012366771698,-0.3692566752433777","0.4334177076816559,0.44558170437812805,-0.385468989610672","0.35051479935646057,0.7436915636062622,-0.34811165928840637","0.3629763722419739,0.9957013726234436,-0.7521977424621582","0.4820745885372162,0.5097518563270569,-1.141555666923523","0.5824861526489258,1.3977619409561157,0.041826650500297546","0.39414405822753906,1.3864500522613525,-0.04205230250954628"
0.0,"0.4963761270046234,0.46773746609687805,-0.464326947927475","0.542450487613678,0.4352850615978241,-0.19409622251987457","0.4329424500465393,0.4322698414325714,-0.2303730994462967","0.3460349440574646,0.7437644004821777,-0.2737221121788025","0.3685670495033264,0.9981613755226135,-0.7062411308288574","0.48453086614608765,0.509634256362915,-1.0656723976135254","0.5859422087669373,1.4221627712249756,0.07344363629817963","0.3942475914955139,1.4232178926467896,-0.07364220172166824"
0.0,"0.4918847978115082,0.4531157314777374,-0.4800543785095215","0.5448232293128967,0.42326462268829346,-0.17364820837974548","0.4293029308319092,0.42765921354293823,-0.22002312541007996","0.34062960743904114,0.7457888126373291,-0.25935256481170654","0.37014660239219666,1.007416844367981,-0.6572531461715698","0.48795026540756226,0.5103991031646729,-1.0546834468841553","0.5875381827354431,1.4534707069396973,0.08151493966579437","0.389129102230072,1.4569416046142578,-0.08161842077970505"
0.0,"0.49145302176475525,0.43790513277053833,-0.4502507746219635","0.5457521080970764,0.4128255248069763,-0.1902659833431244","0.4290482997894287,0.4238448739051819,-0.22805890440940857","0.3394474387168884,0.7454763054847717,-0.2796897292137146","0.370311439037323,1.0098978281021118,-0.7053481936454773","0.4909413754940033,0.5109173059463501,-1.0759568214416504","0.5904249548912048,1.4635950326919556,0.08012320846319199","0.38943877816200256,1.4640204906463623,-0.080258309841156"
0.0,"0.4892037510871887,0.4386839270591736,-0.48072248697280884","0.5446065664291382,0.4147200584411621,-0.21909645199775696","0.42834416031837463,0.4203353822231293,-0.2581964433193207","0.33962303400039673,0.745470404624939,-0.3204781413078308","0.3732089698314667,1.0081720352172852,-0.8700064420700073","0.4920029640197754,0.5048543810844421,-1.3098448514938354","0.5909104943275452,1.468465805053711,0.08606131374835968","0.3903128206729889,1.4701297283172607,-0.08629294484853745"
0.0,"0.4888192117214203,0.42916542291641235,-0.45645108819007874","0.5444706678390503,0.4027835726737976,-0.19983646273612976","0.4272165298461914,0.4070395529270172,-0.23711517453193665","0.3394995927810669,0.7453975081443787,-0.31044572591781616","0.3745221793651581,1.0081219673156738,-0.8299371004104614","0.49158111214637756,0.5036513209342957,-1.2338149547576904","0.5933037400245667,1.4750429391860962,0.08488105982542038","0.3914204239845276,1.4785794019699097,-0.08511994779109955"
0.0,"0.48868411779403687,0.4391918480396271,-0.5720824003219604","0.5433679223060608,0.40783318877220154,-0.28070324659347534","0.4272073209285736,0.40851813554763794,-0.31231948733329773","0.3419003486633301,0.7453292608261108,-0.3509178161621094","0.3760380446910858,0.9946947693824768,-0.8835456967353821","0.4860656261444092,0.49971720576286316,-1.3422026634216309","0.5997469425201416,1.476076602935791,0.08306652307510376","0.39585259556770325,1.4785802364349365,-0.08332039415836334"
0.0,"0.4850814938545227,0.42639297246932983,-0.5716131925582886","0.5426177382469177,0.40200096368789673,-0.28037431836128235","0.42449885606765747,0.40738731622695923,-0.3102976977825165","0.34190911054611206,0.7452157139778137,-0.34619271755218506","0.3747488260269165,0.9954731464385986,-0.8428547978401184","0.4808921813964844,0.49988052248954773,-1.2752273082733154","0.5990577340126038,1.490155577659607,0.08288146555423737","0.39318689703941345,1.4868218898773193,-0.08312919735908508"
0.0,"0.4818941056728363,0.4282648265361786,-0.5872679352760315","0.5418621897697449,0.38990941643714905,-0.2916368544101715","0.4227987825870514,0.39907708764076233,-0.3122333884239197","0.3422819972038269,0.745456874370575,-0.3443453013896942","0.3747093081474304,0.975887656211853,-0.8290085792541504","0.4688341021537781,0.4917685091495514,-1.2558650970458984","0.6008657813072205,1.4922757148742676,0.07120760530233383","0.39319324493408203,1.486581802368164,-0.07123322039842606"
0.0,"0.47924527525901794,0.43061012029647827,-0.46194344758987427","0.541650652885437,0.3929678499698639,-0.20432910323143005","0.42344409227371216,0.4004420340061188,-0.20828111469745636","0.3440297245979309,0.748597264289856,-0.2565464675426483","0.3661287724971771,0.9685722589492798,-0.7228281497955322","0.46723395586013794,0.4922311007976532,-1.1488173007965088","0.600849986076355,1.4943294525146484,0.06315907090902328","0.39283639192581177,1.4858932495117188,-0.06327307224273682"
0.0,"0.47878512740135193,0.4330624043941498,-0.40489673614501953","0.5414366126060486,0.39500701427459717,-0.15214195847511292","0.4241103231906891,0.4132963716983795,-0.17100749909877777","0.3507636785507202,0.7571003437042236,-0.227365642786026","0.3607209324836731,0.9701089859008789,-0.6362454891204834","0.45717281103134155,0.4926058351993561,-0.9908663034439087","0.6009884476661682,1.5007680654525757,0.06317024677991867","0.3930779993534088,1.4948863983154297,-0.06328953057527542"
0.0,"0.4790903925895691,0.4490143656730652,-0.491496741771698","0.5415469408035278,0.3952491283416748,-0.18933777511119843","0.4241676330566406,0.426483690738678,-0.2004052847623825","0.3550010323524475,0.7664995789527893,-0.25250327587127686","0.3493179380893707,0.9775291681289673,-0.6858315467834473","0.4453795552253723,0.4930908679962158,-1.0522056818008423","0.6000356674194336,1.5064400434494019,0.07027529925107956","0.39089712500572205,1.5012456178665161,-0.07048045843839645"
0.0,"0.4799136519432068,0.45715662837028503,-0.5530403852462769","0.5426251292228699,0.39626994729042053,-0.2670459449291229","0.42346686124801636,0.4266167879104614,-0.27530068159103394","0.35539495944976807,0.7704495191574097,-0.2668237090110779","0.3409726023674011,0.980014979839325,-0.7321376800537109","0.4349251687526703,0.4960457682609558,-1.1432210206985474","0.5994141101837158,1.5134116411209106,0.05583807826042175","0.3893830180168152,1.508366346359253,-0.05605335161089897"
0.0,"0.48009657859802246,0.4651777446269989,-0.5519295930862427","0.5425925850868225,0.39736929535865784,-0.2731805443763733","0.4234064221382141,0.42886313796043396,-0.28045350313186646","0.35589057207107544,0.770283579826355,-0.27252981066703796","0.3344549834728241,0.9829195737838745,-0.7506782412528992","0.4303992688655853,0.4962044060230255,-1.1841254234313965","0.5975687503814697,1.5159056186676025,0.044194869697093964","0.3890240788459778,1.5093680620193481,-0.044470686465501785"
0.0,"0.479733407497406,0.4685302674770355,-0.5125689506530762","0.5423074960708618,0.4002963900566101,-0.25145912170410156","0.4234534800052643,0.43632856011390686,-0.24178819358348846","0.35813164710998535,0.772796094417572,-0.2455875426530838","0.33258235454559326,0.9830319881439209,-0.6676491498947144","0.42984357476234436,0.4974101483821869,-1.0271046161651611","0.5973395705223083,1.5183113813400269,0.038924261927604675","0.38905781507492065,1.5113054513931274,-0.03921350836753845"
0.0,"0.48170027136802673,0.4726864695549011,-0.5741296410560608","0.542585551738739,0.4120194613933563,-0.264653742313385","0.4236856997013092,0.44083166122436523,-0.27317169308662415","0.358377069234848,0.7754353284835815,-0.2549313008785248","0.330991268157959,0.9831482768058777,-0.68874591588974","0.4270382821559906,0.5014743208885193,-1.101838231086731","0.5925430655479431,1.518430471420288,0.040802568197250366","0.385606050491333,1.509361743927002,-0.04107661917805672"
0.0,"0.48032188415527344,0.48405519127845764,-0.42554062604904175","0.5418553948402405,0.4229079484939575,-0.15712866187095642","0.4237074851989746,0.45119398832321167,-0.17320328950881958","0.36105117201805115,0.7766475081443787,-0.19474852085113525","0.3310500383377075,0.9833531975746155,-0.5789945721626282","0.4294849932193756,0.5051741003990173,-0.9699966311454773","0.5919774174690247,1.5176962614059448,0.042032640427351","0.38611921668052673,1.5080456733703613,-0.042311809957027435"
0.0,"0.4806404709815979,0.49129539728164673,-0.45776277780532837","0.5418862700462341,0.4378035366535187,-0.18719756603240967","0.4250878393650055,0.4549647569656372,-0.203011155128479","0.36080044507980347,0.7863399982452393,-0.22005200386047363","0.3305390179157257,0.9834997653961182,-0.6229679584503174","0.4311142563819885,0.5058239698410034,-1.0210180282592773","0.5875007510185242,1.5286527872085571,0.04291466996073723","0.3839186728000641,1.5186554193496704,-0.043239250779151917"
0.0,"0.4798974096775055,0.5091500878334045,-0.4302256107330322","0.5410836935043335,0.4477563500404358,-0.15123024582862854","0.42509716749191284,0.46666768193244934,-0.17260853946208954","0.36136600375175476,0.7909221053123474,-0.19124984741210938","0.3310016691684723,0.9868465662002563,-0.5993819236755371","0.432363897562027,0.5091122388839722,-1.0071629285812378","0.5875613689422607,1.5333843231201172,0.04337729141116142","0.38437920808792114,1.5247464179992676,-0.043684013187885284"
0.0,"0.4787455201148987,0.5131695866584778,-0.42384472489356995","0.5401898622512817,0.4547554552555084,-0.17262117564678192","0.42514151334762573,0.4756685495376587,-0.18433386087417603","0.36124205589294434,0.7912365198135376,-0.20528948307037354","0.3284951150417328,0.9869059920310974,-0.6277027726173401","0.4346121847629547,0.5105198621749878,-1.032764196395874","0.5831139087677002,1.5379043817520142,0.03894172981381416","0.38322165608406067,1.5262329578399658,-0.0393349714577198"
0.0,"0.48261505365371704,0.5133664608001709,-0.42508235573768616","0.540196418762207,0.45943692326545715,-0.17954537272453308","0.42730340361595154,0.4751092791557312,-0.18997199833393097","0.3611862361431122,0.7868903875350952,-0.21025200188159943","0.3177087604999542,0.9869515299797058,-0.6395708322525024","0.43829411268234253,0.5096493363380432,-1.032667636871338","0.5800292491912842,1.5373293161392212,0.03694964572787285","0.3817512094974518,1.5257948637008667,-0.03737702965736389"
