gesture,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20]
0.0,"0.3741072118282318,0.5760897397994995,-1.9028408360100002e-07","0.3965892195701599,0.551581859588623,-0.0089625883847475","0.413578987121582,0.5076372027397156,-0.0123169859871268","0.4081669449806213,0.4684737920761108,-0.0154432794079184","0.3906083106994629,0.4611202776432037,-0.0161917004734277","0.4013200998306274,0.4715799391269684,-0.0004243300645612","0.4029893279075622,0.441790759563446,-0.0116859916597604","0.4032603502273559,0.4768260419368744,-0.016150277107954","0.4023453593254089,0.4869261682033539,-0.0178168267011642","0.3851886093616485,0.4732238948345184,-0.0008503053104504","0.3862659931182861,0.4463925659656524,-0.0146467750892043","0.3898753225803375,0.4881001114845276,-0.0165826696902513","0.389232337474823,0.4932442307472229,-0.0144643783569335","0.3706750869750976,0.4796612858772278,-0.0034355095122009","0.3711706399917602,0.4585093557834625,-0.0181035604327917","0.3771067857742309,0.4977152943611145,-0.0132950088009238","0.3766482770442962,0.5037070512771606,-0.0062538711354136","0.3552114367485046,0.4890800714492798,-0.0066702752374112","0.3586272895336151,0.4719176292419433,-0.0139691075310111","0.3642896711826324,0.4989869296550751,-0.0086554046720266","0.3635243475437164,0.5063017010688782,-0.0027138292789459"
0.0,"0.3741136491298675,0.5710577964782715,-1.494492209985765e-07","0.3958459198474884,0.5546109676361084,-0.0069425487890839","0.4124929904937744,0.5094054341316223,-0.0086690243333578","0.4062108397483825,0.4682549834251404,-0.0100904963910579","0.3878783881664276,0.4643619954586029,-0.009233140386641","0.4018236696720123,0.4714133143424988,-0.0014590650098398","0.4037473797798157,0.4388426840305328,-0.0114673031494021","0.4035082161426544,0.4750543236732483,-0.0155044198036193","0.4019796848297119,0.4880244433879852,-0.0170873440802097","0.3866126835346222,0.473903477191925,-0.0024077545385807","0.3873424232006073,0.4470990002155304,-0.0133261820301413","0.3904032111167907,0.489475667476654,-0.0144512234255671","0.3888877630233764,0.4935570955276489,-0.0127146709710359","0.3722802102565765,0.4816408157348633,-0.0050451038405299","0.3719639182090759,0.4594288766384125,-0.0177794136106967","0.3779619336128235,0.4994153976440429,-0.0133063523098826","0.3774341642856598,0.5040541887283325,-0.0072403084486722","0.3565842509269714,0.491509348154068,-0.0080218194052577","0.3592241108417511,0.4748170077800751,-0.0149554247036576","0.3655847311019897,0.5020497441291809,-0.0098529485985636","0.3653527796268463,0.5086603164672852,-0.0043926686048507"
0.0,"0.3743580281734466,0.5698409676551819,-1.437437475715342e-07","0.3963946998119354,0.5532045364379883,-0.0065737557597458","0.413172572851181,0.5097254514694214,-0.0084277726709842","0.4069138467311859,0.4686800539493561,-0.0100528709590435","0.3888106048107147,0.4631317555904388,-0.0094490069895982","0.4022704362869262,0.4712269008159637,-0.00133710692171","0.4037155210971832,0.4396131038665771,-0.0112006515264511","0.4033909738063812,0.4755912721157074,-0.0153759904205799","0.4030047059059143,0.4879625737667084,-0.0172765851020813","0.3869958817958832,0.4732555150985718,-0.0024648010730743","0.3879817724227905,0.4468432962894439,-0.0133728114888072","0.3906725943088531,0.4892123937606811,-0.0146051617339253","0.3895353972911834,0.4936712682247162,-0.0130833089351654","0.3724985420703888,0.4805868268013,-0.0052158758044242","0.3723601400852203,0.4586533010005951,-0.0179367717355489","0.377872496843338,0.4989996552467346,-0.0135339992120862","0.3774199485778808,0.5044044256210327,-0.007627292536199","0.3568241596221924,0.4904024004936218,-0.0082794846966862","0.3596916794776916,0.4746540486812591,-0.0155019452795386","0.3654769957065582,0.5021693110466003,-0.0107012428343296","0.3650803864002228,0.508806049823761,-0.005486193113029"
0.0,"0.3746778964996338,0.5688012838363647,-1.4646772683590825e-07","0.3967164754867553,0.5554983019828796,-0.0065991301089525","0.4131748974323272,0.5101162791252136,-0.0078835235908627","0.4072015881538391,0.4680908024311065,-0.0088790571317076","0.389028936624527,0.4632467031478882,-0.0076385736465454","0.4026618003845215,0.4714832603931427,-0.0008632278768345","0.4041548073291778,0.4405097961425781,-0.0103777134791016","0.4037347435951233,0.4756714105606079,-0.0144558195024728","0.4032528698444366,0.4879531264305115,-0.016398461535573","0.387535959482193,0.4734241962432861,-0.00183580245357","0.388504296541214,0.4472548961639404,-0.0125958314165472","0.3910068273544311,0.4896222651004791,-0.0137412846088409","0.3898924589157104,0.49411740899086,-0.0120854536071419","0.3730421066284179,0.4805023372173309,-0.0044845300726592","0.373059332370758,0.4591415226459503,-0.0170844942331314","0.3783724009990692,0.4992752373218536,-0.0127614038065075","0.3778605759143829,0.5045121908187866,-0.0069194310344755","0.3573201596736908,0.4896852970123291,-0.0074759190902113","0.3605116605758667,0.475259393453598,-0.014849878847599","0.3659934103488922,0.502747118473053,-0.0104112271219491","0.3655272722244262,0.5087831020355225,-0.0054745152592659"
0.0,"0.3746412098407745,0.5674099326133728,-1.466444246034371e-07","0.3967462182044983,0.5550331473350525,-0.0067973998375236","0.4137941598892212,0.5096722841262817,-0.0079751964658498","0.4077517986297607,0.4678201973438263,-0.0087162666022777","0.3891486227512359,0.4639662206172943,-0.0071559911593794","0.4030197262763977,0.4708108007907867,-0.001297814073041","0.4048776924610138,0.4396399855613708,-0.0106214703992009","0.4039073288440704,0.4752346575260162,-0.0144523549824953","0.4029864072799682,0.4868681728839874,-0.0162942055612802","0.3879486322402954,0.472608208656311,-0.0020949735771864","0.3890683054924011,0.4463571906089782,-0.0124451983720064","0.3913711607456207,0.4895027279853821,-0.0131516298279166","0.3903394341468811,0.4931555390357971,-0.0112540088593959","0.3734368085861206,0.4795803427696228,-0.0045754774473607","0.3733637630939483,0.458439290523529,-0.0168368592858314","0.3786024153232574,0.4989404082298279,-0.0122729716822505","0.3781682252883911,0.5034710764884949,-0.0063756583258509","0.3576207458972931,0.488687515258789,-0.0074236285872757","0.3606308996677398,0.4747344553470611,-0.0146171860396862","0.3660474717617035,0.5023959875106812,-0.0101022338494658","0.3654845356941223,0.5079990029335022,-0.005178396590054"
0.0,"0.3757948875427246,0.5682682394981384,-1.380461469580041e-07","0.3974332511425018,0.5539711117744446,-0.0066175567917525","0.4140785336494446,0.5089991092681885,-0.0080157062038779","0.4077820479869842,0.4674347937107086,-0.0091153951361775","0.3893764019012451,0.4624164700508117,-0.0079890256747603","0.4035885035991668,0.4702523350715637,-0.0009101381292566","0.4051803946495056,0.4393092095851898,-0.0104372557252645","0.4045100808143616,0.4744853973388672,-0.0145355518907308","0.4037762284278869,0.4866372644901275,-0.0164454672485589","0.388355553150177,0.4722258746623993,-0.0019582950044423","0.3892658948898315,0.4460095763206482,-0.0124846305698156","0.3919256925582886,0.4885143637657165,-0.0135532617568969","0.3909061253070831,0.492794781923294,-0.0118810245767235","0.3736489415168762,0.47958505153656,-0.004675505682826","0.373485267162323,0.4573332667350769,-0.0172443632036447","0.379112184047699,0.4978424608707428,-0.0129438107833266","0.3786967992782593,0.5032386183738708,-0.0070867482572793","0.3576745986938476,0.4893741905689239,-0.0077132964506745","0.3609081208705902,0.4739161133766174,-0.0151376249268651","0.3667372763156891,0.5014709234237671,-0.0105901174247264","0.3663777112960815,0.5078649520874023,-0.0055132335983216"
0.0,"0.3754141330718994,0.5688220262527466,-1.3984944757794437e-07","0.3974988460540771,0.5542957186698914,-0.0070859119296073","0.4144988656044006,0.5093487501144409,-0.0086801797151565","0.408496618270874,0.4675289094448089,-0.0099355699494481","0.3901925981044769,0.4618312418460846,-0.0089746490120887","0.4032241106033325,0.470708817243576,-0.0010173798073083","0.4051790237426758,0.4398019909858703,-0.0107503309845924","0.4045960009098053,0.4748796224594116,-0.0149429561570286","0.4037497937679291,0.4870717823505401,-0.016865799203515","0.3881219327449798,0.472320556640625,-0.0018557651201263","0.3895703852176666,0.4465861022472381,-0.0126896165311336","0.3920336961746216,0.4888113439083099,-0.0139231141656637","0.3907936215400696,0.4929454922676086,-0.0122730415314435","0.3735469579696655,0.4794552028179168,-0.0044394107535481","0.3739336431026459,0.4577269554138183,-0.0173102803528308","0.3792620897293091,0.4980974197387695,-0.0131027577444911","0.3786242306232452,0.5032317042350769,-0.0072186803445219","0.3576213121414184,0.4891949594020843,-0.0073844930157065","0.3612442910671234,0.4745692014694214,-0.0149834854528307","0.3667836785316467,0.501850426197052,-0.0105537017807364","0.3661577701568603,0.5077720880508423,-0.0055135777220129"
0.0,"0.3756958246231079,0.570440411567688,-1.3208129701069993e-07","0.3973167538642883,0.5534563660621643,-0.0072167753241956","0.4140886664390564,0.5093224048614502,-0.0090537015348672","0.4078517258167267,0.4684681594371795,-0.0105183431878685","0.3897608518600464,0.4617998898029327,-0.0097372019663453","0.4031867980957031,0.471369206905365,-0.0008106106542982","0.4053561985492706,0.4409100413322449,-0.0106422426179051","0.4050184190273285,0.475451797246933,-0.0149597777053713","0.404033750295639,0.4871417582035064,-0.0169299989938735","0.3880984485149383,0.4726962149143219,-0.0016731837531551","0.3896184861660003,0.4463838338851928,-0.0125202760100364","0.3922807872295379,0.4882848560810089,-0.0139789106324315","0.3909418284893036,0.4924597442150116,-0.012445081025362","0.3735294640064239,0.4797212183475494,-0.0043022576719522","0.3739599287509918,0.4587986171245575,-0.0173012446612119","0.3794441223144531,0.4989642202854156,-0.013376010581851","0.3786827325820923,0.5035204291343689,-0.0075849392451345","0.3577029705047607,0.4897732138633728,-0.007281775586307","0.3613838255405426,0.4753568172454834,-0.014852718450129","0.3670101165771484,0.5023033618927002,-0.0104164760559797","0.3661179542541504,0.5078346133232117,-0.0053282538428902"
0.0,"0.3756378591060638,0.5691812038421631,-1.4367556389061065e-07","0.3973366916179657,0.5546813607215881,-0.006903217639774","0.4141887724399566,0.5097394585609436,-0.0084938025102019","0.4084217548370361,0.4681486487388611,-0.0097453212365508","0.3900867402553558,0.4635232090950012,-0.0087694581598043","0.4033797979354858,0.4708357155323028,-0.0012660154607146","0.405510663986206,0.4402463734149933,-0.0106968199834227","0.4048385918140411,0.4757043719291687,-0.0146532114595174","0.4035446941852569,0.4872617721557617,-0.0164988245815038","0.3883399367332458,0.472728431224823,-0.0021194487344473","0.3897000849246979,0.4472198784351349,-0.0126477656885981","0.3922111988067627,0.4896705448627472,-0.0136683918535709","0.3906709849834442,0.4932802021503448,-0.0119614992290735","0.3739844560623169,0.4799227118492126,-0.0046373112127184","0.3739102780818939,0.45872363448143,-0.0170112960040569","0.3794149458408355,0.4988578259944916,-0.0125964619219303","0.3787250220775604,0.5035977959632874,-0.0067288437858223","0.3582940995693207,0.4893100559711456,-0.0075199212878942","0.3612025678157806,0.4749661982059479,-0.0146084455773234","0.3669078946113586,0.5021293759346008,-0.0099764307960867","0.3664548993110657,0.5079225897789001,-0.0049131913110613"
0.0,"0.3759108185768127,0.5703224539756775,-1.3910232610214734e-07","0.3975560963153839,0.555147647857666,-0.0069163055159151","0.4141620099544525,0.5094832181930542,-0.0084532285109162","0.4084122776985168,0.467864453792572,-0.0097148530185222","0.3899804949760437,0.4626718163490295,-0.0087513802573084","0.4037984907627105,0.4708121418952942,-0.0004210644110571","0.405322790145874,0.4408833980560303,-0.0101168192923069","0.4048159718513489,0.4753964841365814,-0.0144258625805377","0.4039638936519623,0.487435519695282,-0.0164312068372964","0.3886242806911468,0.4725107848644256,-0.0013905524974688","0.3895754516124725,0.4469601511955261,-0.012226665392518","0.3923146426677704,0.4891959428787231,-0.0135546242818236","0.391146183013916,0.4934544861316681,-0.0119002154096961","0.3740167617797851,0.4796684384346008,-0.0041255806572735","0.3737447559833526,0.4586784541606903,-0.0170204695314168","0.3794605433940887,0.4988992214202881,-0.0129329515621066","0.378955066204071,0.5038745403289795,-0.0070647811517119","0.3581254482269287,0.4893749058246612,-0.007221030537039","0.3612197637557983,0.4747551381587982,-0.0148095302283763","0.3668404519557953,0.5019264221191406,-0.0103977564722299","0.3663415610790252,0.507722020149231,-0.0053366567008197"
