gesture,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20]
0.0,"0.2841726541519165,0.4803640842437744,-1.723850573398522e-07","0.32505881786346436,0.4172247052192688,-0.007331648841500282","0.348855197429657,0.3228287696838379,-0.01333193015307188","0.35779833793640137,0.24961824715137482,-0.021298902109265327","0.33308038115501404,0.22018741071224213,-0.024319728836417198","0.2770961821079254,0.224241241812706,0.00016101566143333912","0.3094666600227356,0.17562651634216309,-0.02348988503217697","0.32335537672042847,0.25527438521385193,-0.03266739845275879","0.3134169280529022,0.2837490737438202,-0.035119496285915375","0.2545241713523865,0.2323434054851532,-0.007065049838274717","0.2994316518306732,0.19552338123321533,-0.031641457229852676","0.31299567222595215,0.29093700647354126,-0.03438950330018997","0.2957555055618286,0.30507081747055054,-0.03124620020389557","0.23629716038703918,0.2494186908006668,-0.01762528531253338","0.28569382429122925,0.21747291088104248,-0.044763557612895966","0.29721277952194214,0.30679818987846375,-0.03561313450336456","0.2783503234386444,0.32334104180336,-0.023025857284665108","0.2195853292942047,0.27666518092155457,-0.02860107645392418","0.2690485417842865,0.2489488571882248,-0.044361378997564316","0.27854806184768677,0.30765992403030396,-0.03447701409459114","0.26016566157341003,0.32840603590011597,-0.023253684863448143"
0.0,"0.2830269932746887,0.48498016595840454,-3.2544835448788945e-07","0.325806587934494,0.4204789996147156,-0.013485758565366268","0.3589400053024292,0.33407601714134216,-0.023746369406580925","0.3670038878917694,0.2553880512714386,-0.03586249798536301","0.3348223865032196,0.22919687628746033,-0.04335639253258705","0.3035905361175537,0.22486582398414612,0.004175376612693071","0.3327378034591675,0.1796289086341858,-0.023982422426342964","0.33942607045173645,0.2584886848926544,-0.03745293989777565","0.32680246233940125,0.2859121263027191,-0.0428006537258625","0.2748694121837616,0.2318088710308075,-0.0015254796016961336","0.3099214434623718,0.19206023216247559,-0.030367152765393257","0.3200579881668091,0.28857141733169556,-0.035198334604501724","0.3043397068977356,0.30348432064056396,-0.03161058574914932","0.24803945422172546,0.2499016672372818,-0.012157300487160683","0.28705132007598877,0.22013989090919495,-0.042984236031770706","0.2985208332538605,0.3094954788684845,-0.03528118133544922","0.2815868854522705,0.32621726393699646,-0.022130325436592102","0.22235062718391418,0.27710339426994324,-0.023875098675489426","0.2624119818210602,0.24808162450790405,-0.04006378725171089","0.27429601550102234,0.3092205822467804,-0.030819710344076157","0.2595570385456085,0.33238521218299866,-0.019042110070586205"
0.0,"0.2813994586467743,0.48438286781311035,-2.9064241857668094e-07","0.325767457485199,0.4284161925315857,-0.016485033556818962","0.3622288107872009,0.3402051031589508,-0.02681649662554264","0.37177032232284546,0.2589481472969055,-0.0379021093249321","0.3389907777309418,0.23752838373184204,-0.044358231127262115","0.3095717132091522,0.22577443718910217,-0.0017473738407716155","0.3373711109161377,0.18354707956314087,-0.02843472547829151","0.3431815505027771,0.2649644613265991,-0.04098517447710037","0.3296664357185364,0.2856990098953247,-0.046380456537008286","0.280026912689209,0.23189082741737366,-0.005824504420161247","0.3135566711425781,0.19702354073524475,-0.03554869815707207","0.3228875398635864,0.29392391443252563,-0.04197068512439728","0.3059961795806885,0.30546316504478455,-0.03967531397938728","0.25193944573402405,0.2497558444738388,-0.014112883247435093","0.28863683342933655,0.22315974533557892,-0.046426545828580856","0.30046510696411133,0.31482505798339844,-0.03971388563513756","0.2829495966434479,0.3290354907512665,-0.02694602496922016","0.22434821724891663,0.2765582501888275,-0.023329583927989006","0.26421669125556946,0.24835437536239624,-0.04092206060886383","0.2763355076313019,0.3108120560646057,-0.03153380751609802","0.2610345780849457,0.33264267444610596,-0.019456349313259125"
0.0,"0.2830630838871002,0.4840969741344452,-2.745261156178458e-07","0.3271629214286804,0.4318789839744568,-0.016848037019371986","0.364976167678833,0.3455919623374939,-0.02722274139523506","0.37477242946624756,0.2648116946220398,-0.03831573575735092","0.3423391580581665,0.2379683554172516,-0.044641219079494476","0.31766825914382935,0.2337951958179474,-0.0024776714853942394","0.34329622983932495,0.18786919116973877,-0.029550032690167427","0.3477954566478729,0.2691534459590912,-0.04170180484652519","0.3353816866874695,0.2884431481361389,-0.046698518097400665","0.28711533546447754,0.23762530088424683,-0.0064187501557171345","0.31888675689697266,0.1989017128944397,-0.036209773272275925","0.3265542685985565,0.29718533158302307,-0.04188329353928566","0.3104110360145569,0.30504047870635986,-0.03898746892809868","0.2575751841068268,0.25258731842041016,-0.014707920141518116","0.29269611835479736,0.22463902831077576,-0.04756850376725197","0.3034151494503021,0.3175085484981537,-0.040242429822683334","0.2865789830684662,0.32831135392189026,-0.027018120512366295","0.22772499918937683,0.2761688232421875,-0.02392587624490261","0.26722240447998047,0.2503163516521454,-0.04207027330994606","0.2789333462715149,0.3140982389450073,-0.032440319657325745","0.2640087306499481,0.3337598443031311,-0.02016199193894863"
0.0,"0.28297144174575806,0.4835391640663147,-2.6867999736168713e-07","0.32730695605278015,0.4346368908882141,-0.017938869073987007","0.36677441000938416,0.35113105177879333,-0.02883659489452839","0.37755823135375977,0.2705823481082916,-0.04016333818435669","0.3460475206375122,0.23705047369003296,-0.04647437855601311","0.3225446343421936,0.23802316188812256,-0.0037208886351436377","0.3484586775302887,0.1931358277797699,-0.030912764370441437","0.3508807122707367,0.2751157879829407,-0.04295874759554863","0.3384398818016052,0.2925354242324829,-0.04802091419696808","0.29175078868865967,0.23894552886486053,-0.007099012844264507","0.3232990503311157,0.20261457562446594,-0.036894481629133224","0.328651487827301,0.3012657165527344,-0.04226355999708176","0.31296831369400024,0.30634212493896484,-0.03927941992878914","0.261687695980072,0.2518220543861389,-0.014915641397237778","0.29639023542404175,0.22619390487670898,-0.047585971653461456","0.3051774203777313,0.31909143924713135,-0.04001495987176895","0.2885919213294983,0.32746800780296326,-0.026892945170402527","0.23102280497550964,0.27352598309516907,-0.023815883323550224","0.27043381333351135,0.2539421617984772,-0.04225783795118332","0.28075355291366577,0.3171447217464447,-0.03315933048725128","0.26580923795700073,0.3332919180393219,-0.021320927888154984"
0.0,"0.28265896439552307,0.4831806421279907,-2.6947429887513863e-07","0.3268699645996094,0.4372056722640991,-0.018215641379356384","0.36818012595176697,0.3552398979663849,-0.029023118317127228","0.3791124224662781,0.27528080344200134,-0.039961714297533035","0.34777647256851196,0.24292650818824768,-0.045961763709783554","0.3272085189819336,0.2413555532693863,-0.005604402627795935","0.3533362150192261,0.1974804401397705,-0.03149593248963356","0.35459375381469727,0.2790519595146179,-0.04244432970881462","0.341085284948349,0.29484161734580994,-0.04714478552341461","0.2961548864841461,0.24114853143692017,-0.008722160011529922","0.3270687758922577,0.2058340311050415,-0.037268709391355515","0.3318483829498291,0.3038998544216156,-0.04219696670770645","0.3157337009906769,0.3073260486125946,-0.039532966911792755","0.2656886577606201,0.2535753846168518,-0.015960628166794777","0.29908886551856995,0.22766035795211792,-0.04773640260100365","0.30787840485572815,0.32121482491493225,-0.039768509566783905","0.29115113615989685,0.32944855093955994,-0.026936175301671028","0.2341843843460083,0.2750755548477173,-0.02424701303243637","0.2723258435726166,0.2554807960987091,-0.042472366243600845","0.28250911831855774,0.3186638057231903,-0.03317948803305626","0.26741597056388855,0.3340805172920227,-0.02150685340166092"
0.0,"0.2818048298358917,0.48136067390441895,-2.767877731457702e-07","0.3258189558982849,0.44182848930358887,-0.019073985517024994","0.37026187777519226,0.3609391748905182,-0.02997741289436817","0.38142749667167664,0.2798166275024414,-0.04061990976333618","0.3496040105819702,0.24658483266830444,-0.04617967829108238","0.33405429124832153,0.2466810941696167,-0.007713414262980223","0.3591117858886719,0.20029833912849426,-0.03400406241416931","0.35810935497283936,0.2831610143184662,-0.045040156692266464","0.3453504741191864,0.29876741766929626,-0.04982510954141617","0.30166539549827576,0.24332183599472046,-0.010434099473059177","0.3305777609348297,0.20731103420257568,-0.03937818109989166","0.3330771028995514,0.3061477839946747,-0.04405025392770767","0.3180539608001709,0.30832430720329285,-0.04108487442135811","0.269940048456192,0.2537221908569336,-0.017244040966033936","0.3006870448589325,0.22881487011909485,-0.048898547887802124","0.307998925447464,0.3223000466823578,-0.04052677005529404","0.29263392090797424,0.32849594950675964,-0.027531415224075317","0.23736807703971863,0.2726200222969055,-0.025192325934767723","0.27325791120529175,0.2561461627483368,-0.04322459548711777","0.2827500104904175,0.31933072209358215,-0.03381036967039108","0.2687785029411316,0.33212578296661377,-0.022118253633379936"
0.0,"0.27604082226753235,0.4760505259037018,-2.9975262805237435e-07","0.3218468427658081,0.4487229585647583,-0.02161361090838909","0.37334316968917847,0.36841651797294617,-0.03234870731830597","0.38415563106536865,0.2833024561405182,-0.041763875633478165","0.3500574231147766,0.25354114174842834,-0.04565075784921646","0.34481850266456604,0.250907301902771,-0.010579323396086693","0.36818593740463257,0.20497794449329376,-0.037084370851516724","0.3630014657974243,0.28987234830856323,-0.04742957279086113","0.35169699788093567,0.304580420255661,-0.05190778151154518","0.3102163076400757,0.23907791078090668,-0.01231297105550766","0.3356996476650238,0.20687146484851837,-0.04194271191954613","0.3341580331325531,0.3072212338447571,-0.04562899470329285","0.3221518099308014,0.3081222474575043,-0.0414469912648201","0.27642303705215454,0.2450682669878006,-0.01839173026382923","0.3022458255290985,0.23155027627944946,-0.049937859177589417","0.3064447045326233,0.32469645142555237,-0.04097793251276016","0.29488304257392883,0.3267126977443695,-0.027571631595492363","0.24216535687446594,0.260032057762146,-0.025983644649386406","0.2726324796676636,0.25827938318252563,-0.043408650904893875","0.28098705410957336,0.32247069478034973,-0.034273192286491394","0.2712942361831665,0.32908859848976135,-0.02295616641640663"
0.0,"0.2725653052330017,0.468423068523407,-3.0692348218508414e-07","0.3203829824924469,0.44737207889556885,-0.02117418870329857","0.375020831823349,0.3741982877254486,-0.031495269387960434","0.385734498500824,0.29313236474990845,-0.04048171639442444","0.35060814023017883,0.2701317369937897,-0.04427306354045868","0.3511298894882202,0.24200037121772766,-0.011484441347420216","0.3752315044403076,0.212552011013031,-0.03658581152558327","0.3649604022502899,0.29683175683021545,-0.04717500880360603","0.3536556363105774,0.306843638420105,-0.05286083742976189","0.3156317174434662,0.22383621335029602,-0.014019103720784187","0.34108006954193115,0.2139124572277069,-0.0417749360203743","0.33492282032966614,0.3118534982204437,-0.045657649636268616","0.3239280581474304,0.3096337616443634,-0.04270417243242264","0.2805902063846588,0.2279181182384491,-0.020586930215358734","0.30517515540122986,0.23397281765937805,-0.05066540464758873","0.3049728572368622,0.32670754194259644,-0.04260651394724846","0.29420843720436096,0.3259911835193634,-0.03075283020734787","0.24553778767585754,0.24326136708259583,-0.028817282989621162","0.2738161087036133,0.2583919167518616,-0.045767642557621","0.27826642990112305,0.32340365648269653,-0.037434935569763184","0.26861315965652466,0.32650426030158997,-0.02725844271481037"
0.0,"0.2717823088169098,0.459026038646698,-2.685064828256145e-07","0.3192446231842041,0.4420340061187744,-0.026714861392974854","0.3734602928161621,0.3878765404224396,-0.04203736409544945","0.3841685354709625,0.3191949725151062,-0.05460332706570625","0.34891489148139954,0.2887831926345825,-0.06218869984149933","0.35223519802093506,0.20964056253433228,-0.01839166134595871","0.3775363862514496,0.2232862412929535,-0.04544271528720856","0.3653974235057831,0.3037984371185303,-0.06083369255065918","0.3522651195526123,0.3088580369949341,-0.07033427804708481","0.3155423700809479,0.18732118606567383,-0.018618477508425713","0.33843284845352173,0.23104149103164673,-0.04542768374085426","0.3324338495731354,0.3219148814678192,-0.053193431347608566","0.3228070139884949,0.3159073293209076,-0.054414357990026474","0.2794695496559143,0.19729551672935486,-0.02286236174404621","0.3008311986923218,0.2569216787815094,-0.05023805797100067","0.30147984623908997,0.33802756667137146,-0.046633001416921616","0.29354551434516907,0.33033692836761475,-0.03942186012864113","0.24557380378246307,0.22323721647262573,-0.02963186241686344","0.2688131034374237,0.2821691036224365,-0.04631659388542175","0.2744470536708832,0.33903777599334717,-0.04254858195781708","0.269539475440979,0.3349285125732422,-0.03600697964429855"
