gesture,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20]
0.0,"0.43579140305519104,0.6845722198486328,-7.933667056647664e-09","0.3914591670036316,0.6513991355895996,-0.030271442607045174","0.3493373692035675,0.6190668344497681,-0.06529276818037033","0.34138405323028564,0.5682202577590942,-0.09124519675970078","0.3706282079219818,0.5477101802825928,-0.11267470568418503","0.3494669198989868,0.8120036125183105,-0.12871122360229492","0.3501182198524475,0.6434540748596191,-0.17210522294044495","0.3672023117542267,0.6116299033164978,-0.1776130497455597","0.37816521525382996,0.6392278671264648,-0.1725180596113205","0.4035305976867676,0.8369036912918091,-0.1252182573080063","0.4101884961128235,0.6057537794113159,-0.17567552626132965","0.4137522280216217,0.6240520477294922,-0.16639429330825806","0.4102499186992645,0.6852388978004456,-0.15167900919914246","0.4567275643348694,0.8136544823646545,-0.11854445934295654","0.4555843770503998,0.6004629731178284,-0.15887148678302765","0.44844669103622437,0.6171572208404541,-0.13373422622680664","0.44144749641418457,0.6725865006446838,-0.10688593983650208","0.500442385673523,0.7658704519271851,-0.11212677508592606","0.49513185024261475,0.5997064113616943,-0.12846335768699646","0.4842735528945923,0.6000989079475403,-0.10863535106182098","0.47580021619796753,0.6435054540634155,-0.09190241992473602"
0.0,"0.45030567049980164,0.7189333438873291,1.8201878049239895e-07","0.39647388458251953,0.6774516105651855,-0.04440731927752495","0.35378360748291016,0.619337797164917,-0.08067028969526291","0.3457759618759155,0.5646503567695618,-0.1106547936797142","0.3830483555793762,0.5370382070541382,-0.1396888643503189","0.36684316396713257,0.8120940327644348,-0.09201793372631073","0.37117525935173035,0.6320809721946716,-0.1335018277168274","0.3737943470478058,0.6274480819702148,-0.15703724324703217","0.3722054660320282,0.6685789227485657,-0.17354413866996765","0.42168277502059937,0.8211030960083008,-0.08850497752428055","0.41576704382896423,0.6039779186248779,-0.11711595207452774","0.4136042296886444,0.6220280528068542,-0.1189868226647377","0.41170817613601685,0.6854282021522522,-0.12496017664670944","0.47147899866104126,0.7967497110366821,-0.08710525184869766","0.4577997326850891,0.5975551605224609,-0.10827213525772095","0.4559803009033203,0.6216210126876831,-0.09239070862531662","0.45206454396247864,0.6853532791137695,-0.08326931297779083","0.5142000317573547,0.7607143521308899,-0.09211106598377228","0.5020511150360107,0.607138991355896,-0.11364663392305374","0.4932025074958801,0.6217544078826904,-0.11163497716188431","0.48697012662887573,0.6682707071304321,-0.10853231698274612"
0.0,"0.46139973402023315,0.7043007612228394,6.770792992938368e-08","0.4114309549331665,0.6658472418785095,-0.03597603365778923","0.3660920262336731,0.6136534214019775,-0.06589800864458084","0.3483632802963257,0.5734903216362,-0.0916849747300148","0.3817320466041565,0.5570915937423706,-0.11615537106990814","0.3700082302093506,0.8125410079956055,-0.07335841655731201","0.3765793740749359,0.6450162529945374,-0.11093675345182419","0.3813011646270752,0.6384122371673584,-0.13326597213745117","0.3777671158313751,0.6782164573669434,-0.14944608509540558","0.425197958946228,0.828333854675293,-0.07420926541090012","0.4227622151374817,0.6095496416091919,-0.10060763359069824","0.42042863368988037,0.626391589641571,-0.10303729772567749","0.41474199295043945,0.6859148144721985,-0.10933946073055267","0.4765697121620178,0.8066665530204773,-0.07735419273376465","0.4656146466732025,0.6026440858840942,-0.09753111749887466","0.4637396037578583,0.6270170211791992,-0.08298880606889725","0.45805007219314575,0.6882005929946899,-0.07459545880556107","0.5213028788566589,0.7693648338317871,-0.08627793937921524","0.5102603435516357,0.6127004623413086,-0.10652440786361694","0.5007553100585938,0.6304200887680054,-0.10460442304611206","0.49474036693573,0.6791490912437439,-0.10162368416786194"
0.0,"0.468988299369812,0.7131622433662415,9.26841110526766e-08","0.4148649275302887,0.6733652949333191,-0.03833826631307602","0.3692288398742676,0.6206724643707275,-0.07149682939052582","0.3551807403564453,0.5788639783859253,-0.09995557367801666","0.3929305970668793,0.5597792863845825,-0.12671984732151031","0.3779909312725067,0.8245999217033386,-0.08184424042701721","0.3837827444076538,0.654212474822998,-0.1212635189294815","0.38717174530029297,0.6405819654464722,-0.14287136495113373","0.3844248354434967,0.680188775062561,-0.15822535753250122","0.4339834153652191,0.8375350832939148,-0.08214984089136124","0.4288257360458374,0.618166446685791,-0.11018449068069458","0.42428499460220337,0.6276067495346069,-0.11109659820795059","0.41821759939193726,0.6876205205917358,-0.11647041141986847","0.48446008563041687,0.813405454158783,-0.08461784571409225","0.4702645242214203,0.6077263951301575,-0.10518671572208405","0.466234028339386,0.6260947585105896,-0.08904965966939926","0.4618396759033203,0.6855623126029968,-0.07998739928007126","0.527418851852417,0.7736586332321167,-0.09309197962284088","0.5136232972145081,0.6156291961669922,-0.1136404275894165","0.503128170967102,0.6299747228622437,-0.11157167702913284","0.49874210357666016,0.6786265969276428,-0.10882824659347534"
0.0,"0.47537821531295776,0.716659426689148,7.572565863256386e-08","0.4208919107913971,0.6776311993598938,-0.038744475692510605","0.3739345073699951,0.630221426486969,-0.07160206139087677","0.35937047004699707,0.5917730331420898,-0.09955146908760071","0.397655725479126,0.5705840587615967,-0.1256495863199234","0.3832157850265503,0.833516001701355,-0.08338011801242828","0.3880368769168854,0.6612703800201416,-0.12231127172708511","0.39305877685546875,0.6435214877128601,-0.14294590055942535","0.3918493092060089,0.6834419965744019,-0.1577976793050766","0.4395167827606201,0.8464217185974121,-0.08391305059194565","0.43324974179267883,0.6261059045791626,-0.11176318675279617","0.4297311305999756,0.6341664791107178,-0.11265616118907928","0.42534106969833374,0.6944807767868042,-0.11824141442775726","0.49075230956077576,0.8214911818504333,-0.08646314591169357","0.47541332244873047,0.6160399913787842,-0.10694728046655655","0.47263863682746887,0.6329696774482727,-0.09111960977315903","0.4698490500450134,0.6925724148750305,-0.08254096657037735","0.5345590114593506,0.7801884412765503,-0.09496884047985077","0.5201184153556824,0.6229095458984375,-0.11506589502096176","0.5108828544616699,0.6343488693237305,-0.11279596388339996","0.508002758026123,0.6808280944824219,-0.11021008342504501"
0.0,"0.4812958836555481,0.7260176539421082,7.720068850858297e-08","0.42667102813720703,0.6877976655960083,-0.03995668143033981","0.3785873353481293,0.6406521797180176,-0.07364445924758911","0.36469829082489014,0.6011607646942139,-0.10224772244691849","0.40291544795036316,0.5789609551429749,-0.1289631873369217","0.3866039216518402,0.8461302518844604,-0.08537270873785019","0.39375168085098267,0.6663642525672913,-0.12569929659366608","0.3985702693462372,0.6487790942192078,-0.1471070796251297","0.39652305841445923,0.6885334253311157,-0.16221775114536285","0.4436938166618347,0.8568071722984314,-0.08562108874320984","0.4382345676422119,0.6314575672149658,-0.11397982388734818","0.4352138042449951,0.641287088394165,-0.1138918325304985","0.43111667037010193,0.7023811340332031,-0.11839459091424942","0.4956583082675934,0.8291085958480835,-0.08813019841909409","0.4805641174316406,0.6210662126541138,-0.10961492359638214","0.4778634309768677,0.6411269903182983,-0.09210716933012009","0.47497931122779846,0.7019805312156677,-0.08167330175638199","0.5403390526771545,0.7855614423751831,-0.09678023308515549","0.5244230031967163,0.6274118423461914,-0.11869610100984573","0.5150639414787292,0.6442713141441345,-0.116270512342453","0.511945903301239,0.6944032907485962,-0.11270782351493835"
0.0,"0.4865720272064209,0.7193392515182495,6.548599884581563e-08","0.4289536476135254,0.6788957715034485,-0.04314165562391281","0.3799934983253479,0.6359813213348389,-0.0788433775305748","0.3662325441837311,0.6057777404785156,-0.10872447490692139","0.4051884412765503,0.5916293859481812,-0.1365336775779724","0.3895149528980255,0.8532179594039917,-0.08993107825517654","0.3965977430343628,0.6747545003890991,-0.13172975182533264","0.4023635685443878,0.6463642120361328,-0.1545572727918625","0.40171879529953003,0.68178391456604,-0.1705673336982727","0.4475511908531189,0.8631760478019714,-0.08924693614244461","0.4407961666584015,0.6416102647781372,-0.11881677806377411","0.4384184777736664,0.643600583076477,-0.12059193104505539","0.4348989725112915,0.7007102966308594,-0.1269191950559616","0.49983060359954834,0.8346365690231323,-0.0909000113606453","0.4836263358592987,0.6285266280174255,-0.11271867156028748","0.48045819997787476,0.6441175937652588,-0.0976126492023468","0.47749313712120056,0.7035515308380127,-0.08971836417913437","0.5438793897628784,0.7899864912033081,-0.0987914651632309","0.5259413719177246,0.6343018412590027,-0.11965871602296829","0.5163370966911316,0.6472707986831665,-0.11777856200933456","0.5133719444274902,0.6961416006088257,-0.11565001308917999"
0.0,"0.49003952741622925,0.7301127910614014,5.693145155305501e-08","0.43307042121887207,0.6916300654411316,-0.04227766767144203","0.38257116079330444,0.6495636701583862,-0.07634229958057404","0.3684520423412323,0.6169446110725403,-0.10478667914867401","0.4070552885532379,0.599321722984314,-0.13109926879405975","0.3915274441242218,0.8594238758087158,-0.08755302429199219","0.39786437153816223,0.6799637675285339,-0.12801985442638397","0.4032432436943054,0.6586927771568298,-0.1490783840417862","0.4018588364124298,0.6967769861221313,-0.1639321893453598","0.4494788944721222,0.870403528213501,-0.08676831424236298","0.44288942217826843,0.6444683074951172,-0.11538077890872955","0.44148722290992737,0.6561665534973145,-0.11580469459295273","0.4387347102165222,0.7191914319992065,-0.12073393911123276","0.5020387172698975,0.8416311144828796,-0.08836459368467331","0.48643627762794495,0.633396327495575,-0.10985623300075531","0.4846523702144623,0.6554656624794006,-0.09300826489925385","0.48217305541038513,0.71796715259552,-0.08325367420911789","0.5470757484436035,0.796677827835083,-0.0962677076458931","0.5299260020256042,0.6400134563446045,-0.11845365911722183","0.5214323997497559,0.6589518785476685,-0.11661619693040848","0.5192621350288391,0.7109949588775635,-0.11360137909650803"
0.0,"0.4913068115711212,0.7354696393013,5.262835856001402e-08","0.43298059701919556,0.6934376955032349,-0.044502004981040955","0.3837282955646515,0.6504108905792236,-0.08042126893997192","0.3696451187133789,0.6186685562133789,-0.11041296273469925","0.40812981128692627,0.6042801141738892,-0.1381940394639969","0.39330899715423584,0.8635645508766174,-0.09190483391284943","0.40036484599113464,0.6865009069442749,-0.13473784923553467","0.4071429967880249,0.6535208225250244,-0.1572345644235611","0.407039612531662,0.6862406730651855,-0.17247597873210907","0.4516119956970215,0.8748562335968018,-0.09092123061418533","0.44652897119522095,0.6533490419387817,-0.1212807223200798","0.4449448585510254,0.6543238162994385,-0.12226782739162445","0.4412964880466461,0.7120310068130493,-0.1273956000804901","0.5048131346702576,0.8477636575698853,-0.09249603003263474","0.49077752232551575,0.6422216296195984,-0.11519269645214081","0.4879259765148163,0.6556488275527954,-0.09852930903434753","0.4840632379055023,0.713679850101471,-0.08893988281488419","0.5502170920372009,0.8055627346038818,-0.10050240159034729","0.5357382893562317,0.6527431011199951,-0.12213201075792313","0.5269274115562439,0.6625836491584778,-0.1191081702709198","0.523528516292572,0.7081776261329651,-0.11558112502098083"
0.0,"0.49730217456817627,0.7347800135612488,4.769381334313039e-09","0.44101738929748535,0.6959418058395386,-0.03993202745914459","0.38895004987716675,0.6548534631729126,-0.07197132706642151","0.371401309967041,0.6235028505325317,-0.09895414859056473","0.40963128209114075,0.607935905456543,-0.12381350249052048","0.39437347650527954,0.8643481135368347,-0.08372638374567032","0.40172991156578064,0.6861060857772827,-0.12268292158842087","0.41098782420158386,0.6636961698532104,-0.14239433407783508","0.41115182638168335,0.7019222378730774,-0.15646155178546906","0.4524192810058594,0.8787407279014587,-0.08436530083417892","0.4489729404449463,0.6520936489105225,-0.11186165362596512","0.450228750705719,0.6635781526565552,-0.11154650896787643","0.44743770360946655,0.7263551354408264,-0.11572642624378204","0.5061927437782288,0.8528186082839966,-0.08733314275741577","0.4948692321777344,0.6442037224769592,-0.10804508626461029","0.49460095167160034,0.6652302145957947,-0.09058799594640732","0.49109113216400146,0.7276773452758789,-0.08033923804759979","0.5534306764602661,0.8116463422775269,-0.09652028977870941","0.540642499923706,0.6535966396331787,-0.11807834357023239","0.5325526595115662,0.6700631380081177,-0.11560505628585815","0.5285897254943848,0.7210453748703003,-0.1120217964053154"
